open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1707436800000,2418.77,2422.50,2418.26,2419.60,19159.266,1707438599999,46366315.47629,27285,11295.519,27336042.13506,0
1707438600000,2419.61,2424.00,2419.13,2422.88,13393.288,1707440399999,32434719.86990,25342,7664.145,18560741.45879,0
1707440400000,2422.88,2427.84,2421.24,2425.58,22135.008,1707442199999,53660214.56270,32014,13617.655,33013221.79507,0
1707442200000,2425.57,2426.99,2422.35,2424.47,13436.387,1707443999999,32573591.62654,21245,8074.931,19575832.18259,0
1707444000000,2424.47,2441.99,2422.81,2435.66,73262.359,1707445799999,178228764.74074,69191,41332.798,100539627.82365,0
1707445800000,2435.66,2457.70,2431.94,2456.19,114153.460,1707447599999,279455849.61663,114437,62269.986,152426033.07172,0
1707447600000,2456.19,2466.00,2444.40,2444.74,117107.606,1707449399999,287661637.26049,112345,52489.978,128997175.11737,0
1707449400000,2444.73,2451.00,2441.39,2447.52,41622.000,1707451199999,101838497.55487,54812,21030.825,51462877.59053,0
1707451200000,2447.52,2455.77,2443.09,2450.60,53285.258,1707452999999,130500437.98598,56010,25622.141,62761805.92244,0
1707453000000,2450.59,2450.86,2441.87,2444.83,37166.027,1707454799999,90915437.96546,39307,16807.601,41109826.96907,0
1707454800000,2444.83,2447.24,2438.44,2444.81,32040.480,1707456599999,78290047.06169,39408,14742.248,36029141.11077,0
1707456600000,2444.81,2453.92,2444.81,2452.88,44663.582,1707458399999,109437841.65071,51501,23739.745,58161650.96530,0
1707458400000,2452.87,2453.00,2448.10,2448.42,21777.200,1707460199999,53364271.11657,28752,11266.580,27608565.50496,0
1707460200000,2448.42,2450.84,2445.24,2447.76,17953.705,1707461999999,43959433.97105,30560,8339.129,20418816.50925,0
1707462000000,2447.76,2456.83,2447.08,2456.78,28099.806,1707463799999,68909120.69847,38877,16554.822,40597668.45173,0
1707463800000,2456.77,2462.94,2452.61,2452.86,50836.961,1707465599999,124934645.47712,62755,25403.724,62437590.68713,0
1707465600000,2452.86,2459.38,2452.46,2459.37,24722.679,1707467399999,60710712.92607,43438,14198.576,34865555.83046,0
1707467400000,2459.36,2476.30,2457.00,2475.20,94193.907,1707469199999,232539746.44155,99065,54593.392,134781053.72471,0
1707469200000,2475.20,2479.23,2466.74,2473.80,75275.547,1707470999999,186196728.03166,82391,37768.389,93436318.48891,0
1707471000000,2473.80,2473.80,2465.10,2466.15,26989.521,1707472799999,66641934.88194,38207,12173.440,30060088.21792,0
1707472800000,2466.15,2468.89,2461.10,2462.83,26905.421,1707474599999,66342593.00029,37731,10829.205,26706309.25743,0
1707474600000,2462.83,2473.88,2462.24,2473.88,36850.218,1707476399999,90931312.43860,41374,23804.896,58740522.92505,0
1707476400000,2473.88,2476.20,2465.20,2472.15,49138.869,1707478199999,121374941.87256,57674,22330.214,55161420.38838,0
1707478200000,2472.15,2507.00,2471.56,2501.82,197697.170,1707479999999,492483564.79790,155929,123042.135,306542809.96726,0
1707480000000,2501.83,2528.66,2497.50,2510.64,220472.413,1707481799999,553766153.11470,197378,113704.173,285622761.23572,0
1707481800000,2510.64,2514.00,2502.00,2513.97,66231.374,1707483599999,166188065.78421,79663,33067.116,82975350.54664,0
1707483600000,2513.97,2520.00,2511.24,2516.00,66593.343,1707485399999,167526296.51854,75573,31228.191,78563505.64557,0
1707485400000,2516.01,2520.61,2509.02,2512.17,73959.359,1707487199999,186077877.63727,74975,33690.024,84782684.50222,0
1707487200000,2512.18,2519.04,2480.15,2489.94,185580.807,1707488999999,463180807.18270,160717,84764.407,211609485.68366,0
1707489000000,2489.93,2505.80,2489.93,2493.35,124905.445,1707490799999,311985761.07761,122329,61565.408,153772296.57302,0
1707490800000,2493.35,2494.47,2475.30,2490.19,96694.515,1707492599999,240274316.35618,108229,47714.400,118568777.00517,0
1707492600000,2490.19,2499.84,2489.21,2494.24,54881.867,1707494399999,136881468.52094,61315,29274.603,73019573.92309,0
1707494400000,2494.24,2501.99,2482.28,2486.18,58690.774,1707496199999,146356171.16279,65672,31194.447,77818121.80963,0
1707496200000,2486.18,2488.63,2477.13,2485.49,51516.607,1707497999999,127956308.24760,53702,25583.502,63543712.92293,0
1707498000000,2485.49,2499.20,2483.43,2497.00,50849.078,1707499799999,126745076.61618,56053,29985.036,74740363.68708,0
1707499800000,2496.99,2500.00,2491.89,2496.07,45593.074,1707501599999,113838268.35951,51136,23082.792,57637208.57222,0
1707501600000,2496.06,2522.00,2492.56,2516.35,135760.857,1707503399999,340546034.16017,122969,79246.512,198768766.40152,0
1707503400000,2516.34,2522.56,2497.32,2500.50,102352.089,1707505199999,256657221.93413,107155,47610.412,119392061.96274,0
1707505200000,2500.51,2501.66,2479.30,2488.37,78391.441,1707506999999,195114349.38027,84190,36428.257,90657372.35459,0
1707507000000,2488.36,2492.54,2481.63,2484.65,39417.205,1707508799999,98022051.67833,46935,19406.191,48269400.36606,0
1707508800000,2484.66,2493.08,2484.65,2490.80,34500.077,1707510599999,85847292.69506,42595,17848.716,44416712.40540,0
1707510600000,2490.81,2494.39,2485.93,2489.03,23601.789,1707512399999,58783678.24041,38047,11422.005,28451970.37416,0
1707512400000,2489.04,2492.96,2487.10,2488.48,16061.163,1707514199999,39985788.81658,26918,7535.866,18762045.23016,0
1707514200000,2488.48,2505.80,2482.57,2501.61,52712.656,1707515999999,131540109.24469,59865,29586.055,73836652.23842,0
1707516000000,2501.62,2504.62,2495.05,2499.08,28280.801,1707517799999,70722241.50096,43656,13664.219,34172392.36643,0
1707517800000,2499.07,2502.00,2486.13,2494.49,24580.466,1707519599999,61255312.02936,34819,12331.601,30727466.68988,0
1707519600000,2494.49,2497.66,2488.32,2490.01,20919.171,1707521399999,52154973.17618,27629,10798.229,26921734.61078,0
1707521400000,2490.00,2490.51,2484.00,2485.24,24112.884,1707523199999,59979115.52145,32528,11894.033,29585698.72813,0
