open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1715212800000,2972.94,2980.00,2971.03,2979.95,20482.152,1715214599999,60955440.22489,57242,10783.949,32095080.19458,0
1715214600000,2979.96,2989.42,2979.32,2986.46,23990.289,1715216399999,71625307.07971,57303,13723.220,40970234.31247,0
1715216400000,2986.45,2995.76,2986.00,2992.76,25491.142,1715218199999,76250993.04071,57358,13064.650,39082076.93955,0
1715218200000,2992.75,2998.75,2989.00,2996.35,15871.828,1715219999999,47514826.06054,34311,8035.681,24059342.11350,0
1715220000000,2996.35,2998.18,2991.00,2998.16,15775.593,1715221799999,47238240.92904,29249,6149.081,18415327.52670,0
1715221800000,2998.16,3004.39,2995.03,2997.46,27419.178,1715223599999,82261235.13023,42386,13281.808,39851215.16560,0
1715223600000,2997.46,3002.40,2986.51,2993.53,30080.600,1715225399999,90020209.35426,48198,13873.257,41522089.49387,0
1715225400000,2993.53,3001.32,2992.13,2996.90,18934.558,1715227199999,56760818.56280,35467,9940.205,29795913.45609,0
1715227200000,2996.90,3003.52,2994.32,2996.11,22328.011,1715228999999,66981738.21016,38289,12184.596,36556234.17486,0
1715229000000,2996.11,2997.53,2991.29,2991.99,12308.533,1715230799999,36857866.02743,30652,6417.996,19219216.30204,0
1715230800000,2991.98,3014.94,2991.23,3001.72,39177.323,1715232599999,117747017.66930,52710,24394.655,73316674.69931,0
1715232600000,3001.71,3009.00,2998.19,3002.62,22585.766,1715234399999,67867793.27980,41139,12276.545,36891251.05498,0
1715234400000,3002.62,3012.42,3001.94,3003.88,19247.060,1715236199999,57876754.46469,38362,9970.186,29980717.39651,0
1715236200000,3003.88,3005.58,2996.00,3000.28,17594.257,1715237999999,52784799.37580,35778,8252.553,24758633.74569,0
1715238000000,3000.29,3001.23,2988.50,2991.38,32106.916,1715239799999,96124460.63452,49982,16253.883,48661347.93170,0
1715239800000,2991.37,2993.44,2974.01,2982.37,55106.425,1715241599999,164418893.80264,76695,25499.988,76089497.34325,0
1715241600000,2982.37,2990.98,2973.05,2980.87,35603.088,1715243399999,106211441.76040,61383,20457.561,61037140.51538,0
1715243400000,2980.88,2986.67,2978.32,2984.04,17722.245,1715245199999,52863573.34992,36714,9894.281,29514965.79771,0
1715245200000,2984.04,2986.24,2968.63,2977.13,36681.081,1715246999999,109194534.49137,64382,16432.046,48922708.86387,0
1715247000000,2977.14,2981.58,2961.99,2981.58,40861.653,1715248799999,121438939.60102,81566,21027.801,62508121.06967,0
1715248800000,2981.58,2983.37,2962.66,2965.26,33977.938,1715250599999,100921678.39971,65900,16110.449,47857926.39403,0
1715250600000,2965.26,2976.00,2950.54,2954.13,49881.422,1715252399999,147791593.80836,76323,20099.157,59597204.48388,0
1715252400000,2954.14,2976.07,2949.00,2972.00,71375.101,1715254199999,211437338.56131,97334,41899.088,124160929.40448,0
1715254200000,2972.00,2984.90,2969.00,2976.22,33664.063,1715255999999,100237674.76900,56811,18197.951,54189634.03014,0
1715256000000,2976.22,2983.13,2974.03,2977.90,20938.144,1715257799999,62381610.71969,43996,10011.195,29828163.03632,0
1715257800000,2977.90,2997.64,2977.90,2987.39,55686.862,1715259599999,166407457.68628,89862,29468.853,88057051.86211,0
1715259600000,2987.38,2990.00,2979.53,2981.92,30909.097,1715261399999,92274277.39965,52912,14391.752,42969721.44802,0
1715261400000,2981.92,2985.35,2954.52,2972.42,91112.569,1715263199999,270517708.38549,138817,44979.641,133541386.20013,0
1715263200000,2972.42,2987.00,2966.70,2977.00,49807.901,1715264999999,148273710.45218,95421,25381.427,75564637.67297,0
1715265000000,2977.00,2988.54,2976.99,2985.95,34729.525,1715266799999,103601281.60255,66098,18412.429,54930053.12493,0
1715266800000,2985.94,3019.88,2979.65,3013.50,102642.562,1715268599999,308205628.86831,146284,54560.437,163835460.62728,0
1715268600000,3013.50,3016.61,2996.19,3004.82,49630.167,1715270399999,149165811.63373,92000,20378.859,61255325.16201,0
1715270400000,3004.83,3025.00,3003.08,3016.40,86435.005,1715272199999,260720248.21545,119154,46203.288,139381203.14968,0
1715272200000,3016.40,3017.68,2990.62,2993.30,61964.060,1715273999999,186292944.18104,91957,25474.555,76588976.40539,0
1715274000000,2993.31,3002.27,2988.00,3001.46,50990.232,1715275799999,152739051.67274,72613,27562.217,82564182.87373,0
1715275800000,3001.47,3010.91,3000.42,3002.73,25934.571,1715277599999,77952291.96659,46978,14306.475,43004819.66173,0
1715277600000,3002.75,3013.43,3000.04,3010.48,16998.989,1715279399999,51138206.08709,37666,9271.884,27895780.75063,0
1715279400000,3010.48,3015.88,3006.57,3015.62,16854.000,1715281199999,50763312.30800,40311,9167.334,27612025.98553,0
1715281200000,3015.55,3020.79,3011.67,3016.79,20973.519,1715282999999,63255022.23910,41364,10997.893,33171476.46698,0
1715283000000,3016.78,3022.92,3014.17,3020.23,20451.102,1715284799999,61732776.84451,40514,11151.473,33666138.40565,0
1715284800000,3020.23,3028.80,3015.92,3017.42,22678.277,1715286599999,68526012.03720,47357,11971.603,36181463.47550,0
1715286600000,3017.41,3021.84,3013.87,3020.65,15062.870,1715288399999,45457083.69822,32379,7363.282,22223093.73694,0
1715288400000,3020.66,3028.98,3017.33,3017.34,23300.181,1715290199999,70439738.55030,42665,9208.783,27844763.67398,0
1715290200000,3017.34,3023.96,3014.24,3019.24,12704.540,1715291999999,38346094.57330,25956,6730.306,20315271.81888,0
1715292000000,3019.25,3028.42,3015.02,3027.11,19994.122,1715293799999,60419765.26416,38732,11095.190,33532380.16445,0
1715293800000,3027.12,3058.23,3022.59,3053.49,92815.195,1715295599999,282611782.82525,117758,54566.434,166093060.48768,0
1715295600000,3053.48,3054.69,3030.03,3032.37,42395.325,1715297399999,128876755.16273,68173,20078.925,61015354.77796,0
1715297400000,3032.37,3038.56,3026.97,3034.75,26240.937,1715299199999,79579168.67342,42713,15502.718,47017307.70285,0
