open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1720483200000,3017.51,3022.61,3011.29,3011.99,41388.274,1720484999999,124849680.09662,54278,18514.850,55855735.70965,0
1720485000000,3011.98,3034.50,3002.56,3022.68,44682.756,1720486799999,134801933.58097,82082,23162.193,69881298.03957,0
1720486800000,3022.67,3075.95,3017.01,3039.34,125594.829,1720488599999,382844750.84196,175372,67499.802,205771008.23434,0
1720488600000,3039.33,3047.37,3015.60,3027.40,57819.964,1720490399999,175059856.20867,99578,28511.500,86317628.22817,0
1720490400000,3027.41,3038.97,3012.12,3028.68,42444.204,1720492199999,128407580.50455,76604,21755.889,65839370.40874,0
1720492200000,3028.67,3074.18,3024.45,3073.33,62386.740,1720493999999,190393624.82825,102261,37505.113,114491834.69052,0
1720494000000,3073.32,3073.32,3042.00,3045.74,59119.814,1720495799999,180746810.30626,82922,25386.440,77617732.60909,0
1720495800000,3045.73,3073.00,3044.71,3062.99,36767.188,1720497599999,112483765.17052,62217,20005.751,61223706.42967,0
1720497600000,3063.00,3073.71,3057.01,3073.25,32530.713,1720499399999,99751098.78116,57762,15565.285,47738252.18693,0
1720499400000,3073.26,3084.75,3061.87,3069.21,50925.466,1720501199999,156511966.63883,79118,25963.648,79828282.74494,0
1720501200000,3069.21,3073.33,3056.67,3065.09,28003.992,1720502999999,85848035.65890,55738,12631.773,38729443.77196,0
1720503000000,3065.09,3069.81,3052.40,3066.20,30389.886,1720504799999,93063033.04167,57517,15750.337,48237501.46012,0
1720504800000,3066.19,3084.55,3060.00,3079.63,47168.925,1720506599999,145024678.61208,71140,23063.873,70918683.02358,0
1720506600000,3079.62,3088.96,3072.46,3073.31,35007.266,1720508399999,107848677.48474,65469,15159.490,46710995.80040,0
1720508400000,3073.32,3078.73,3060.26,3071.59,40294.213,1720510199999,123658628.45986,56954,18671.217,57306480.01858,0
1720510200000,3071.58,3074.66,3056.70,3061.01,51636.121,1720511999999,158125408.47310,58536,19714.474,60387251.56482,0
1720512000000,3061.00,3085.87,3053.30,3073.81,59435.166,1720513799999,182403851.62980,78151,31641.652,97130187.18977,0
