open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1723248000000,2597.89,2644.43,2587.50,2604.75,122521.589,1723249799999,320553386.93364,147341,65348.473,171057639.79757,0
1723249800000,2604.76,2609.07,2574.54,2582.90,69557.094,1723251599999,180029318.89413,113612,33905.218,87749180.22660,0
1723251600000,2582.90,2611.05,2579.13,2599.30,50480.171,1723253399999,131153475.33987,80523,29032.524,75410481.13115,0
1723253400000,2599.30,2609.64,2595.09,2598.84,31862.088,1723255199999,82909927.94013,57017,14575.201,37941754.83826,0
1723255200000,2598.85,2613.80,2590.83,2605.87,31133.828,1723256999999,81062498.03832,56314,15670.167,40805747.11474,0
1723257000000,2605.87,2610.44,2600.48,2602.87,16363.451,1723258799999,42637434.91278,36872,8204.354,21376942.84449,0
1723258800000,2602.87,2603.48,2592.31,2594.19,18888.221,1723260599999,49063947.77865,41484,7936.461,20615411.98211,0
1723260600000,2594.19,2606.01,2591.42,2601.31,17838.337,1723262399999,46413363.47302,39118,10098.055,26274037.38091,0
1723262400000,2601.31,2603.44,2592.25,2598.47,19245.185,1723264199999,49983577.70076,37479,9065.385,23544902.30289,0
1723264200000,2598.56,2599.83,2586.60,2598.42,19252.849,1723265999999,49947431.43694,41951,9404.129,24399861.74731,0
1723266000000,2598.42,2604.55,2593.14,2603.91,16452.644,1723267799999,42773931.90375,36391,8042.227,20911603.09130,0
1723267800000,2603.91,2609.39,2598.30,2604.83,19162.023,1723269599999,49908325.56372,36738,10097.445,26304488.08289,0
1723269600000,2604.83,2615.00,2602.47,2612.95,22173.948,1723271399999,57863492.50010,43682,10891.832,28424455.09682,0
1723271400000,2612.95,2624.83,2609.99,2618.91,39939.685,1723273199999,104601577.16711,56947,21687.530,56801487.27640,0
1723273200000,2618.91,2637.28,2617.21,2627.97,38427.822,1723274999999,100943305.60380,59979,20889.537,54887458.80414,0
1723275000000,2627.97,2634.40,2624.43,2633.06,29234.051,1723276799999,76894375.71335,49201,14413.817,37909671.51483,0
1723276800000,2633.06,2639.34,2625.28,2631.76,32804.235,1723278599999,86267362.20602,52961,15050.376,39587804.72694,0
1723278600000,2631.75,2632.41,2621.18,2628.12,28228.073,1723280399999,74161612.84612,43355,13387.943,35178162.06008,0
1723280400000,2628.13,2636.30,2624.24,2628.15,21817.562,1723282199999,57379523.81707,37118,10744.509,28260168.28508,0
1723282200000,2628.15,2639.75,2628.08,2631.05,29986.401,1723283999999,79028345.67010,50107,13981.192,36847676.24825,0
1723284000000,2631.05,2637.99,2622.85,2628.27,24829.161,1723285799999,65321857.11059,41066,12013.868,31608422.70290,0
1723285800000,2628.25,2631.20,2623.14,2628.15,18013.103,1723287599999,47328295.60476,31452,8989.830,23624507.35562,0
1723287600000,2628.14,2636.00,2626.40,2632.88,19547.528,1723289399999,51454061.50985,32379,10207.496,26868743.71151,0
1723289400000,2632.89,2642.02,2631.37,2635.52,24980.040,1723291199999,65857431.39873,39309,15051.082,39687671.93733,0
1723291200000,2635.53,2636.72,2628.61,2631.08,14871.192,1723292999999,39132348.87417,28199,6338.808,16680305.36462,0
1723293000000,2631.09,2636.38,2626.91,2629.20,13508.707,1723294799999,35528649.92112,26338,5794.795,15240924.70457,0
1723294800000,2629.20,2630.65,2608.71,2616.81,60293.373,1723296599999,157800442.72163,75143,26540.919,69464730.39041,0
1723296600000,2616.81,2622.10,2604.17,2608.11,34395.469,1723298399999,89903604.48462,51860,14943.425,39074646.70245,0
1723298400000,2608.11,2613.28,2602.00,2611.77,27283.533,1723300199999,71188635.56661,49117,14257.863,37208597.57226,0
1723300200000,2611.77,2617.43,2608.53,2609.30,17433.806,1723301999999,45552288.63885,31264,10292.353,26894569.14563,0
1723302000000,2609.30,2621.76,2604.27,2617.34,27642.299,1723303799999,72272362.63106,45430,16015.794,41885264.56517,0
1723303800000,2617.34,2620.64,2595.08,2598.45,33737.505,1723305599999,87934570.68127,48886,13901.253,36237708.89684,0
1723305600000,2598.48,2606.58,2587.85,2606.00,53885.871,1723307399999,139943962.27208,79703,29056.450,75485894.25108,0
1723307400000,2606.00,2607.95,2600.59,2606.12,19961.863,1723309199999,51984858.59778,34253,8546.729,22259893.55277,0
1723309200000,2606.11,2607.46,2597.55,2604.46,15197.001,1723310999999,39563645.93961,29246,5753.806,14981820.49785,0
1723311000000,2604.46,2614.98,2600.08,2609.53,20633.656,1723312799999,53794472.14487,34727,11075.348,28880523.16547,0
1723312800000,2609.54,2622.28,2605.35,2610.93,55463.080,1723314599999,144917201.43944,72957,32564.605,85084582.93092,0
1723314600000,2610.92,2616.72,2598.00,2599.67,20512.915,1723316399999,53474992.00460,42592,9014.412,23504621.28977,0
1723316400000,2599.67,2608.17,2593.25,2604.07,24089.687,1723318199999,62629915.16735,44290,12767.414,33198896.06247,0
1723318200000,2604.06,2610.58,2598.18,2601.60,11878.881,1723319999999,30933156.56553,26316,5904.449,15379110.18051,0
1723320000000,2601.61,2605.96,2596.04,2596.53,11209.779,1723321799999,29153266.70126,24730,5460.379,14203050.25077,0
1723321800000,2596.52,2604.99,2594.67,2603.50,10738.478,1723323599999,27919764.65644,24758,5817.737,15129180.05625,0
1723323600000,2603.49,2616.99,2602.68,2615.00,22760.238,1723325399999,59417838.39386,31406,12329.001,32185290.23009,0
1723325400000,2614.99,2615.23,2606.18,2611.74,12467.524,1723327199999,32537257.87657,21699,5798.309,15129361.36530,0
1723327200000,2611.74,2612.18,2603.00,2604.18,11025.874,1723328999999,28737333.37768,30593,5256.074,13699369.04169,0
1723329000000,2604.19,2610.87,2603.33,2604.87,7135.763,1723330799999,18602460.13129,18566,3583.918,9343500.41784,0
1723330800000,2604.75,2604.82,2598.40,2603.68,13876.916,1723332599999,36099674.50258,24215,5899.355,15348298.82902,0
1723332600000,2603.68,2609.25,2603.05,2608.76,8736.905,1723334399999,22768463.49162,17552,3969.310,10343333.54681,0
