open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1702166400000,2342.41,2348.51,2341.48,2348.02,37383.262,1702168199999,87667855.46432,36305,22250.285,52180386.40927,0
1702168200000,2348.01,2355.70,2346.48,2353.35,27645.222,1702169999999,64986806.75535,34378,14216.961,33423899.96182,0
1702170000000,2353.36,2357,2347.59,2356.16,29514.599,1702171799999,69415634.43643,29664,12886.486,30315977.36613,0
1702171800000,2356.15,2356.99,2350.13,2350.70,21619.310,1702173599999,50859190.73464,20805,7923.652,18639043.10698,0
1702173600000,2350.70,2353.51,2345.20,2345.32,26814.575,1702175399999,62965524.46014,25514,12854.732,30186043.52594,0
1702175400000,2345.32,2349.89,2344.61,2346.96,16735.439,1702177199999,39283943.42831,21171,8757.683,20557338.03370,0
1702177200000,2346.95,2350.82,2346.62,2349.40,15856.497,1702178999999,37244640.74619,19752,8438.710,19820759.67398,0
1702179000000,2349.40,2353.42,2349.29,2353.03,12799.021,1702180799999,30098635.37944,17288,6207.579,14597843.58102,0
1702180800000,2353.03,2354.50,2350.35,2354.50,12511.598,1702182599999,29430003.59854,15206,5866.651,13799921.40752,0
1702182600000,2354.49,2356.66,2354.18,2356.36,13766.451,1702184399999,32427045.68412,17236,6601.244,15549034.18872,0
1702184400000,2356.36,2356.89,2353.37,2355.79,13988.625,1702186199999,32940522.92017,16815,6916.860,16287736.94624,0
1702186200000,2355.78,2360.69,2355.50,2358.96,19659.033,1702187999999,46353338.04989,22635,11911.515,28087467.93346,0
1702188000000,2358.96,2359.53,2353.62,2355.36,11523.653,1702189799999,27152493.08806,16148,4790.862,11287911.42545,0
1702189800000,2355.35,2355.40,2349.78,2352.04,25131.992,1702191599999,59117886.37307,26040,10096.057,23748111.49685,0
1702191600000,2352.04,2353.10,2346,2349.71,23496.034,1702193399999,55195725.97429,24923,12030.949,28260314.98910,0
1702193400000,2349.70,2356.25,2346.81,2355.38,25638.518,1702195199999,60294841.52439,27676,15065.725,35431675.23165,0
1702195200000,2355.31,2357.96,2347.55,2348.14,41041.624,1702196999999,96562514.38628,35041,18291.492,43040454.67944,0
1702197000000,2348.15,2349,2340.31,2345.56,52430.087,1702198799999,122926172.83786,46671,24294.824,56964051.74844,0
1702198800000,2345.56,2347.59,2336.13,2339.86,49764.486,1702200599999,116530895.88990,39700,21489.351,50331253.51465,0
1702200600000,2339.86,2340.43,2323,2324.52,95630.238,1702202399999,223063901.13536,79321,40533.058,94563606.94801,0
1702202400000,2324.52,2337.83,2323.77,2337.60,64967.675,1702204199999,151449423.31141,55951,37534.774,87492233.49878,0
