open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1715299200000,3034.75,3036.39,3020.82,3026.21,25722.339,1715300999999,77891011.96174,50894,10396.658,31484944.39817,0
1715301000000,3026.21,3027.48,3020.65,3025.05,16545.077,1715302799999,50038484.68945,34838,9583.863,28984866.63027,0
1715302800000,3025.06,3029.88,3015.56,3025.94,32654.334,1715304599999,98734867.10130,48645,14388.315,43515357.67277,0
1715304600000,3025.94,3041.86,3023.51,3035.41,30038.566,1715306399999,91131170.68674,55521,16638.644,50473399.15596,0
1715306400000,3035.41,3035.94,3030.00,3031.40,12397.890,1715308199999,37598554.16092,32110,5562.136,16867879.47457,0
1715308200000,3031.40,3032.50,3022.90,3029.46,16060.894,1715309999999,48640049.39240,33791,6675.252,20216645.60183,0
1715310000000,3029.46,3029.73,3021.33,3027.41,13558.558,1715311799999,41029518.86250,30828,6952.993,21040801.14561,0
1715311800000,3027.41,3028.70,3023.58,3027.60,10817.699,1715313599999,32734805.09752,24602,5054.669,15295778.33698,0
1715313600000,3027.60,3032.78,3023.33,3032.61,12457.457,1715315399999,37728558.08261,31814,6933.265,21000140.79494,0
1715315400000,3032.60,3033.18,3027.51,3030.55,10524.817,1715317199999,31888788.28036,27540,5172.096,15671299.05489,0
1715317200000,3030.55,3032.94,3020.06,3021.38,16639.657,1715318999999,50342532.10983,35129,6965.133,21076817.61138,0
1715319000000,3021.39,3031.30,3020.39,3028.80,15832.086,1715320799999,47933884.98330,33509,9118.917,27608473.67787,0
1715320800000,3028.79,3038.12,3026.44,3032.75,19557.857,1715322599999,59339080.14781,36530,10838.785,32883167.06668,0
1715322600000,3032.76,3048.94,3029.44,3045.60,39789.363,1715324399999,120993938.55626,65195,21414.762,65118910.65383,0
1715324400000,3045.59,3053.52,3038.09,3045.72,49869.354,1715326199999,151917595.94011,79382,24130.032,73514394.49168,0
1715326200000,3045.72,3048.87,3040.39,3040.39,22204.287,1715327999999,67582152.79180,41546,8959.583,27270595.39079,0
