open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1731196800000,3127.02,3134.78,3112.24,3125.63,114717.585,1731198599999,358050092.13058,146042,55640.181,173681836.31416,0
1731198600000,3125.63,3130.59,3111.36,3122.00,65180.604,1731200399999,203444131.18217,114930,31492.252,98321811.38473,0
1731200400000,3121.99,3123.67,3104.08,3114.87,68533.297,1731202199999,213294702.50524,128070,29690.082,92403843.79902,0
1731202200000,3114.86,3119.88,3111.00,3119.50,35921.308,1731203999999,111896778.11569,78987,16408.715,51118758.18492,0
1731204000000,3119.50,3153.33,3119.06,3142.71,118422.777,1731205799999,371678915.66431,160259,69516.825,218160640.44644,0
1731205800000,3142.72,3149.49,3126.42,3127.23,65881.487,1731207599999,206814884.54998,115563,23723.425,74497231.88083,0
1731207600000,3127.24,3144.84,3118.00,3142.78,67869.399,1731209399999,212502618.39691,107990,33640.138,105356807.68508,0
1731209400000,3142.79,3144.71,3133.71,3135.27,35281.850,1731211199999,110743088.40287,66549,14781.151,46396815.90246,0
1731211200000,3135.26,3146.32,3130.50,3144.93,42076.646,1731212999999,132129521.05258,70657,22800.537,71611502.93821,0
1731213000000,3144.94,3191.86,3143.44,3183.58,261814.541,1731214799999,830843876.94568,312552,150858.288,478668431.95201,0
1731214800000,3183.57,3220.00,3169.00,3215.32,294131.465,1731216599999,939290433.83560,356858,162971.032,520568878.45930,0
1731216600000,3215.33,3220.00,3174.70,3183.77,219356.349,1731218399999,702421715.20054,251341,95252.821,305270096.27249,0
1731218400000,3183.80,3185.50,3166.61,3171.21,129592.294,1731220199999,411376543.28046,179598,62897.580,199677697.65683,0
1731220200000,3171.22,3184.11,3165.30,3180.80,66890.306,1731221999999,212441719.11484,109125,37828.585,120165250.02165,0
1731222000000,3180.79,3204.88,3179.78,3190.37,100444.716,1731223799999,320649994.27700,120924,55501.586,177190514.61057,0
1731223800000,3190.38,3198.49,3183.18,3187.08,54652.649,1731225599999,174352318.73015,86909,25109.116,80115374.97599,0
