open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1712707200000,3508.46,3523.79,3501.06,3520.00,35513.312,1712708999999,124749448.57830,64590,18183.985,63864346.99861,0
1712709000000,3520.00,3520.64,3500.76,3508.93,29072.466,1712710799999,102025775.22294,65190,11734.769,41176150.08867,0
1712710800000,3508.92,3509.08,3475.60,3494.86,69096.533,1712712599999,241075311.28400,115369,29085.987,101475355.93260,0
1712712600000,3494.87,3519.93,3481.17,3518.38,54259.396,1712714399999,189934891.87715,102332,30214.458,105777002.91056,0
1712714400000,3518.38,3541.00,3508.43,3514.84,89297.341,1712716199999,314812624.50702,140838,47670.173,168089172.52348,0
1712716200000,3514.83,3515.00,3467.56,3479.96,107202.837,1712717999999,373649740.82347,157619,46701.954,162829755.01547,0
1712718000000,3479.96,3499.07,3475.08,3492.23,51377.677,1712719799999,179120178.80383,109820,27759.719,96792229.48236,0
1712719800000,3492.24,3517.00,3490.96,3515.10,42774.564,1712721599999,149839360.06550,87511,25138.759,88079535.82222,0
1712721600000,3515.09,3527.73,3508.32,3520.68,40991.506,1712723399999,144230551.07162,84721,21057.608,74111509.31092,0
1712723400000,3520.68,3522.34,3510.37,3518.70,22907.204,1712725199999,80553811.71477,49947,10646.555,37440406.18166,0
1712725200000,3518.70,3537.67,3517.03,3533.16,36409.299,1712726999999,128473285.92702,73427,20396.820,71976386.33408,0
1712727000000,3533.15,3544.34,3531.80,3535.64,39425.017,1712728799999,139489126.05802,82696,19254.111,68131910.39516,0
1712728800000,3535.63,3556.97,3532.32,3554.73,37580.705,1712730599999,133258745.00419,75156,22214.235,78783730.76522,0
1712730600000,3554.72,3555.25,3540.05,3540.73,35854.692,1712732399999,127223271.96937,77626,16886.152,59925726.28197,0
1712732400000,3540.73,3552.34,3536.92,3542.00,24059.626,1712734199999,85250884.53921,53861,10918.523,38695657.18115,0
1712734200000,3542.01,3549.86,3536.60,3538.91,22975.905,1712735999999,81409240.67991,54718,10527.074,37302728.55275,0
1712736000000,3538.92,3539.30,3503.26,3519.27,93949.526,1712737799999,330445985.25826,162472,41973.694,147639078.00774,0
1712737800000,3519.26,3524.84,3511.79,3520.37,25335.183,1712739599999,89156104.24723,75852,12887.760,45355418.43794,0
1712739600000,3520.36,3530.00,3511.98,3523.41,24789.781,1712741399999,87288678.69921,67094,13114.949,46189023.16513,0
1712741400000,3523.41,3539.00,3508.33,3534.26,34362.941,1712743199999,121007789.86509,80146,17039.195,60028832.41559,0
