open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1725926400000,2358.19,2359.19,2337.39,2337.91,78033.223,1725928199999,183155788.66344,70113,35054.881,82267656.61307,0
1725928200000,2337.91,2349.75,2337.60,2347.54,40579.006,1725929999999,95142361.74275,41145,21672.126,50803906.80617,0
1725930000000,2347.55,2349.52,2340.47,2340.64,34887.515,1725931799999,81789748.36273,33772,14071.996,32988145.16571,0
1725931800000,2340.65,2343.35,2333.00,2341.43,48893.169,1725933599999,114329756.03261,48220,18910.750,44219611.23937,0
1725933600000,2341.43,2341.89,2335.89,2338.76,17175.113,1725935399999,40159892.11624,27353,8301.053,19410089.65080,0
1725935400000,2338.76,2346.87,2338.29,2343.64,26040.963,1725937199999,61031711.16861,35501,13581.753,31827637.86209,0
1725937200000,2343.64,2345.97,2339.19,2344.68,21092.273,1725938999999,49401247.58199,28364,8272.985,19377734.45930,0
1725939000000,2344.68,2345.20,2339.00,2339.58,15082.827,1725940799999,35332892.06986,24352,6585.101,15425341.22730,0
1725940800000,2339.57,2344.65,2339.44,2342.41,20386.859,1725942599999,47761730.35011,29936,12906.697,30236833.56267,0
1725942600000,2342.42,2342.42,2325.83,2336.60,44381.130,1725944399999,103548418.14767,47486,19303.336,45042463.75539,0
1725944400000,2336.60,2346.00,2335.16,2344.62,27791.614,1725946199999,65066323.79064,35103,16598.257,38856133.69934,0
1725946200000,2344.63,2348.72,2341.16,2348.50,19064.354,1725947999999,44703383.09592,28048,10855.146,25456671.60246,0
1725948000000,2348.49,2348.49,2338.26,2342.28,14758.209,1725949799999,34577547.39380,25382,6531.376,15300156.18531,0
1725949800000,2342.27,2344.60,2340.00,2342.58,11964.778,1725951599999,28025572.33732,19483,5726.890,13413885.69486,0
1725951600000,2342.58,2366.00,2339.68,2356.26,64384.706,1725953399999,151603497.11123,66369,38139.756,89817555.89161,0
1725953400000,2356.25,2364.72,2354.21,2362.21,40732.018,1725955199999,96102097.69523,53211,20428.916,48201675.63676,0
1725955200000,2362.20,2371.34,2356.40,2356.99,64231.286,1725956999999,151842616.94653,71183,31915.855,75474450.71633,0
1725957000000,2356.99,2359.58,2350.92,2353.80,30598.781,1725958799999,72037613.43845,44349,15496.677,36487168.03586,0
1725958800000,2353.80,2354.05,2344.00,2345.73,36818.568,1725960599999,86427717.30337,46276,17158.189,40279039.20022,0
1725960600000,2345.73,2354.88,2342.12,2348.15,34027.064,1725962399999,79954849.55582,45615,18004.658,42308399.83117,0
1725962400000,2348.15,2351.80,2337.80,2347.19,43884.912,1725964199999,102876190.67630,47668,21035.084,49313709.35446,0
1725964200000,2347.19,2350.75,2345.20,2349.71,17837.994,1725965999999,41885830.29299,30676,7958.129,18688087.26793,0
1725966000000,2349.72,2352.23,2346.38,2348.47,13391.511,1725967799999,31457988.83594,25720,7126.120,16740480.18528,0
1725967800000,2348.47,2352.00,2343.13,2349.65,19565.722,1725969599999,45946058.61347,33339,10515.151,24696427.95890,0
1725969600000,2349.65,2361.76,2348.61,2355.32,36539.299,1725971399999,86022531.09904,50328,20659.320,48638417.65217,0
1725971400000,2355.32,2363.00,2348.32,2348.47,37798.964,1725973199999,89037801.13382,54206,18004.041,42416604.64482,0
