open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1704844800000,2344.33,2386.97,2340.00,2383.20,202249.785,1704846599999,478896697.66333,196603,109754.876,259935757.62773,0
1704846600000,2383.33,2401.82,2376.63,2399.46,149347.970,1704848399999,356838036.98532,170224,79430.515,189848022.50040,0
1704848400000,2399.47,2402.60,2372.50,2376.91,107231.276,1704850199999,255774403.44426,125050,48700.241,116183561.92815,0
1704850200000,2376.92,2378.46,2364.25,2377.10,76500.587,1704851999999,181439917.72174,90007,33925.706,80473696.14853,0
1704852000000,2377.11,2377.79,2365.05,2369.00,35772.945,1704853799999,84807494.31984,47564,15883.561,37658044.60539,0
1704853800000,2369.00,2370.44,2345.08,2348.21,104341.578,1704855599999,245721739.42933,90833,45116.431,106240040.64068,0
1704855600000,2348.22,2359.72,2344.13,2357.16,47304.782,1704857399999,111335279.22685,55990,25076.323,59020192.95560,0
1704857400000,2357.16,2368.70,2356.25,2361.65,54637.048,1704859199999,129090253.01164,54066,30648.823,72423614.93610,0
1704859200000,2361.65,2365.64,2357.21,2364.01,28367.175,1704860999999,67006168.90793,39440,13464.825,31807929.47589,0
1704861000000,2364.01,2388.96,2363.02,2380.72,104163.055,1704862799999,247517532.15953,110358,60186.314,143003568.46969,0
1704862800000,2380.72,2385.71,2371.80,2381.11,51103.782,1704864599999,121550870.98099,63491,24767.917,58911475.06254,0
1704864600000,2381.11,2394.16,2381.01,2387.26,62461.506,1704866399999,149131455.05035,70519,33727.898,80532976.65681,0
1704866400000,2387.25,2388.87,2376.55,2377.32,41985.515,1704868199999,99986657.28256,53705,18958.618,45154227.79008,0
1704868200000,2377.33,2382.18,2372.60,2381.19,49974.772,1704869999999,118800524.78086,55682,27092.013,64407331.06489,0
1704870000000,2381.19,2386.52,2373.82,2383.84,46854.783,1704871799999,111544706.88290,50106,24302.433,57864728.34828,0
1704871800000,2383.83,2384.88,2366.36,2369.42,63669.587,1704873599999,151035761.81860,67904,27589.659,65433367.76641,0
1704873600000,2369.42,2384.06,2369.41,2373.69,63706.379,1704875399999,151414177.33621,65866,31176.917,74104204.53143,0
1704875400000,2373.69,2373.91,2362.50,2365.41,74161.807,1704877199999,175630460.18831,97232,35684.876,84511782.06606,0
1704877200000,2365.41,2420.17,2365.23,2416.24,244709.643,1704878999999,586863061.27405,223902,137428.262,329565477.77104,0
1704879000000,2416.25,2431.80,2409.60,2426.39,190252.093,1704880799999,460818426.96818,196604,100733.911,244026219.05248,0
1704880800000,2426.39,2428.38,2412.30,2419.86,71399.256,1704882599999,172728655.75002,94537,33662.864,81434959.06707,0
1704882600000,2419.85,2419.86,2400.33,2401.19,71977.691,1704884399999,173372817.86265,90407,33014.481,79522031.63397,0
1704884400000,2401.19,2409.12,2396.51,2409.12,51955.914,1704886199999,124922338.18663,74565,26843.301,64550921.41033,0
1704886200000,2409.13,2409.95,2378.00,2402.97,98509.364,1704887999999,236055835.34063,110688,43681.085,104704857.02090,0
1704888000000,2402.97,2420.38,2356.34,2380.30,254850.245,1704889799999,609439251.91342,260808,115364.107,276053074.45168,0
1704889800000,2380.30,2383.43,2336.28,2360.51,304443.955,1704891599999,719401452.53182,311212,145416.608,343757373.65667,0
1704891600000,2360.52,2392.61,2350.89,2387.30,210980.027,1704893399999,501411048.91928,235285,112302.972,266914028.41983,0
1704893400000,2387.35,2390.40,2376.59,2378.63,79595.051,1704895199999,189621383.25111,95568,38174.918,90949779.68067,0
