open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1707523200000,2485.24,2495.46,2485.24,2494.10,28995.711,1707524999999,72217859.92597,40271,15362.412,38259016.82075,0
1707525000000,2494.10,2494.89,2483.04,2484.98,29040.766,1707526799999,72254638.19669,41652,11820.930,29409577.67532,0
1707526800000,2484.99,2496.16,2481.65,2494.45,28719.741,1707528599999,71448468.07650,43935,17512.481,43579211.44974,0
1707528600000,2494.44,2504.69,2492.39,2497.29,40537.625,1707530399999,101290900.50573,43003,20392.943,50961285.17611,0
1707530400000,2497.28,2505.40,2495.46,2504.86,21505.266,1707532199999,53759760.15142,28213,13131.382,32827291.25859,0
1707532200000,2504.86,2505.06,2500.28,2505.05,15060.327,1707533999999,37698497.96295,24144,7648.322,19146890.50314,0
1707534000000,2505.05,2510.00,2505.05,2508.55,21882.802,1707535799999,54892644.77085,33795,11056.648,27733932.93074,0
1707535800000,2508.55,2513.83,2508.16,2511.14,26335.807,1707537599999,66126615.96780,35779,14600.478,36659989.67540,0
1707537600000,2511.13,2515.20,2506.62,2508.06,22516.950,1707539399999,56545294.29594,33662,10518.730,26417769.03564,0
1707539400000,2508.05,2509.98,2505.02,2505.31,13990.793,1707541199999,35076978.05406,25040,5924.826,14853974.88929,0
1707541200000,2505.31,2507.16,2502.24,2503.06,16528.922,1707542999999,41394570.53691,26070,8494.985,21275855.85695,0
1707543000000,2503.06,2504.09,2500.00,2503.04,18452.985,1707544799999,46174646.01868,23871,7295.775,18256832.11440,0
1707544800000,2503.03,2506.32,2502.45,2505.82,15521.294,1707546599999,38877181.49414,22314,8353.271,20922509.94228,0
1707546600000,2505.81,2506.70,2502.83,2503.25,19486.176,1707548399999,48813605.04636,24031,8020.437,20090747.78870,0
1707548400000,2503.25,2505.74,2496.90,2498.01,19510.384,1707550199999,48792428.64202,30851,8531.995,21335822.02163,0
1707550200000,2498.00,2502.14,2493.14,2494.06,28985.324,1707551999999,72400712.35732,36737,13031.362,32549548.47423,0
1707552000000,2494.06,2498.28,2492.94,2496.30,18226.569,1707553799999,45495594.94551,28636,9763.205,24370865.62374,0
1707553800000,2496.30,2496.31,2483.81,2484.41,43458.497,1707555599999,108183184.18971,51763,16153.672,40210927.61128,0
1707555600000,2484.40,2491.62,2484.23,2490.06,23385.228,1707557399999,58191748.87065,34050,13582.910,33795849.44981,0
1707557400000,2490.06,2493.52,2485.51,2486.34,19917.018,1707559199999,49593570.72200,28742,9635.686,23993507.36893,0
1707559200000,2486.34,2489.76,2484.66,2489.69,19243.270,1707560999999,47866216.67356,30248,9599.397,23879995.03553,0
1707561000000,2489.69,2490.79,2470.04,2473.51,88731.673,1707562799999,219833103.15344,84208,39484.324,97802657.49970,0
1707562800000,2473.52,2481.29,2472.18,2480.75,40376.678,1707564599999,100044522.54644,49183,23451.300,58108217.13970,0
1707564600000,2480.75,2482.65,2475.97,2482.38,26799.050,1707566399999,66446920.46970,36507,13536.430,33565238.75401,0
1707566400000,2482.37,2491.69,2479.64,2488.01,40134.982,1707568199999,99793502.37233,45508,24345.483,60533272.22447,0
1707568200000,2488.02,2488.57,2483.21,2487.09,20201.845,1707569999999,50215540.59580,28067,9109.931,22646480.68681,0
1707570000000,2487.09,2488.76,2479.82,2482.40,26791.703,1707571799999,66553823.07363,31180,8867.442,22027097.82859,0
1707571800000,2482.41,2492.05,2479.59,2488.98,36027.861,1707573599999,89639404.82727,38772,21266.935,52911348.06648,0
1707573600000,2488.99,2496.00,2487.50,2491.04,22653.208,1707575399999,56441798.11746,31457,12743.331,31753424.10170,0
1707575400000,2491.04,2493.16,2488.21,2491.66,14726.479,1707577199999,36673615.29376,23475,7180.081,17882473.00293,0
1707577200000,2491.66,2495.74,2490.53,2493.34,17151.446,1707578999999,42760981.27407,25592,7985.133,19908456.04566,0
1707579000000,2493.32,2494.71,2487.50,2489.42,14937.098,1707580799999,37209445.63875,22517,6260.247,15593847.41730,0
1707580800000,2489.43,2491.45,2486.12,2489.86,22039.751,1707582599999,54859495.27765,32729,11640.157,28973137.69434,0
1707582600000,2489.86,2493.62,2488.00,2490.41,15489.947,1707584399999,38586588.86855,23700,7218.090,17980186.73380,0
1707584400000,2490.41,2491.69,2482.71,2483.75,31448.187,1707586199999,78175827.25718,38156,13882.792,34507453.82169,0
1707586200000,2483.75,2485.96,2482.61,2483.55,13381.092,1707587999999,33245467.69899,21050,6609.846,16421893.30934,0
