open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1710028800000,3908.16,3921.00,3902.29,3917.37,23630.786,1710030599999,92444593.22904,42438,11741.808,45937263.69143,0
1710030600000,3917.36,3921.59,3904.95,3912.44,28147.256,1710032399999,110135030.80865,46482,13570.297,53095839.64155,0
1710032400000,3912.45,3945.62,3910.41,3930.17,83751.227,1710034199999,329421002.60417,131820,42765.926,168189437.69085,0
1710034200000,3930.16,3938.00,3920.48,3934.60,36887.225,1710035999999,144985452.46240,73659,18658.456,73342775.75028,0
1710036000000,3934.59,3941.00,3929.42,3933.38,21407.329,1710037799999,84247523.12468,46158,10088.355,39701936.24529,0
1710037800000,3933.38,3942.92,3924.30,3925.00,20837.585,1710039599999,81949318.47020,39077,8138.485,32008273.87847,0
1710039600000,3925.00,3940.00,3915.07,3937.71,24643.904,1710041399999,96822815.08792,44810,12530.646,49237916.63187,0
1710041400000,3937.71,3941.60,3932.00,3938.31,16806.947,1710043199999,66156517.86918,38611,8029.423,31609606.67138,0
1710043200000,3938.32,3956.48,3935.02,3942.69,49314.401,1710044999999,194651841.93354,80099,24318.396,95994141.40438,0
1710045000000,3942.69,3955.00,3938.07,3945.00,26577.875,1710046799999,104900287.69778,47498,13416.404,52956342.78240,0
1710046800000,3945.02,3954.26,3941.00,3949.69,17715.533,1710048599999,69964253.81651,32807,10070.877,39774638.02013,0
1710048600000,3949.70,3950.71,3938.30,3942.49,17183.244,1710050399999,67752441.89576,33746,7110.739,28036212.47134,0
1710050400000,3942.49,3944.34,3932.61,3935.14,16263.094,1710052199999,64045120.35080,31648,5943.255,23408030.36407,0
1710052200000,3935.14,3952.50,3934.23,3946.89,18862.523,1710053999999,74407135.68914,32248,11353.710,44787472.65182,0
1710054000000,3946.89,3949.75,3941.29,3946.02,9687.660,1710055799999,38227692.42437,20534,4738.971,18700314.30939,0
1710055800000,3946.03,3953.65,3943.30,3948.47,18039.565,1710057599999,71234354.19486,30189,9859.091,38933246.80617,0
1710057600000,3948.48,3954.99,3943.57,3946.85,17360.471,1710059399999,68560658.39122,30630,7962.413,31450148.94316,0
1710059400000,3946.84,3970.84,3944.05,3963.93,36304.978,1710061199999,143660241.84932,57161,20211.613,79983854.64968,0
1710061200000,3963.92,3964.44,3930.28,3937.75,51184.001,1710062999999,201927057.71719,86851,21150.018,83427687.69883,0
1710063000000,3937.75,3962.00,3923.35,3950.80,75137.957,1710064799999,296382452.84551,132573,38163.414,150572906.82800,0
1710064800000,3950.82,3961.25,3946.88,3949.24,38315.755,1710066599999,151517445.64797,64978,16697.157,66027287.51423,0
1710066600000,3949.24,3953.50,3935.55,3942.35,28895.722,1710068399999,113942932.60040,56287,13827.104,54529433.25594,0
1710068400000,3942.35,3947.81,3936.32,3939.20,25323.075,1710070199999,99814297.47662,39803,13092.355,51607885.46554,0
1710070200000,3939.21,3940.73,3930.01,3936.92,26135.009,1710071999999,102841444.69951,48100,11978.640,47135650.23280,0
1710072000000,3936.93,3951.63,3936.02,3941.24,25066.342,1710073799999,98873589.25715,44876,12809.050,50520518.61507,0
1710073800000,3941.23,3942.41,3914.53,3930.63,57714.102,1710075599999,226720628.82815,96710,25509.579,100206467.26123,0
1710075600000,3930.62,3934.92,3924.00,3924.52,19279.083,1710077399999,75757367.32808,39517,9135.261,35898100.94885,0
1710077400000,3924.51,3930.00,3888.00,3901.72,83467.664,1710079199999,326070207.27441,110759,37754.222,147482104.38042,0
1710079200000,3901.73,3914.48,3895.84,3908.79,53866.656,1710080999999,210433754.17128,92440,27157.211,106094748.05374,0
