open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1726012800000,2387.63,2388.39,2375.12,2376.46,36626.102,1726014599999,87239562.38454,45008,16139.512,38435772.65312,0
1726014600000,2376.46,2380.49,2373.01,2376.19,20822.357,1726016399999,49490681.66821,34207,11239.849,26718447.86899,0
1726016400000,2376.19,2380.65,2363.17,2365.24,42241.871,1726018199999,100153597.41001,59834,20332.140,48211176.93367,0
1726018200000,2365.23,2366.59,2337.30,2349.20,173194.319,1726019999999,407260399.87569,159626,82026.280,192876234.00450,0
1726020000000,2349.20,2359.99,2347.39,2355.73,29228.165,1726021799999,68807227.63450,48750,15831.645,37271453.25301,0
1726021800000,2355.74,2368.00,2347.60,2352.59,59977.179,1726023599999,141421223.61744,67795,31875.775,75168730.26061,0
1726023600000,2352.59,2354.59,2343.38,2347.22,37542.774,1726025399999,88120426.81402,49876,17476.458,41023430.68214,0
1726025400000,2347.22,2353.65,2343.00,2347.13,37277.196,1726027199999,87546256.17796,43240,21589.675,50712020.46531,0
1726027200000,2347.14,2347.14,2325.16,2337.26,94783.662,1726028999999,221351639.02690,91618,43561.134,101733547.50549,0
1726029000000,2337.26,2337.26,2317.48,2332.97,70575.235,1726030799999,164264769.05451,80111,33809.834,78710284.59036,0
1726030800000,2332.98,2333.55,2318.00,2320.97,44429.241,1726032599999,103338034.84015,55280,22017.229,51223067.46838,0
1726032600000,2320.97,2327.54,2318.57,2325.43,28949.827,1726034399999,67274661.29320,45624,17529.613,40734230.57472,0
1726034400000,2325.43,2332.40,2321.81,2331.67,39671.275,1726036199999,92390629.25600,46679,21602.640,50315002.50753,0
1726036200000,2331.63,2338.09,2327.42,2329.82,35768.114,1726037999999,83477305.22899,42797,14623.930,34140176.56658,0
1726038000000,2329.83,2338.37,2329.75,2338.08,23741.749,1726039799999,55413814.15116,36858,12177.212,28421493.94328,0
1726039800000,2338.07,2342.96,2334.55,2340.42,33307.333,1726041599999,77896995.78780,40302,20198.097,47240380.33574,0
1726041600000,2340.41,2340.73,2326.11,2333.67,28031.873,1726043399999,65393159.20048,37783,10996.382,25652683.85930,0
1726043400000,2333.67,2333.89,2321.36,2321.80,28679.022,1726045199999,66698092.61926,40789,13050.342,30348022.75441,0
1726045200000,2321.80,2334.78,2321.03,2332.21,36342.111,1726046999999,84634234.78950,43058,24136.939,56212739.02637,0
1726047000000,2332.22,2334.95,2318.00,2329.00,57795.439,1726048799999,134421146.19497,57789,23275.171,54142045.34878,0
1726048800000,2328.99,2329.25,2305.23,2315.00,73630.288,1726050599999,170450629.89319,76133,28630.628,66300609.73026,0
1726050600000,2314.99,2322.00,2307.13,2315.38,53223.620,1726052399999,123173710.89757,63537,26562.758,61486297.72666,0
1726052400000,2315.38,2325.44,2315.38,2322.42,37466.568,1726054199999,86957555.67557,48623,17895.473,41535428.29426,0
1726054200000,2322.41,2330.23,2321.62,2326.68,37535.789,1726055999999,87299755.76703,47512,21647.775,50350544.92389,0
1726056000000,2326.67,2334.11,2322.26,2332.78,44763.738,1726057799999,104256652.75044,54448,22555.893,52535924.16514,0
1726057800000,2332.80,2336.63,2310.20,2333.50,172672.405,1726059599999,401140852.07542,167259,82729.638,192258467.49074,0
1726059600000,2333.49,2354.70,2331.14,2331.80,119692.573,1726061399999,280193939.50551,129037,59551.346,139436179.10254,0
1726061400000,2331.81,2332.14,2282.11,2286.35,282237.215,1726063199999,650551787.29545,253109,118092.005,272381234.50898,0
1726063200000,2286.35,2298.93,2281.60,2291.37,136379.317,1726064999999,312441154.93606,143535,67071.253,153685746.95820,0
1726065000000,2291.36,2310.66,2275.80,2308.77,136988.092,1726066799999,313596511.44343,140586,69987.577,160313663.76261,0
1726066800000,2308.76,2318.88,2301.33,2312.62,152834.407,1726068599999,353220082.42433,130886,75062.893,173475229.03157,0
1726068600000,2312.62,2336.26,2311.69,2324.87,155415.118,1726070399999,361418387.17923,141617,75834.640,176356149.05895,0
1726070400000,2324.86,2342.00,2323.74,2338.36,104189.450,1726072199999,243155424.22830,104289,54742.194,127761932.15679,0
1726072200000,2338.36,2352.80,2333.21,2345.37,92131.375,1726073999999,215898360.00132,100594,46131.536,108129147.16152,0
1726074000000,2345.37,2363.60,2344.00,2354.76,130037.966,1726075799999,306348277.24513,116879,69032.210,162622399.64359,0
1726075800000,2354.75,2368.00,2350.64,2355.78,67825.751,1726077599999,159970744.99387,79064,36003.240,84924383.26484,0
1726077600000,2355.78,2358.62,2350.01,2352.30,40495.226,1726079399999,95360826.98612,59932,19833.866,46707970.23093,0
1726079400000,2352.30,2353.82,2327.13,2336.19,127538.738,1726081199999,298402686.96372,108420,57297.208,134054846.93085,0
1726081200000,2336.17,2339.95,2328.65,2338.05,34729.884,1726082999999,81074002.19792,51708,18723.848,43718460.11744,0
1726083000000,2338.06,2344.00,2330.13,2339.44,39242.353,1726084799999,91728968.23158,51118,20977.142,49046378.99812,0
1726084800000,2339.45,2346.66,2338.22,2343.60,25159.915,1726086599999,58944825.07502,33518,12756.991,29888895.44162,0
1726086600000,2343.60,2349.68,2340.79,2346.23,15474.255,1726088399999,36296792.50202,25223,8233.818,19316403.46949,0
1726088400000,2346.22,2351.08,2339.20,2340.30,15885.792,1726090199999,37239624.38049,28926,6424.359,15063347.19488,0
1726090200000,2340.30,2345.00,2338.45,2341.66,10923.203,1726091999999,25578960.82340,20633,5072.869,11879898.28933,0
