open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1723334400000,2608.77,2626.90,2604.50,2617.86,42729.006,1723336199999,111850484.61308,60539,24053.100,62968005.04588,0
1723336200000,2617.85,2628.60,2615.31,2623.48,20280.879,1723337999999,53218568.68128,42405,10292.044,27011048.96559,0
1723338000000,2623.48,2628.68,2617.00,2620.37,22084.527,1723339799999,57911891.82383,36971,10182.491,26708470.40900,0
1723339800000,2620.36,2630.89,2619.34,2628.13,16055.443,1723341599999,42164601.17671,30121,8698.746,22842676.09875,0
1723341600000,2628.14,2630.57,2623.00,2626.60,10795.421,1723343399999,28355588.17374,22598,4389.333,11530148.35648,0
1723343400000,2626.60,2628.00,2620.83,2623.62,9965.217,1723345199999,26153745.30662,22684,4522.444,11869198.75432,0
1723345200000,2623.63,2674.29,2623.63,2660.85,86560.785,1723346999999,229114334.09995,103735,49489.191,130996907.63089,0
1723347000000,2660.84,2666.68,2644.05,2645.46,52669.832,1723348799999,139792587.61718,81962,24248.131,64365894.33793,0
1723348800000,2645.46,2648.00,2632.03,2645.40,39716.830,1723350599999,104843468.89532,60153,19408.498,51247036.13449,0
1723350600000,2645.40,2652.92,2640.30,2643.25,26908.619,1723352399999,71212021.08283,45840,14958.142,39590141.46780,0
1723352400000,2643.25,2650.33,2641.87,2648.87,12762.528,1723354199999,33781610.27510,25091,6754.871,17882183.03786,0
1723354200000,2648.87,2665.87,2645.80,2660.00,28735.267,1723355999999,76354009.07447,48130,14190.527,37706061.63735,0
1723356000000,2660.01,2661.98,2651.91,2652.47,26432.764,1723357799999,70212719.82730,41353,11932.745,31699773.55621,0
1723357800000,2652.47,2664.73,2650.00,2658.50,28166.304,1723359599999,74889762.51384,46306,13142.699,34946253.62179,0
1723359600000,2658.51,2668.96,2658.51,2661.10,33149.551,1723361399999,88322096.79099,47807,14627.775,38975268.93716,0
1723361400000,2661.09,2682.00,2660.80,2676.16,59703.600,1723363199999,159715220.58055,74989,33006.359,88291579.30840,0
1723363200000,2676.20,2684.06,2673.00,2674.37,34592.721,1723364999999,92670312.86736,50070,15884.107,42555108.47820,0
1723365000000,2674.37,2697.00,2673.04,2684.27,55274.959,1723366799999,148513963.29146,73563,27150.210,72959414.15990,0
1723366800000,2684.27,2720.78,2682.88,2702.33,104110.042,1723368599999,281402773.08419,128241,56880.527,153774511.36560,0
1723368600000,2702.33,2707.67,2680.92,2683.13,79102.178,1723370399999,212920477.25696,98277,33823.432,91056409.54627,0
1723370400000,2683.13,2694.37,2672.68,2682.57,63546.833,1723372199999,170484755.78113,85968,31122.636,83511274.41985,0
1723372200000,2682.57,2686.59,2673.58,2674.69,29780.588,1723373999999,79765612.67682,45728,12294.705,32934008.23096,0
1723374000000,2674.69,2676.61,2650.61,2657.52,115832.134,1723375799999,308290246.16142,141406,54200.481,144254931.04273,0
1723375800000,2657.51,2661.77,2643.48,2651.60,63155.860,1723377599999,167474073.30832,87885,29457.638,78117517.25827,0
1723377600000,2651.58,2654.87,2623.86,2640.41,89547.204,1723379399999,236228514.92858,110962,40325.898,106393166.83020,0
1723379400000,2640.42,2643.40,2623.78,2636.50,46539.889,1723381199999,122526115.36839,65661,21770.351,57333546.94262,0
1723381200000,2636.50,2636.81,2615.47,2624.84,54497.457,1723382999999,143044693.17739,81228,25552.976,67089907.83364,0
1723383000000,2624.84,2643.92,2620.42,2637.36,55797.946,1723384799999,146946794.22072,73220,32905.003,86682086.87217,0
1723384800000,2637.35,2650.98,2633.27,2644.60,58377.547,1723386599999,154295206.20109,79338,30260.417,79988965.53068,0
1723386600000,2644.60,2651.31,2602.00,2614.00,105054.217,1723388399999,275777281.25738,129241,45448.865,119339034.94395,0
1723388400000,2613.99,2621.56,2592.50,2621.13,99722.459,1723390199999,259998214.11884,138883,52337.333,136507967.95256,0
1723390200000,2621.13,2622.85,2602.69,2612.63,38076.247,1723391999999,99541257.04777,61571,16645.584,43521248.79349,0
1723392000000,2612.63,2618.30,2602.37,2616.71,50299.632,1723393799999,131300944.39773,70041,28256.000,73772817.86686,0
1723393800000,2616.71,2636.88,2614.27,2624.51,48135.426,1723395599999,126287642.64935,65933,26117.086,68535634.82991,0
1723395600000,2624.52,2632.00,2618.00,2619.14,33343.512,1723397399999,87570620.05828,52752,14901.172,39145763.36784,0
1723397400000,2619.14,2641.95,2616.50,2635.01,39291.892,1723399199999,103438643.69985,55168,22211.090,58483347.84012,0
1723399200000,2635.00,2645.00,2628.84,2630.50,34661.214,1723400999999,91407733.07381,57145,16690.156,44030277.66464,0
1723401000000,2630.51,2639.22,2627.13,2637.31,28928.906,1723402799999,76209451.44316,47983,13298.061,35035210.65577,0
1723402800000,2637.32,2638.26,2598.40,2599.67,88009.849,1723404599999,230489670.57143,113991,40098.259,105009977.09896,0
1723404600000,2599.70,2608.98,2595.00,2597.94,52092.986,1723406399999,135521878.94982,84290,27554.019,71696492.60604,0
1723406400000,2597.95,2601.93,2555.55,2560.28,181229.508,1723408199999,466012855.90369,222329,78896.959,202778620.98734,0
1723408200000,2560.28,2574.05,2537.76,2555.99,133249.830,1723409999999,340845348.56980,172680,67042.884,171550031.74158,0
1723410000000,2555.99,2565.76,2542.44,2557.69,81769.699,1723411799999,208842474.93997,116597,41560.382,106173459.36892,0
1723411800000,2557.68,2584.70,2550.67,2579.36,48253.732,1723413599999,124040584.28152,72815,28556.455,73415106.25734,0
1723413600000,2579.36,2594.12,2553.01,2553.76,79088.593,1723415399999,203288718.50736,129646,36387.838,93554409.79571,0
1723415400000,2553.76,2575.08,2540.04,2566.37,63001.546,1723417199999,161068757.76824,106721,33683.623,86143714.67267,0
1723417200000,2566.37,2566.49,2551.63,2561.70,32777.895,1723418999999,83865659.01991,57017,16373.326,41892642.81076,0
1723419000000,2561.69,2566.71,2550.39,2554.65,25630.156,1723420799999,65562363.69910,44445,11848.492,30320098.45493,0
