open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1707609600000,2499.20,2500.15,2492.47,2498.50,32775.903,1707611399999,81801727.22054,43437,15151.071,37812207.41289,0
1707611400000,2498.51,2503.80,2498.34,2503.17,24622.592,1707613199999,61572060.44164,30641,12141.688,30363076.47291,0
1707613200000,2503.17,2514.37,2501.91,2503.56,53618.899,1707614999999,134473819.38477,55094,26334.679,66051119.81725,0
1707615000000,2503.55,2509.39,2501.54,2505.79,20958.779,1707616799999,52524918.79492,32223,10358.492,25961417.15243,0
1707616800000,2505.79,2511.49,2505.79,2508.00,12957.336,1707618599999,32504777.39790,27541,5555.753,13936776.47523,0
1707618600000,2508.00,2509.28,2503.44,2505.28,14981.226,1707620399999,37546686.27683,28758,6846.069,17159614.05899,0
1707620400000,2505.28,2513.93,2503.64,2512.83,38071.807,1707622199999,95572856.86225,40240,22326.055,56045810.54655,0
1707622200000,2512.83,2528.98,2511.64,2528.28,109364.096,1707623999999,275628922.01183,96699,64898.663,163575613.52202,0
1707624000000,2528.28,2538.46,2524.13,2527.41,85764.920,1707625799999,217126199.34380,82553,44502.971,112685730.30644,0
1707625800000,2527.41,2529.00,2513.50,2516.57,54264.631,1707627599999,136806189.27843,59920,24781.923,62474058.39395,0
1707627600000,2516.57,2524.99,2516.01,2523.45,29399.324,1707629399999,74090627.83631,33010,16238.414,40925567.01901,0
1707629400000,2523.46,2524.57,2518.00,2522.58,19064.534,1707631199999,48069793.62542,31454,9663.267,24367345.30707,0
1707631200000,2522.57,2527.12,2520.69,2522.63,20443.331,1707632999999,51597239.04136,30990,9559.853,24129083.36501,0
1707633000000,2522.64,2533.87,2522.42,2529.69,40955.508,1707634799999,103556096.39363,47129,23463.433,59324750.52715,0
1707634800000,2529.69,2532.22,2525.00,2525.22,25438.113,1707636599999,64324679.61186,37414,11230.029,28400848.54864,0
1707636600000,2525.21,2527.85,2521.50,2526.93,21129.009,1707638399999,53337474.03406,34591,10537.234,26601349.93419,0
1707638400000,2526.93,2539.20,2525.29,2532.63,43413.238,1707640199999,109972859.54955,55300,21044.965,53311815.41512,0
1707640200000,2532.62,2532.70,2521.90,2523.91,25657.980,1707641999999,64842918.25293,37156,10604.406,26797568.29233,0
1707642000000,2523.90,2528.23,2523.10,2525.00,16193.895,1707643799999,40905427.53074,27132,8615.525,21763687.19526,0
1707643800000,2525.00,2525.01,2520.25,2522.44,26252.313,1707645599999,66217280.78125,32114,11470.374,28932344.65423,0
1707645600000,2522.44,2523.49,2516.01,2517.24,26436.944,1707647399999,66606027.16015,32687,10167.508,25621221.99337,0
1707647400000,2517.24,2520.84,2510.03,2520.57,45317.927,1707649199999,114012444.38373,48168,21478.716,54046826.27430,0
1707649200000,2520.57,2527.61,2519.20,2525.98,31544.482,1707650999999,79600727.88500,38788,18488.041,46657290.05604,0
1707651000000,2525.95,2531.12,2522.38,2530.13,28713.590,1707652799999,72549474.28258,35179,16580.303,41898922.37824,0
1707652800000,2530.13,2531.36,2525.91,2529.14,28145.644,1707654599999,71174204.30010,37540,11385.722,28792336.86357,0
1707654600000,2529.17,2529.49,2520.42,2521.25,26526.755,1707656399999,66952382.11327,32221,10154.731,25627552.67548,0
1707656400000,2521.25,2523.56,2511.22,2515.50,54681.927,1707658199999,137613161.42467,51724,21171.004,53273323.75705,0
1707658200000,2515.50,2518.63,2508.05,2509.46,46236.882,1707659999999,116207261.79874,57350,20061.991,50429131.68140,0
1707660000000,2509.47,2513.10,2503.37,2509.38,50341.862,1707661799999,126277071.65629,60862,24155.630,60594132.10273,0
1707661800000,2509.38,2514.20,2505.54,2513.10,29944.563,1707663599999,75167112.55516,39792,17224.239,43238902.66960,0
