open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1712793600000,3547.64,3549.68,3528.56,3533.70,37650.671,1712795399999,133142060.40687,82051,16073.433,56839571.96616,0
1712795400000,3533.69,3541.00,3530.83,3536.13,14683.766,1712797199999,51913414.09778,43419,7786.795,27531092.00984,0
1712797200000,3536.14,3544.93,3531.21,3531.88,23378.027,1712798999999,82722136.27931,52577,11431.512,40454557.99036,0
1712799000000,3531.88,3543.50,3525.97,3532.85,19777.089,1712800799999,69917690.79435,53100,9364.547,33112939.30272,0
1712800800000,3532.85,3561.00,3529.47,3551.84,37001.866,1712802599999,131279984.67401,78504,22096.679,78407857.26932,0
1712802600000,3551.84,3580.00,3550.85,3568.69,61197.880,1712804399999,218233785.00885,116595,31431.652,112081274.89293,0
1712804400000,3568.69,3573.52,3557.64,3561.92,28149.087,1712806199999,100330169.62181,63957,11583.302,41288396.80648,0
1712806200000,3561.92,3578.53,3558.60,3578.53,24414.211,1712807999999,87161636.81679,56360,13297.450,47483096.59388,0
1712808000000,3578.55,3584.99,3557.00,3563.71,44209.359,1712809799999,157723057.79533,84940,19796.225,70644355.92598,0
1712809800000,3563.71,3566.40,3555.20,3563.79,23124.941,1712811599999,82360953.92111,54411,10869.233,38710885.79259,0
1712811600000,3563.79,3571.99,3558.88,3562.41,20519.319,1712813399999,73157583.47213,50375,10243.624,36527881.25566,0
1712813400000,3562.40,3567.39,3557.93,3565.60,14878.930,1712815199999,53017883.02858,46655,7244.824,25816640.78046,0
1712815200000,3565.61,3576.98,3564.32,3566.70,20667.728,1712816999999,73792832.94805,54642,11252.608,40177400.22640,0
1712817000000,3566.70,3589.40,3566.70,3577.79,42738.306,1712818799999,153003649.45605,82379,23248.774,83243329.39542,0
1712818800000,3577.78,3609.00,3577.78,3596.52,62102.268,1712820599999,223244755.17882,121917,35415.160,127308690.00704,0
1712820600000,3596.51,3598.80,3583.76,3585.41,38606.162,1712822399999,138658540.51327,77509,17428.301,62599403.04277,0
1712822400000,3585.42,3604.01,3580.16,3599.33,38801.762,1712824199999,139428118.52797,79135,20456.119,73510370.87322,0
1712824200000,3599.33,3621.74,3597.37,3610.63,62190.766,1712825999999,224583390.82646,128854,34504.447,124619002.21542,0
1712826000000,3610.63,3611.53,3587.22,3593.26,40700.708,1712827799999,146458063.80787,84999,17169.845,61788176.55874,0
1712827800000,3593.26,3594.96,3580.10,3581.01,38560.156,1712829599999,138273581.67566,80887,18145.600,65073417.36251,0
1712829600000,3581.01,3587.77,3570.02,3573.94,41241.625,1712831399999,147538684.46452,75921,19397.254,69392392.90818,0
1712831400000,3573.94,3578.64,3559.13,3564.23,47856.516,1712833199999,170727989.89698,84373,22567.447,80516493.94196,0
1712833200000,3564.22,3568.52,3557.64,3560.79,33628.762,1712834999999,119823413.87916,65349,14686.329,52335399.55041,0
1712835000000,3560.80,3561.71,3516.16,3524.85,117333.641,1712836799999,415212423.50038,183209,53021.888,187664396.90418,0
1712836800000,3524.85,3543.00,3522.10,3527.34,50702.707,1712838599999,179186971.04060,111321,26294.097,92935436.12736,0
1712838600000,3527.62,3578.46,3525.77,3560.40,153213.396,1712840399999,545554535.55353,238889,79454.249,282912974.20420,0
1712840400000,3560.39,3574.02,3551.03,3558.18,38771.320,1712842199999,138104692.57831,100732,19547.511,69641180.86597,0
1712842200000,3558.18,3570.91,3491.45,3528.29,242341.651,1712843999999,853237288.21110,337409,108739.127,382889043.02447,0
1712844000000,3528.28,3530.33,3488.00,3498.67,120306.120,1712845799999,421844779.66165,211615,57208.456,200649990.34001,0
1712845800000,3498.68,3516.00,3492.39,3495.63,61171.872,1712847599999,214523531.54816,128704,33049.624,115941751.93521,0
1712847600000,3495.63,3513.89,3493.87,3498.34,51195.368,1712849399999,179342875.37922,114922,22435.002,78605376.85769,0
1712849400000,3498.34,3513.88,3488.77,3509.94,65510.078,1712851199999,229372290.47272,125366,34184.045,119719921.69014,0
1712851200000,3509.94,3524.97,3491.94,3495.48,69073.184,1712852999999,242473701.83619,123003,32513.543,114157692.23386,0
1712853000000,3495.49,3511.20,3475.03,3506.34,97809.584,1712854799999,341448097.38563,158983,50091.839,174914250.39005,0
1712854800000,3506.33,3524.62,3500.90,3517.25,61783.684,1712856599999,217236865.34209,112525,33191.957,116727113.90387,0
1712856600000,3517.24,3519.72,3503.19,3514.33,35975.862,1712858399999,126339422.01064,65167,16562.839,58181887.71566,0
1712858400000,3514.34,3519.82,3504.31,3506.09,23556.932,1712860199999,82704989.41941,55448,10171.505,35717904.64395,0
1712860200000,3506.08,3515.19,3496.71,3507.11,22328.379,1712861999999,78269485.44449,55186,11198.288,39259529.05214,0
1712862000000,3507.10,3514.92,3499.66,3513.96,19241.775,1712863799999,67497318.77406,46773,11225.517,39378976.76167,0
1712863800000,3513.95,3521.00,3509.45,3519.89,23270.308,1712865599999,81791000.09831,54176,11255.884,39567266.22679,0
1712865600000,3519.88,3534.48,3514.34,3525.58,38847.088,1712867399999,136920493.50332,71351,21820.692,76914138.15480,0
