open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1715385600000,2908.85,2919.00,2906.01,2915.60,20215.587,1715387399999,58897157.34150,40223,10335.907,30115729.79484,0
1715387400000,2915.59,2917.42,2908.81,2912.84,20487.066,1715389199999,59668958.73897,37684,8627.779,25129036.57862,0
1715389200000,2912.84,2935.00,2912.25,2924.55,57050.415,1715390999999,166939958.73262,81557,29933.784,87580838.29872,0
1715391000000,2924.56,2924.56,2914.75,2918.19,22455.738,1715392799999,65538596.30926,43047,10682.759,31176954.38995,0
1715392800000,2918.18,2920.28,2910.63,2913.73,15912.769,1715394599999,46380542.59399,35969,7031.517,20495435.47573,0
1715394600000,2913.74,2923.60,2913.59,2917.69,13611.150,1715396399999,39726308.97140,33327,7363.704,21493314.97078,0
1715396400000,2917.69,2918.85,2911.99,2915.00,10655.483,1715398199999,31066626.54689,23152,5563.671,16221266.71157,0
1715398200000,2914.99,2918.31,2903.03,2910.12,25048.951,1715399999999,72867153.22583,38770,9279.785,26994864.40633,0
1715400000000,2910.12,2914.14,2904.71,2908.27,15410.222,1715401799999,44833160.73025,29039,6766.314,19685636.27182,0
1715401800000,2908.27,2915.32,2907.28,2911.67,10345.385,1715403599999,30121401.34482,25841,6236.680,18159684.30414,0
1715403600000,2911.66,2921.68,2911.66,2917.30,14719.232,1715405399999,42930635.70387,26254,8252.342,24069872.49982,0
1715405400000,2917.30,2921.46,2914.61,2917.89,10216.272,1715407199999,29809537.84047,20463,5178.468,15110619.59764,0
1715407200000,2917.88,2923.57,2914.63,2921.00,12530.109,1715408999999,36586565.31573,27888,5919.670,17286413.67774,0
1715409000000,2921.00,2926.56,2916.04,2919.46,16462.722,1715410799999,48094315.97827,33221,7302.226,21335003.30318,0
1715410800000,2919.47,2920.82,2913.71,2918.99,14556.788,1715412599999,42461145.02820,28292,5572.354,16255250.62621,0
1715412600000,2919.00,2923.33,2918.29,2920.90,13116.608,1715414399999,38313519.62988,27681,6582.624,19227915.92291,0
1715414400000,2920.89,2924.00,2909.00,2909.71,23238.141,1715416199999,67723516.89759,40974,8909.295,25966018.60565,0
1715416200000,2909.71,2914.75,2908.35,2909.71,16428.517,1715417999999,47822395.15063,35084,7902.161,23004798.12944,0
1715418000000,2909.70,2911.00,2895.05,2900.19,43819.781,1715419799999,127212271.06298,59368,21562.231,62600543.32461,0
1715419800000,2900.19,2910.50,2899.37,2910.18,22011.006,1715421599999,63944982.93794,35865,12499.381,36318258.66302,0
1715421600000,2910.18,2910.44,2904.44,2904.99,10741.713,1715423399999,31230584.20267,23119,5766.322,16765489.86151,0
1715423400000,2905.00,2909.94,2898.75,2905.77,17634.705,1715425199999,51218924.36112,34265,8912.573,25889922.39534,0
1715425200000,2905.77,2908.54,2884.60,2898.11,51282.239,1715426999999,148478693.14813,68242,22849.385,66158199.60431,0
1715427000000,2898.11,2909.52,2898.11,2902.70,29215.212,1715428799999,84865806.39763,46795,15574.617,45235172.97750,0
1715428800000,2902.70,2909.83,2902.17,2906.53,14335.324,1715430599999,41662867.71905,30496,8124.546,23614052.18513,0
