open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1710115200000,3881.32,3891.99,3865.00,3866.48,54769.018,1710116999999,212413783.54264,88598,24834.289,96326646.51640,0
1710117000000,3866.47,3873.17,3719.00,3831.00,248178.461,1710118799999,943785119.73609,298793,113753.735,432697050.01157,0
1710118800000,3831.00,3843.77,3808.20,3818.70,109929.773,1710120599999,420688627.04305,169826,52588.942,201291881.11236,0
1710120600000,3818.70,3822.64,3780.53,3821.74,119843.217,1710122399999,456050149.82847,178553,61120.531,232596203.23770,0
1710122400000,3821.74,3843.20,3816.89,3838.48,49106.699,1710124199999,188146310.59382,98783,24933.648,95534963.02052,0
1710124200000,3838.48,3847.16,3827.94,3838.63,35845.139,1710125999999,137566747.64022,71671,14601.547,56043009.79785,0
1710126000000,3838.63,3868.79,3836.28,3865.87,48737.021,1710127799999,187989980.57353,89182,25742.664,99281435.23708,0
1710127800000,3865.87,3871.70,3852.02,3870.31,38479.597,1710129599999,148563503.38281,76678,20268.166,78255800.20893,0
1710129600000,3870.32,3882.95,3860.48,3863.98,39651.451,1710131399999,153459643.59679,77456,20691.046,80097904.81073,0
1710131400000,3863.99,3867.87,3855.10,3860.11,21060.800,1710133199999,81288909.69386,43768,9469.216,36549356.52427,0
1710133200000,3860.10,3883.00,3854.49,3862.90,46639.123,1710134999999,180478381.88844,77643,24394.851,94399315.22061,0
1710135000000,3862.90,3864.30,3845.09,3851.01,32393.317,1710136799999,124861140.02744,53440,12517.518,48259673.27406,0
1710136800000,3851.01,3856.13,3836.12,3849.49,29972.956,1710138599999,115316216.82850,60967,14416.366,55478112.82683,0
1710138600000,3849.48,3888.42,3841.34,3888.42,47457.686,1710140399999,183396706.09246,92275,26928.590,104075711.96486,0
1710140400000,3888.41,3980.00,3884.29,3972.57,316958.986,1710142199999,1249266067.11357,413294,165018.234,650336629.18792,0
1710142200000,3972.57,4027.20,3963.20,4013.37,430615.258,1710143999999,1723486449.11596,434734,205253.925,821559829.03220,0
1710144000000,4013.37,4033.25,3994.96,4003.00,135180.172,1710145799999,542259756.33304,203272,66167.661,265449297.45749,0
1710145800000,4002.99,4024.98,3992.24,4024.20,72427.680,1710147599999,290576402.29272,127427,36673.763,147167122.24203,0
1710147600000,4024.19,4029.92,3994.02,4014.23,79191.601,1710149399999,317640429.96124,126437,39392.222,158009194.25882,0
1710149400000,4014.23,4059.40,4013.11,4045.64,128763.630,1710151199999,519309178.15245,151995,74259.755,299546212.25546,0
1710151200000,4045.63,4047.53,4031.10,4042.40,77677.294,1710152999999,313775707.46807,107015,40062.639,161837595.74680,0
1710153000000,4042.41,4043.96,4027.01,4030.48,65523.226,1710154799999,264435945.66999,88015,32190.909,129917115.77148,0
1710154800000,4030.49,4041.65,4027.87,4031.90,41861.483,1710156599999,168858837.41934,62420,21060.084,84958751.19018,0
1710156600000,4031.90,4061.91,4022.00,4038.51,144479.624,1710158399999,584055396.82880,192575,71757.902,290123912.22858,0
1710158400000,4038.52,4053.11,4028.51,4052.19,65084.666,1710160199999,263086758.77703,98515,32761.793,132445420.45135,0
1710160200000,4052.19,4072.21,4049.00,4058.98,97581.677,1710161999999,396319321.74748,155913,48984.189,198950294.51227,0
1710162000000,4058.94,4066.63,4048.25,4056.77,50689.373,1710163799999,205545579.50038,88580,22937.994,93028931.86778,0
1710163800000,4056.80,4060.47,4017.41,4026.14,142974.168,1710165599999,577277855.09258,166815,57598.233,232546176.67899,0
1710165600000,4026.15,4053.28,4025.36,4043.97,71444.916,1710167399999,288669825.39546,117629,37669.134,152203357.79713,0
1710167400000,4044.00,4052.95,4033.50,4038.25,51480.125,1710169199999,208009934.69730,86546,25144.245,101605363.63583,0
1710169200000,4038.24,4057.62,4031.55,4043.70,59613.702,1710170999999,240963764.27422,101205,30248.117,122288018.48490,0
1710171000000,4043.69,4053.82,4020.00,4020.68,87099.961,1710172799999,351221856.13134,108411,39754.162,160328541.94029,0
1710172800000,4020.69,4031.73,4001.49,4027.04,116278.998,1710174599999,467222996.15897,163326,54205.078,217832333.68376,0
1710174600000,4027.08,4050.22,4027.08,4043.97,61262.210,1710176399999,247604164.74188,105056,32647.554,131952010.72440,0
1710176400000,4043.97,4051.20,4033.09,4043.98,45258.207,1710178199999,182918639.93877,61500,20358.134,82295014.95374,0
1710178200000,4043.98,4055.93,4039.03,4043.52,44928.205,1710179999999,181837497.65651,65667,21517.082,87097901.99379,0
1710180000000,4043.52,4095.16,4038.26,4075.01,104098.413,1710181799999,423875461.12706,132239,56564.665,230321925.20940,0
1710181800000,4075.00,4078.00,4050.46,4063.36,71082.354,1710183599999,288669259.60806,93721,36019.578,146265587.17833,0
1710183600000,4063.36,4067.65,4053.51,4058.34,31503.907,1710185399999,127887371.58412,64926,14891.135,60451743.37597,0
1710185400000,4058.34,4062.85,4031.80,4036.12,57112.797,1710187199999,230909190.14359,84579,25619.084,103577108.42966,0
1710187200000,4036.12,4042.20,4032.18,4037.42,31812.597,1710188999999,128465482.42415,38569,14299.774,57741405.81276,0
1710189000000,4037.42,4041.84,4033.32,4036.36,17829.308,1710190799999,71978979.86432,31008,9959.888,40210301.01446,0
1710190800000,4036.35,4057.80,4033.74,4056.43,28041.176,1710192599999,113378104.72597,34739,19391.700,78400729.78580,0
1710192600000,4056.43,4063.62,4048.76,4058.67,18539.339,1710194399999,75186035.04372,32529,9618.175,39011246.56245,0
1710194400000,4058.66,4068.13,4049.56,4067.69,25128.591,1710196199999,101993577.29243,47540,12484.237,50672925.33475,0
1710196200000,4067.70,4074.24,4057.21,4072.92,25576.332,1710197999999,104012348.26437,48423,11819.004,48065158.29161,0
1710198000000,4072.93,4089.08,4066.80,4086.16,46801.345,1710199799999,190930460.93810,71588,23956.614,97743126.29559,0
1710199800000,4086.16,4088.09,4070.05,4070.52,31302.151,1710201599999,127671903.83435,51139,12841.616,52382387.99622,0
