open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1704931200000,2585.81,2594.99,2570.02,2573.65,141678.741,1704932999999,365820561.46211,171597,67625.037,174642503.92729,0
1704933000000,2573.65,2609.11,2572.34,2607.06,94705.965,1704934799999,245653921.58579,133430,53166.153,137936047.94370,0
1704934800000,2607.06,2608.31,2589.23,2594.81,71233.662,1704936599999,185117558.75030,106056,30251.119,78620831.50892,0
1704936600000,2594.81,2598.23,2565.69,2568.94,117433.145,1704938399999,302745455.47271,138854,49489.454,127617161.31760,0
1704938400000,2568.94,2583.62,2566.33,2580.89,58960.696,1704940199999,151805450.49365,75550,33637.389,86605645.07001,0
1704940200000,2580.89,2586.96,2574.36,2580.88,57361.033,1704941999999,148065588.99795,71825,25486.046,65793616.12564,0
1704942000000,2580.89,2590.68,2571.40,2588.60,81508.843,1704943799999,210466385.63659,96192,38666.027,99855879.30467,0
1704943800000,2588.60,2617.00,2588.60,2613.07,103784.471,1704945599999,270054401.57410,119887,61173.597,159194243.42108,0
1704945600000,2613.10,2630.60,2607.00,2612.21,138856.138,1704947399999,363534457.18255,158195,71341.274,186816614.43381,0
1704947400000,2612.21,2618.41,2602.49,2614.47,68856.882,1704949199999,179736670.89554,92737,28395.846,74131896.84660,0
1704949200000,2614.47,2615.66,2602.02,2603.55,59699.046,1704950999999,155605126.39429,91444,24952.914,65041632.13136,0
1704951000000,2603.56,2603.74,2583.99,2596.95,91702.363,1704952799999,237792729.68477,117295,40833.340,105887203.52868,0
1704952800000,2596.96,2598.96,2575.00,2576.52,88324.570,1704954599999,228186551.16490,118629,42022.981,108551695.37615,0
1704954600000,2576.52,2586.17,2573.48,2577.64,73122.167,1704956399999,188634306.11695,88547,37915.544,97817839.54090,0
1704956400000,2577.64,2592.00,2576.32,2590.32,65462.652,1704958199999,169181652.79990,69970,37952.908,98087421.75960,0
1704958200000,2590.32,2591.38,2579.00,2590.00,37672.226,1704959999999,97396835.04185,47697,18019.970,46587397.67314,0
1704960000000,2590.01,2609.88,2586.76,2608.83,65772.954,1704961799999,170874172.10367,82904,36517.783,94877011.38769,0
1704961800000,2608.83,2617.87,2601.79,2615.74,57723.622,1704963599999,150616209.09094,76183,31587.729,82431800.13088,0
1704963600000,2615.74,2620.60,2607.50,2609.10,56248.098,1704965399999,147059762.52771,79754,24840.375,64959293.35320,0
1704965400000,2609.10,2618.38,2605.34,2609.35,37163.394,1704967199999,97021063.44948,55903,17936.643,46832203.42007,0
1704967200000,2609.35,2627.99,2608.00,2624.27,64172.866,1704968999999,168094360.55396,89340,33666.261,88195073.36559,0
1704969000000,2624.27,2651.71,2618.13,2637.14,170484.110,1704970799999,449656860.92028,201938,92361.004,243613725.12063,0
1704970800000,2637.13,2652.62,2627.71,2652.40,110588.766,1704972599999,291875926.94779,139183,60030.466,158487299.69540,0
1704972600000,2652.40,2666.66,2643.00,2658.18,138861.045,1704974399999,368602514.48296,180390,75282.982,199863245.37986,0
1704974400000,2658.18,2663.15,2643.02,2644.24,96723.088,1704976199999,256365952.79483,125577,44676.435,118409748.27690,0
1704976200000,2644.24,2653.76,2635.56,2647.45,86973.618,1704977999999,230011422.94916,129170,42591.217,112657434.18885,0
1704978000000,2647.44,2657.45,2637.59,2641.88,95659.524,1704979799999,253385046.93425,129393,46216.298,122425968.93079,0
1704979800000,2641.89,2651.26,2622.62,2636.40,160065.181,1704981599999,422118322.98850,201240,76440.567,201615454.83713,0
1704981600000,2636.39,2650.24,2621.01,2629.96,138797.094,1704983399999,365858322.25636,191391,62816.213,165626111.25830,0
1704983400000,2629.97,2688.00,2616.63,2683.64,433217.745,1704985199999,1152148560.44315,465341,223993.769,595824150.82377,0
1704985200000,2683.64,2691.90,2643.12,2648.62,378229.388,1704986999999,1009700555.61973,426830,183747.605,490703806.90853,0
1704987000000,2648.75,2651.40,2595.35,2614.66,336288.926,1704988799999,880739138.62688,403432,159386.615,417445212.61143,0
1704988800000,2614.65,2626.95,2573.00,2580.82,318869.711,1704990599999,827464840.50848,396909,153750.757,399043373.35685,0
1704990600000,2580.82,2604.97,2571.28,2589.23,143794.492,1704992399999,372585987.74224,218186,71792.216,186020359.87725,0
1704992400000,2589.24,2617.49,2575.00,2582.72,162031.114,1704994199999,421083147.13153,212615,80748.386,209880574.13770,0
1704994200000,2582.71,2605.76,2579.31,2603.97,85327.053,1704995999999,221530187.96596,133756,47010.391,122054787.12226,0
1704996000000,2603.97,2604.19,2590.53,2601.64,53474.881,1704997799999,138909757.27496,83642,25085.146,65176543.27051,0
1704997800000,2601.64,2620.29,2597.43,2614.92,77280.172,1704999599999,201787982.98944,104457,41578.840,108575685.99328,0
1704999600000,2614.91,2616.40,2598.17,2607.62,55637.010,1705001399999,145035557.66542,77693,25231.265,65775302.34705,0
1705001400000,2607.61,2624.44,2601.95,2623.37,54779.065,1705003199999,143292636.93554,77478,29550.021,77311008.80972,0
1705003200000,2623.36,2633.72,2620.62,2628.57,65217.455,1705004999999,171360283.64460,92648,32629.883,85741408.57949,0
1705005000000,2628.56,2629.36,2588.40,2594.49,131524.370,1705006799999,342161538.06109,161512,61030.598,158740914.83053,0
1705006800000,2594.49,2622.00,2592.68,2613.48,75712.331,1705008599999,197523251.69492,90808,41147.063,107325840.13660,0
1705008600000,2613.49,2616.71,2601.36,2604.39,36129.265,1705010399999,94245612.01896,61937,17697.342,46162750.47313,0
1705010400000,2604.39,2615.40,2599.35,2600.88,32938.845,1705012199999,85928724.62938,54061,16717.508,43621082.04622,0
1705012200000,2600.89,2617.60,2596.70,2616.20,30307.052,1705013999999,78988811.27328,47265,15875.624,41386305.54299,0
1705014000000,2616.21,2621.82,2612.00,2614.70,32028.777,1705015799999,83834092.13719,47932,13288.517,34781023.99752,0
1705015800000,2614.70,2625.83,2610.98,2618.59,29043.407,1705017599999,76077514.22636,44057,13949.455,36543809.29710,0
