open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1720656000000,3099.12,3099.53,3084.17,3090.54,24664.291,1720657799999,76271607.09697,39773,10152.152,31400291.50259,0
1720657800000,3090.53,3102.50,3084.16,3099.75,18060.926,1720659599999,55835527.79083,38165,10426.460,32242731.58008,0
1720659600000,3099.75,3100.38,3087.60,3094.27,16164.522,1720661399999,49992568.43541,33791,6670.434,20630833.99489,0
1720661400000,3094.28,3129.15,3090.44,3120.24,68707.077,1720663199999,214055226.34419,99742,35576.097,110814609.39225,0
1720663200000,3120.24,3123.55,3094.38,3110.60,44925.695,1720664999999,139581601.78861,73693,20375.841,63292179.07570,0
1720665000000,3110.59,3110.60,3099.50,3102.58,17941.826,1720666799999,55683782.22801,40247,8448.650,26219283.73583,0
1720666800000,3102.59,3106.19,3052.75,3070.00,118887.512,1720668599999,365200242.20113,142830,54469.926,167279717.08185,0
1720668600000,3070.01,3080.00,3064.07,3075.70,32029.135,1720670399999,98376847.32692,55823,17010.106,52247655.15871,0
1720670400000,3075.71,3082.59,3072.61,3077.80,22746.594,1720672199999,70024723.23471,38205,12135.937,37363263.48409,0
1720672200000,3077.80,3087.62,3076.83,3083.31,22464.224,1720673999999,69272355.56749,35027,11687.081,36040459.68727,0
1720674000000,3083.32,3096.80,3080.90,3087.13,27756.412,1720675799999,85759235.11543,41735,15126.438,46736979.33882,0
1720675800000,3087.13,3099.27,3085.00,3096.68,23122.580,1720677599999,71522540.70071,40045,11663.186,36079372.15740,0
1720677600000,3096.68,3101.68,3092.34,3099.33,26909.250,1720679399999,83339652.20466,40537,13393.119,41484292.05258,0
1720679400000,3099.34,3108.98,3094.93,3104.26,30224.868,1720681199999,93758666.59165,39010,16453.799,51044728.88001,0
1720681200000,3104.27,3118.63,3101.80,3115.22,35919.061,1720682999999,111738727.02864,49709,21696.793,67506563.63344,0
1720683000000,3115.21,3123.34,3111.13,3117.00,43100.120,1720684799999,134337087.66622,50407,21006.424,65486185.93089,0
1720684800000,3117.00,3129.87,3116.64,3124.54,45220.635,1720686599999,141236514.90942,62941,22391.271,69931962.81332,0
1720686600000,3124.54,3127.80,3113.06,3121.70,30632.333,1720688399999,95576911.36174,55914,13547.367,42266230.23591,0
1720688400000,3121.70,3127.95,3118.05,3126.20,27045.694,1720690199999,84482177.82635,44949,15172.414,47398238.15842,0
1720690200000,3126.20,3145.99,3122.14,3142.31,79712.947,1720691999999,249918302.86407,111531,44627.515,139925121.76225,0
1720692000000,3142.32,3156.00,3135.05,3139.10,68748.775,1720693799999,216191675.60426,91128,33917.719,106683872.06017,0
1720693800000,3139.09,3143.56,3137.09,3143.40,23492.209,1720695599999,73766959.97202,39639,11968.428,37584291.89630,0
1720695600000,3143.40,3146.82,3132.43,3134.99,29590.976,1720697399999,92921238.11890,43858,11963.261,37575826.56087,0
1720697400000,3134.99,3155.92,3131.46,3145.55,58352.599,1720699199999,183554982.38499,78444,32880.072,103416978.73289,0
1720699200000,3145.55,3158.00,3125.35,3147.16,90593.143,1720700999999,284944887.47257,110592,43631.276,137302123.83421,0
1720701000000,3147.20,3216.60,3146.31,3191.31,405277.742,1720702799999,1292501952.06795,436832,224735.401,716784977.20698,0
1720702800000,3191.30,3191.57,3160.00,3177.76,129961.126,1720704599999,412624276.38291,152120,68467.386,217419882.21390,0
1720704600000,3177.75,3183.26,3155.67,3179.25,69848.663,1720706399999,221365628.06844,112244,33391.719,105845433.21756,0
1720706400000,3179.25,3183.53,3125.23,3139.10,177088.420,1720708199999,557163114.95028,197488,83400.644,262377329.16244,0
1720708200000,3139.10,3156.96,3137.97,3148.20,65485.198,1720709999999,206181515.74226,96392,35299.622,111144311.56045,0
