open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1718064000000,3669.65,3675.00,3667.20,3670.00,18649.523,1718065799999,68473540.54443,34908,10122.509,37164077.31805,0
1718065800000,3670.00,3672.83,3662.78,3664.76,23788.167,1718067599999,87239342.94414,37346,11126.723,40805312.49571,0
1718067600000,3664.76,3671.91,3663.63,3669.32,12287.004,1718069399999,45059891.79447,24687,7677.197,28154455.79045,0
1718069400000,3669.31,3672.00,3600.00,3627.54,161353.626,1718071199999,585661193.32274,175929,68485.819,248615174.92174,0
1718071200000,3627.54,3646.00,3560.00,3596.61,268511.518,1718072999999,967221780.09891,295155,118659.225,427677470.34520,0
1718073000000,3596.60,3607.79,3586.65,3603.68,66329.903,1718074799999,238590354.95119,101119,37848.815,136144662.74593,0
1718074800000,3603.69,3614.46,3591.00,3610.38,56268.247,1718076599999,202777793.23383,72688,29434.173,106085426.73691,0
1718076600000,3610.38,3610.78,3594.06,3596.75,26969.864,1718078399999,97087555.03235,49547,11805.740,42492066.48145,0
1718078400000,3596.75,3596.75,3533.67,3550.39,218431.244,1718080199999,778111813.82123,241633,87189.182,310551284.13363,0
1718080200000,3550.23,3569.58,3533.62,3566.31,93406.429,1718081999999,332061235.05289,117008,47115.914,167523084.47600,0
1718082000000,3566.32,3568.28,3556.80,3566.56,36756.711,1718083799999,130985757.28157,52595,15591.449,55564606.59425,0
1718083800000,3566.56,3566.83,3541.98,3562.60,47929.851,1718085599999,170524029.44563,66877,23175.924,82469560.15481,0
1718085600000,3562.61,3570.82,3551.08,3558.42,47249.662,1718087399999,168293653.93951,72290,23277.078,82914971.42912,0
1718087400000,3558.42,3558.91,3501.12,3541.89,109386.639,1718089199999,386675567.89755,131373,45280.652,160197265.95330,0
1718089200000,3541.89,3549.99,3533.39,3545.47,55046.668,1718090999999,195046579.14387,81327,27831.555,98621540.98935,0
1718091000000,3545.47,3545.47,3523.52,3535.24,55858.994,1718092799999,197353834.32114,77675,27646.930,97675542.98048,0
1718092800000,3535.34,3545.45,3503.33,3524.51,145536.561,1718094599999,512279078.08139,152521,63885.731,224915132.45789,0
1718094600000,3524.51,3539.00,3524.18,3535.59,39100.431,1718096399999,138197096.30386,65519,21318.231,75336843.41877,0
1718096400000,3535.58,3543.05,3523.25,3527.49,34748.143,1718098199999,122765044.77498,59130,14330.011,50631123.42040,0
1718098200000,3527.50,3533.86,3505.55,3516.23,73039.116,1718099999999,257060133.39414,113757,34600.737,121793162.81546,0
1718100000000,3516.23,3550.37,3507.11,3547.00,92933.730,1718101799999,328357563.55496,131089,51806.355,183105483.81164,0
1718101800000,3546.99,3547.00,3524.50,3530.75,38974.981,1718103599999,137799300.57274,67576,17204.674,60828205.92076,0
1718103600000,3530.75,3543.49,3523.31,3533.89,48863.215,1718105399999,172698306.30351,83029,24743.947,87461234.80039,0
1718105400000,3533.89,3540.96,3525.78,3530.87,29816.945,1718107199999,105343399.65430,60223,14038.712,49609714.03337,0
1718107200000,3530.86,3547.26,3526.20,3530.24,34640.275,1718108999999,122538617.09894,59227,18031.785,63796458.02833,0
1718109000000,3530.24,3543.00,3525.00,3535.44,34465.674,1718110799999,121827933.69825,51604,17307.747,61182053.82341,0
1718110800000,3535.44,3547.08,3524.21,3540.34,42793.437,1718112599999,151369166.70816,67842,20826.412,73667916.51733,0
1718112600000,3540.34,3540.35,3510.00,3522.45,91193.068,1718114399999,321216801.83827,125460,43516.533,153298840.35139,0
1718114400000,3522.45,3537.62,3519.04,3526.63,41874.025,1718116199999,147801804.84909,72927,21249.743,75002323.58331,0
1718116200000,3526.63,3528.00,3512.20,3514.22,38865.064,1718117999999,136767693.99355,57480,18147.500,63868659.59672,0
1718118000000,3514.22,3531.20,3485.00,3513.50,129761.300,1718119799999,455648038.61824,146494,58193.981,204486638.38395,0
1718119800000,3513.50,3514.85,3427.09,3448.47,367961.966,1718121599999,1276344003.90486,394526,159819.246,554590012.57851,0
1718121600000,3448.47,3483.99,3443.99,3470.81,111700.352,1718123399999,387630375.16149,148880,57646.783,200045563.22825,0
1718123400000,3470.81,3478.80,3445.00,3453.63,66016.830,1718125199999,228443208.87967,99632,29661.441,102676400.28440,0
1718125200000,3453.64,3463.62,3432.30,3442.26,57824.911,1718126999999,199336818.98237,98882,25715.532,88690035.52430,0
1718127000000,3442.26,3482.00,3436.00,3472.98,68399.817,1718128799999,236567175.44944,104250,39167.626,135456256.98249,0
1718128800000,3472.98,3483.92,3466.48,3479.99,45686.289,1718130599999,158793260.50853,65612,25414.077,88332496.57352,0
1718130600000,3479.98,3497.95,3477.40,3490.46,54810.343,1718132399999,191328318.21104,72972,29099.100,101580462.52377,0
1718132400000,3490.47,3495.26,3478.88,3482.50,24489.717,1718134199999,85403095.06338,44888,9673.639,33737647.82044,0
1718134200000,3482.50,3504.47,3482.28,3498.50,33533.221,1718135999999,117247602.28858,54625,18746.837,65547668.43908,0
1718136000000,3498.49,3499.28,3490.01,3493.17,16549.915,1718137799999,57832796.40582,32945,8687.585,30358382.37803,0
1718137800000,3493.18,3493.18,3485.00,3488.98,16803.247,1718139599999,58615671.34582,31214,6393.916,22303092.96730,0
1718139600000,3488.98,3494.05,3486.31,3491.28,7975.424,1718141399999,27837110.86198,19567,4093.870,14290081.00739,0
1718141400000,3491.28,3503.76,3487.38,3502.72,12356.919,1718143199999,43220226.03609,26121,7200.275,25186568.38823,0
1718143200000,3502.72,3510.00,3497.84,3501.56,21565.663,1718144999999,75566302.92214,35579,11212.755,39298038.84895,0
1718145000000,3501.57,3502.20,3497.84,3501.35,7318.171,1718146799999,25615602.82610,19011,3773.245,13207125.44854,0
1718146800000,3501.34,3510.00,3495.00,3495.40,23546.832,1718148599999,82498339.71213,34789,8637.900,30272783.16225,0
1718148600000,3495.40,3500.91,3493.45,3498.16,10685.557,1718150399999,37370617.79707,22690,5800.151,20284424.35705,0
