open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1702339200000,2225.55,2242.50,2222.10,2238.87,96191.680,1702340999999,214757010.24132,74216,51640.895,115301391.00961,0
1702341000000,2238.98,2239.24,2229.22,2231.52,57408.525,1702342799999,128242512.06736,49224,29252.768,65343554.87803,0
1702342800000,2231.53,2239.45,2228.10,2238.18,50766.129,1702344599999,113438109.66611,44628,26344.939,58871912.51089,0
1702344600000,2238.19,2241.05,2234.17,2236.07,39946.395,1702346399999,89377155.86290,36833,20398.354,45641208.07735,0
1702346400000,2236.07,2245.37,2233.42,2242.09,41615.928,1702348199999,93229115.86131,41432,21728.031,48682957.43011,0
1702348200000,2242.10,2242.15,2237.24,2239.42,24496.817,1702349999999,54853927.79210,29700,10160.429,22751777.26623,0
1702350000000,2239.46,2241.27,2234.17,2240.93,34053.655,1702351799999,76212774.07159,30388,14365.776,32155311.11942,0
1702351800000,2240.92,2240.93,2230.02,2232.23,30696.936,1702353599999,68589993.38779,26975,12392.294,27690618.26037,0
1702353600000,2232.24,2236,2230.13,2231.24,27045.027,1702355399999,60396337.32943,26538,13037.975,29114817.75770,0
1702355400000,2231.24,2232.08,2217.55,2218.14,47781.537,1702357199999,106336650.33342,47812,20372.926,45342346.88861,0
1702357200000,2218.13,2232.69,2217.91,2232.33,37773.907,1702358999999,84099285.96887,38948,21817.636,48570756.05695,0
1702359000000,2232.34,2232.34,2224.64,2226.58,31624.036,1702360799999,70473058.16500,28767,14298.870,31857086.28999,0
1702360800000,2226.57,2227.56,2213.12,2214.18,56797.281,1702362599999,126097176.76784,49273,25505.507,56629107.55047,0
1702362600000,2214.17,2226.50,2213.41,2225.61,47653.826,1702364399999,105861699.71350,46397,25257.923,56107222.11079,0
1702364400000,2225.61,2232.90,2224.88,2230.53,52941.985,1702366199999,118026387.76983,47042,28938.183,64512495.58666,0
1702366200000,2230.53,2239.96,2226.60,2233.92,61401.285,1702367999999,137186622.38859,52873,33041.748,73823323.19846,0
1702368000000,2233.92,2234.88,2227.07,2230.59,37839.515,1702369799999,84395215.83542,40333,16374.562,36518956.05582,0
1702369800000,2230.58,2239.17,2228.14,2236.18,39992.277,1702371599999,89334758.89014,41407,20838.659,46548842.79792,0
1702371600000,2236.18,2236.18,2228.67,2232.87,41117.206,1702373399999,91785744.21378,38735,20200.921,45093713.55400,0
1702373400000,2232.86,2233.34,2226.46,2227.35,26487.535,1702375199999,59052865.85095,29004,12935.061,28837728.91115,0
1702375200000,2227.34,2228.64,2222.75,2224.56,29591.134,1702376999999,65872268.29101,29890,12765.298,28417228.38079,0
1702377000000,2224.56,2228.64,2222.49,2226.49,27805.737,1702378799999,61879623.92477,28652,15196.007,33817927.76637,0
1702378800000,2226.50,2226.95,2220.80,2222.88,26485.077,1702380599999,58879947.71625,26675,13158.732,29253545.99328,0
