open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1728691200000,2438.45,2443.86,2434.80,2443.00,47775.317,1728692999999,116523272.00535,47336,24684.882,60216947.91947,0
1728693000000,2443.00,2447.33,2440.94,2443.00,24610.319,1728694799999,60145794.20852,37846,14182.264,34662955.77134,0
1728694800000,2443.00,2450.40,2441.08,2444.28,27756.387,1728696599999,67897859.11977,43387,14585.751,35685363.67926,0
1728696600000,2444.28,2447.18,2440.68,2443.40,14496.496,1728698399999,35423631.61579,34696,5802.542,14179544.27197,0
1728698400000,2443.40,2443.82,2438.60,2439.72,17227.473,1728700199999,42040189.94405,27024,7035.722,17170670.51084,0
1728700200000,2439.71,2440.00,2434.32,2435.78,24647.133,1728701999999,60056416.70826,31853,9179.880,22364515.40828,0
1728702000000,2435.77,2440.28,2433.20,2435.51,17064.058,1728703799999,41577174.48362,30412,9329.218,22734192.83519,0
1728703800000,2435.50,2439.11,2435.50,2437.93,10205.411,1728705599999,24874187.58614,20023,5269.703,12844408.27263,0
1728705600000,2437.92,2446.50,2437.92,2444.07,21612.551,1728707399999,52780556.23904,30290,14130.933,34509289.32569,0
1728707400000,2444.06,2451.58,2443.72,2444.47,35566.584,1728709199999,87038191.03923,42015,21350.761,52256175.77840,0
1728709200000,2444.47,2446.75,2441.42,2442.92,12337.559,1728710999999,30158172.15737,19612,6066.284,14828536.82328,0
1728711000000,2442.92,2447.49,2442.33,2446.43,10456.599,1728712799999,25566369.02368,18253,6062.003,14822084.18540,0
1728712800000,2446.43,2447.84,2443.59,2445.46,10741.112,1728714599999,26269578.18356,18149,4323.195,10574790.64610,0
1728714600000,2445.47,2447.86,2444.61,2445.37,7727.654,1728716399999,18902968.12432,16589,3867.454,9461201.88497,0
1728716400000,2445.36,2445.37,2441.44,2443.73,10732.888,1728718199999,26220059.17585,19131,4808.336,11746229.57845,0
1728718200000,2443.73,2446.34,2442.00,2445.36,13535.666,1728719999999,33092709.43026,20479,6095.644,14902304.86189,0
1728720000000,2445.35,2445.50,2441.50,2445.49,10398.265,1728721799999,25410323.12333,21439,4050.347,9897867.19832,0
1728721800000,2445.49,2445.65,2443.39,2444.58,7504.025,1728723599999,18344654.85200,17987,3770.378,9217068.97326,0
1728723600000,2444.58,2445.67,2442.10,2444.54,9611.576,1728725399999,23489978.87657,17183,4595.593,11232495.69047,0
1728725400000,2444.55,2445.70,2442.36,2444.29,7246.520,1728727199999,17709497.24468,14373,4098.754,10017044.85685,0
1728727200000,2444.29,2452.56,2442.20,2451.88,26566.380,1728728999999,65034998.19887,30786,16861.130,41278316.46047,0
1728729000000,2451.87,2456.61,2450.38,2454.42,29011.763,1728730799999,71176473.97262,34713,15579.905,38226563.91571,0
1728730800000,2454.42,2467.53,2452.34,2461.76,53899.749,1728732599999,132617924.62583,58718,30242.060,74419573.23206,0
1728732600000,2461.76,2463.12,2449.59,2451.35,32633.496,1728734399999,80109553.30256,44486,11950.652,29332065.52045,0
1728734400000,2451.35,2455.00,2447.30,2453.42,24725.146,1728736199999,60604596.93392,36445,11850.260,29051977.71994,0
1728736200000,2453.42,2458.73,2450.68,2456.79,17984.231,1728737999999,44145876.36757,27066,8992.698,22078327.39265,0
1728738000000,2456.80,2461.50,2454.72,2456.91,22753.174,1728739799999,55932382.67433,40674,11764.926,28924987.41442,0
1728739800000,2456.91,2461.20,2455.36,2460.57,14232.137,1728741599999,34995463.00747,27872,7757.586,19075251.12855,0
1728741600000,2460.58,2463.80,2457.01,2460.11,16397.496,1728743399999,40352047.46215,35611,7999.663,19687249.02603,0
1728743400000,2460.11,2478.71,2458.70,2469.97,95246.999,1728745199999,235436206.57374,94883,54345.654,134359892.43363,0
1728745200000,2469.97,2482.91,2466.25,2475.88,61067.037,1728746999999,151210936.55172,76461,29938.413,74138925.72026,0
1728747000000,2475.87,2480.55,2463.88,2471.74,67246.111,1728748799999,166123589.18716,70210,28252.102,69803494.98789,0
1728748800000,2471.73,2486.36,2471.73,2475.56,70705.861,1728750599999,175189094.90064,70745,37369.337,92596510.46104,0
1728750600000,2475.55,2477.08,2468.28,2468.48,26627.460,1728752399999,65856902.03626,36832,12669.419,31339258.16777,0
1728752400000,2468.48,2480.20,2467.21,2480.00,28266.684,1728754199999,69906420.85041,40600,16983.218,42009620.08947,0
1728754200000,2480.00,2480.01,2473.11,2474.71,10808.553,1728755999999,26755817.45411,23917,3581.454,8863653.56293,0
1728756000000,2474.70,2481.00,2467.00,2471.00,30663.952,1728757799999,75871391.75221,43059,15180.667,37559028.75753,0
1728757800000,2471.00,2473.00,2466.35,2468.71,12394.613,1728759599999,30607499.74567,27575,6137.927,15157160.69675,0
1728759600000,2468.71,2473.23,2465.00,2470.50,15625.047,1728761399999,38583794.67631,29149,7326.671,18094658.01242,0
1728761400000,2470.51,2472.00,2467.38,2471.30,12382.437,1728763199999,30575995.14065,21860,7369.662,18198819.96098,0
1728763200000,2471.31,2472.35,2468.12,2469.32,7748.606,1728764999999,19141770.93941,17723,3616.705,8934114.75835,0
1728765000000,2469.31,2471.51,2467.68,2469.28,4957.777,1728766799999,12244185.71739,15376,2453.833,6060476.95876,0
1728766800000,2469.28,2477.91,2469.09,2477.30,11164.538,1728768599999,27628038.85763,18877,6815.021,16862336.60356,0
1728768600000,2477.31,2479.11,2472.74,2478.82,8922.747,1728770399999,22094851.38733,19018,4955.168,12271471.08753,0
1728770400000,2478.81,2483.79,2474.79,2482.18,25400.926,1728772199999,63001074.67480,39964,14709.928,36485406.96597,0
1728772200000,2482.19,2489.95,2478.90,2486.06,20948.761,1728773999999,52062779.96654,34045,11699.444,29080413.11019,0
1728774000000,2486.06,2487.42,2477.10,2478.32,17834.811,1728775799999,44270344.80267,31289,7901.995,19616444.10316,0
1728775800000,2478.31,2479.40,2475.05,2475.09,11010.685,1728777599999,27269815.21327,23753,4790.597,11864878.80157,0
