open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1723420800000,2554.66,2577.25,2546.24,2548.00,70944.788,1723422599999,181698600.33240,103867,34006.287,87106020.00959,0
1723422600000,2548.01,2554.20,2506.13,2536.41,173518.452,1723424399999,438880726.35558,211144,77203.961,195354827.41288,0
1723424400000,2536.41,2558.96,2528.08,2544.83,66209.924,1723426199999,168552956.72335,105866,36634.610,93282991.73410,0
1723426200000,2544.82,2554.00,2536.18,2548.39,27203.691,1723427999999,69238065.07505,62964,13590.884,34600013.13161,0
1723428000000,2548.38,2551.82,2534.22,2537.11,28899.534,1723429799999,73470212.59028,59499,14775.107,37567678.77714,0
1723429800000,2537.11,2552.86,2532.75,2550.47,30559.034,1723431599999,77643129.92693,66347,16753.579,42578343.60040,0
1723431600000,2550.48,2557.20,2529.25,2543.27,44272.072,1723433399999,112497248.02527,77986,22328.143,56742169.43555,0
1723433400000,2543.28,2548.21,2537.64,2540.19,23001.951,1723435199999,58490015.10107,47959,11438.379,29089634.26927,0
1723435200000,2540.18,2547.40,2533.78,2543.81,19370.104,1723436999999,49204475.09661,44492,10558.977,26823268.60884,0
1723437000000,2543.80,2550.90,2537.40,2537.81,18809.272,1723438799999,47862082.88385,40758,9218.349,23459657.95574,0
1723438800000,2537.80,2548.99,2537.78,2548.00,16286.947,1723440599999,41417651.93259,37380,8710.519,22154408.29235,0
1723440600000,2547.99,2553.86,2533.73,2552.50,41034.257,1723442399999,104435646.39071,63579,20422.382,51997497.92560,0
1723442400000,2552.49,2555.29,2544.57,2553.92,31194.014,1723444199999,79525574.60392,49630,14517.596,37016474.65970,0
1723444200000,2553.91,2561.65,2540.04,2551.33,47509.209,1723445999999,121108823.34527,69280,20588.275,52505403.64514,0
1723446000000,2551.33,2554.00,2514.68,2551.30,109494.811,1723447799999,277533226.04535,153817,50845.331,128938016.17191,0
1723447800000,2551.29,2581.93,2546.68,2565.84,105635.010,1723449599999,271251165.59513,150307,57705.118,148161849.16506,0
1723449600000,2565.83,2595.78,2565.83,2582.81,91841.226,1723451399999,237334721.31339,123619,47808.318,123547516.87805,0
1723451400000,2582.81,2592.89,2556.62,2561.54,62517.904,1723453199999,160957232.95589,99422,25452.184,65535463.80321,0
1723453200000,2561.55,2589.25,2560.99,2577.17,54454.926,1723454999999,140165209.32704,101566,27912.996,71845241.44665,0
1723455000000,2577.18,2598.55,2572.97,2595.29,68019.058,1723456799999,176031221.69063,101290,32110.681,83105099.11706,0
