open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1710201600000,4070.52,4098.64,4070.52,4080.38,76572.693,1710203399999,313033803.73369,108396,40763.563,166633954.51748,0
1710203400000,4080.39,4088.71,4059.00,4062.48,44187.761,1710205199999,180105355.47547,74385,19712.961,80359923.77293,0
1710205200000,4062.48,4074.85,4053.57,4067.04,46835.966,1710206999999,190375997.56496,80118,21813.067,88673604.34879,0
1710207000000,4067.04,4068.24,4059.64,4066.33,25092.203,1710208799999,102001620.76984,47243,11462.030,46595130.53264,0
1710208800000,4066.34,4066.34,4054.31,4055.43,20598.650,1710210599999,83617690.99804,39280,9319.539,37828447.98458,0
1710210600000,4055.44,4062.63,4053.03,4057.36,17079.451,1710212399999,69295215.42578,35660,9008.815,36552327.09573,0
1710212400000,4057.35,4064.76,4034.56,4047.20,54060.466,1710214199999,218901875.42411,78333,22385.586,90669344.62571,0
1710214200000,4047.19,4058.68,4024.30,4033.31,94281.546,1710215999999,380900865.32851,114678,44286.331,178913081.94104,0
1710216000000,4033.31,4052.00,4026.73,4045.56,51340.157,1710217799999,207337955.84282,85121,26773.031,108121864.16961,0
1710217800000,4045.55,4056.52,4038.96,4040.53,29830.074,1710219599999,120704428.28367,57371,14556.128,58908730.73149,0
1710219600000,4040.53,4045.44,4035.75,4044.27,18814.329,1710221399999,76032160.40473,33845,8216.039,33205832.31079,0
1710221400000,4044.27,4046.60,4036.31,4042.90,16025.579,1710223199999,64757223.81405,32186,8217.143,33205960.78188,0
1710223200000,4042.91,4043.32,4007.30,4008.34,63667.892,1710224999999,256214113.30948,95643,28032.497,112816450.70956,0
1710225000000,4008.33,4035.43,4002.10,4033.17,68984.886,1710226799999,277132260.47841,110049,36068.232,144911974.53842,0
1710226800000,4033.16,4035.91,4025.09,4032.11,26450.112,1710228599999,106605008.33147,57582,13052.328,52606898.33948,0
1710228600000,4032.12,4034.42,4020.00,4030.09,27595.696,1710230399999,111149788.43311,51558,12793.895,51524570.92734,0
1710230400000,4030.07,4037.78,3968.00,3979.48,151150.659,1710232199999,603780551.99046,218623,66459.166,265492478.92003,0
1710232200000,3979.49,3994.80,3971.76,3989.51,66325.058,1710233999999,264267771.94641,116085,35901.978,143059470.93943,0
1710234000000,3989.50,4016.27,3987.36,4013.67,56113.051,1710235799999,224619253.27034,89602,31906.721,127721518.07636,0
1710235800000,4013.67,4015.94,4005.26,4013.22,29067.323,1710237599999,116570414.08161,55664,13218.253,53012213.86406,0
1710237600000,4013.23,4015.00,3996.09,3998.95,32143.169,1710239399999,128698143.31468,51338,12879.335,51569692.84855,0
1710239400000,3998.95,4015.54,3998.95,4011.00,27583.379,1710241199999,110598982.73859,47985,15374.448,61644425.90687,0
1710241200000,4011.00,4072.00,4008.65,4039.71,123745.876,1710242999999,500189287.46124,171433,66577.640,269065873.78114,0
1710243000000,4039.71,4048.37,4022.08,4024.82,53849.867,1710244799999,217190896.93246,85138,26922.497,108605468.03901,0
1710244800000,4024.81,4034.00,3982.92,3992.05,98704.482,1710246599999,395233846.47691,152539,45134.066,180728588.15071,0
1710246600000,3992.04,4034.00,3980.00,4026.40,161451.375,1710248399999,648453329.77183,226728,84662.829,340074799.88287,0
1710248400000,4026.40,4039.74,4018.19,4034.57,54869.616,1710250199999,221067781.63899,92861,28770.368,115929795.10961,0
1710250200000,4034.57,4042.00,4002.47,4028.94,86391.972,1710251999999,347280678.11939,148333,44233.650,177842204.87872,0
1710252000000,4028.95,4061.83,3992.21,4011.48,208671.978,1710253799999,838345473.73300,264901,104752.776,420896003.46944,0
