open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1705017600000,2618.60,2625.10,2600.93,2607.45,49530.231,1705019399999,129387723.81659,76244,23939.899,62529987.95391,0
1705019400000,2607.45,2614.96,2593.00,2600.42,48800.636,1705021199999,127094351.61596,76878,22099.759,57563816.16906,0
1705021200000,2600.42,2604.95,2581.09,2585.49,58240.177,1705022999999,150964461.04685,93878,27953.407,72463757.53980,0
1705023000000,2585.49,2600.48,2583.00,2594.00,42031.503,1705024799999,109040981.89609,57928,22449.123,58234185.16153,0
1705024800000,2594.00,2600.95,2592.26,2594.87,23431.243,1705026599999,60837875.39689,41224,12269.560,31858241.91390,0
1705026600000,2594.87,2616.98,2591.67,2608.83,46131.552,1705028399999,120261633.29898,69547,24256.156,63230639.92043,0
1705028400000,2608.83,2609.12,2588.62,2596.16,53242.929,1705030199999,138413707.04924,73217,24025.937,62464750.22763,0
1705030200000,2596.17,2602.63,2590.26,2590.28,26739.078,1705031999999,69467931.42867,49657,12228.145,31771832.27847,0
1705032000000,2590.29,2606.52,2586.25,2604.76,43131.591,1705033799999,111970727.79919,65870,23401.894,60763311.65186,0
1705033800000,2604.77,2605.26,2589.40,2594.90,35241.736,1705035599999,91471377.77917,60776,17544.822,45533011.50924,0
1705035600000,2594.88,2602.94,2591.06,2594.99,25731.659,1705037399999,66829283.40129,45939,13034.429,33854726.25753,0
1705037400000,2595.00,2611.50,2592.06,2609.75,41594.815,1705039199999,108260240.54007,60883,22725.303,59153648.73621,0
1705039200000,2609.75,2627.90,2608.13,2619.31,66092.210,1705040999999,173010515.66857,87904,36784.679,96301306.34825,0
1705041000000,2619.31,2623.98,2613.27,2618.89,39310.871,1705042799999,102946875.70995,58184,18719.682,49027442.71146,0
1705042800000,2618.89,2622.80,2605.64,2619.72,68343.746,1705044599999,178676543.59424,90187,32814.172,85793818.23507,0
1705044600000,2619.72,2619.72,2592.57,2597.22,97797.939,1705046399999,254355402.66990,109092,44507.290,115745979.69658,0
1705046400000,2597.23,2599.14,2588.22,2591.91,48332.774,1705048199999,125335299.72967,74798,22670.380,58796391.61347,0
