open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1731369600000,3375.02,3378.18,3250.01,3312.64,319484.012,1731371399999,1057640899.75007,402452,132324.459,437952708.32784,0
1731371400000,3312.64,3349.68,3281.38,3346.05,169963.493,1731373199999,563141640.15192,298909,98673.423,327032019.52033,0
1731373200000,3346.05,3346.33,3301.25,3309.51,151626.211,1731374999999,503099346.29583,276329,62830.399,208488703.31658,0
1731375000000,3309.51,3349.96,3307.78,3321.13,124431.328,1731376799999,414709085.54113,198580,62882.132,209564423.13475,0
1731376800000,3321.12,3339.12,3307.00,3322.05,81526.824,1731378599999,270797296.37442,159992,40718.090,135267524.39978,0
1731378600000,3322.05,3336.13,3285.01,3309.99,165304.145,1731380399999,547568575.22254,285478,84908.180,281429054.91077,0
1731380400000,3309.99,3333.00,3296.50,3329.75,89939.603,1731382199999,298318531.35001,170080,43938.213,145764470.34556,0
1731382200000,3329.75,3343.31,3315.00,3340.71,102861.127,1731383999999,342706431.06763,152613,59872.608,199542956.53648,0
1731384000000,3340.66,3349.97,3320.39,3347.42,96020.769,1731385799999,320450524.47700,159238,45229.506,150974609.82212,0
1731385800000,3347.41,3356.00,3329.88,3330.37,114953.212,1731387599999,384444121.37427,171015,55976.192,187293629.15951,0
1731387600000,3330.38,3352.00,3320.86,3349.87,68838.537,1731389399999,229832500.32558,135721,37715.732,125951481.23716,0
1731389400000,3349.87,3351.85,3320.40,3332.72,62281.317,1731391199999,207526386.71355,147500,30717.107,102353671.82761,0
1731391200000,3332.72,3347.90,3325.95,3330.02,51397.464,1731392999999,171535352.80249,102264,23510.166,78456319.98048,0
1731393000000,3330.02,3399.32,3325.00,3383.04,220913.420,1731394799999,745412687.01283,266015,129280.284,436204656.15354,0
1731394800000,3383.04,3386.61,3351.13,3367.35,139692.887,1731396599999,470726768.60803,212120,68821.577,231903985.47203,0
1731396600000,3367.36,3378.25,3357.16,3372.03,71473.675,1731398399999,240660980.28369,139680,34117.802,114887182.10187,0
1731398400000,3372.02,3394.95,3365.00,3369.16,105386.883,1731400199999,356100480.17270,177796,51673.205,174630716.68121,0
1731400200000,3369.15,3433.92,3367.18,3426.36,188799.374,1731401999999,642587547.43495,251933,104950.235,357435954.86241,0
1731402000000,3426.37,3449.00,3384.63,3402.09,305172.207,1731403799999,1043574483.43169,400325,146467.229,500996611.00866,0
1731403800000,3402.10,3414.75,3353.12,3363.15,204924.438,1731405599999,692014439.01917,280460,93308.643,315052193.95110,0
1731405600000,3363.15,3379.63,3320.32,3334.53,353536.115,1731407399999,1184348019.77330,424147,176479.126,591598597.51878,0
1731407400000,3334.52,3343.46,3214.00,3286.68,581986.940,1731409199999,1907904184.17779,623233,259939.964,852213271.62630,0
1731409200000,3285.95,3313.30,3262.68,3297.58,272597.257,1731410999999,897035406.56353,375906,134109.437,441305572.61776,0
1731411000000,3297.59,3318.67,3272.15,3285.43,152036.501,1731412799999,500811181.79925,221842,68778.241,226580110.07989,0
1731412800000,3285.43,3300.02,3257.77,3260.57,140021.344,1731414599999,459376604.37215,213326,67965.343,223041605.92860,0
1731414600000,3260.56,3275.00,3227.00,3254.03,209832.999,1731416399999,681726629.95198,286203,100784.656,327530714.64283,0
1731416400000,3254.03,3277.99,3230.00,3264.00,170020.515,1731418199999,553682986.84856,269649,78517.573,255735299.21153,0
1731418200000,3264.00,3268.02,3211.54,3265.66,257796.748,1731419999999,834730825.30582,289125,120598.201,390819552.06177,0
1731420000000,3265.65,3287.53,3247.04,3265.53,187131.478,1731421799999,611470164.83248,269161,99337.220,324708575.80373,0
1731421800000,3265.53,3294.53,3230.88,3287.85,195604.271,1731423599999,639411504.45092,298638,96910.713,316860168.04567,0
1731423600000,3287.72,3294.91,3252.21,3263.76,142904.820,1731425399999,467878738.69855,228324,67862.260,222264828.78924,0
1731425400000,3263.76,3284.06,3255.52,3263.40,107913.995,1731427199999,353051960.46147,208192,59570.675,194972147.41913,0
1731427200000,3263.40,3270.85,3211.15,3238.86,212336.724,1731428999999,687283116.84927,276926,97166.023,314390380.20439,0
1731429000000,3238.86,3275.65,3236.04,3255.90,141317.039,1731430799999,460086009.75345,209777,76728.260,249844409.00697,0
1731430800000,3255.89,3269.28,3245.39,3255.52,64322.023,1731432599999,209465907.97210,132611,32736.710,106620689.32376,0
1731432600000,3255.49,3274.22,3228.78,3230.76,91901.107,1731434399999,299160906.17419,141697,44348.266,144454925.58346,0
1731434400000,3230.76,3277.11,3228.60,3275.51,63356.003,1731436199999,206144180.42341,124320,36157.567,117632569.73647,0
1731436200000,3275.51,3291.86,3271.20,3284.76,82126.829,1731437999999,269434364.54165,148392,42724.797,140193564.35627,0
1731438000000,3284.77,3306.00,3275.49,3290.72,89110.488,1731439799999,293290941.45899,158491,42395.271,139571935.64885,0
1731439800000,3290.71,3303.46,3272.50,3275.36,75852.735,1731441599999,249245789.09527,151931,34167.384,112312954.65101,0
1731441600000,3275.36,3283.98,3260.11,3278.50,57679.242,1731443399999,188787577.34205,120394,30020.265,98280229.78473,0
1731443400000,3278.46,3307.23,3277.14,3287.98,66122.280,1731445199999,217806607.26017,127179,35282.195,116222609.54783,0
1731445200000,3287.88,3293.90,3251.95,3273.00,74184.398,1731446999999,242569108.32637,137267,32855.170,107443415.85510,0
1731447000000,3273.00,3289.19,3270.59,3280.54,58083.315,1731448799999,190614092.66512,101282,22459.518,73690068.51762,0
1731448800000,3280.57,3285.23,3255.03,3269.48,53321.982,1731450599999,174264464.69109,110619,23218.577,75862805.78757,0
1731450600000,3269.48,3293.98,3269.24,3290.60,35333.588,1731452399999,116060286.92396,61595,17410.042,57167870.37188,0
1731452400000,3290.59,3290.60,3237.21,3256.92,75486.265,1731454199999,246062319.72333,142893,33120.607,107945544.67854,0
1731454200000,3256.91,3262.05,3242.82,3245.98,52052.566,1731455999999,169234286.24512,114787,24638.308,80116211.47002,0
