open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1718150400000,3498.17,3506.52,3495.02,3496.16,17891.345,1718152199999,62617312.96784,29822,9483.662,33190873.28666,0
1718152200000,3496.17,3500.59,3490.04,3493.79,18634.248,1718153999999,65129562.18388,37997,8592.065,30033283.82037,0
1718154000000,3493.80,3496.83,3473.52,3478.17,40339.183,1718155799999,140560312.89532,54871,16092.581,56067293.21470,0
1718155800000,3478.16,3484.42,3462.09,3483.46,49082.762,1718157599999,170461089.38532,76499,26103.738,90668758.54237,0
1718157600000,3483.46,3508.27,3477.03,3504.44,44476.954,1718159399999,155424297.24895,67423,24470.699,85512743.81514,0
1718159400000,3504.45,3508.60,3468.00,3498.68,59695.233,1718161199999,208751586.43055,76595,22882.353,80033931.92364,0
1718161200000,3498.67,3505.00,3495.73,3501.91,18757.473,1718162999999,65663942.21681,37514,10785.476,37759083.33706,0
1718163000000,3501.92,3514.99,3499.28,3510.47,26110.236,1718164799999,91587611.59439,38093,16205.866,56847244.32171,0
1718164800000,3510.47,3533.95,3509.80,3526.52,71428.064,1718166599999,251691978.21868,75222,39149.660,137951527.07987,0
1718166600000,3526.51,3527.66,3518.69,3522.00,27451.695,1718168399999,96731054.73013,46076,10379.052,36571003.65729,0
1718168400000,3521.99,3522.23,3513.00,3514.23,23378.098,1718170199999,82235689.90027,33097,12818.967,45096032.46674,0
1718170200000,3514.23,3517.87,3507.41,3508.91,19455.617,1718171999999,68320350.66216,29430,9934.738,34886290.61356,0
1718172000000,3508.91,3520.00,3508.00,3517.89,17017.820,1718173799999,59808839.17677,28801,11139.307,39147104.94566,0
1718173800000,3517.88,3521.89,3514.53,3516.10,11875.944,1718175599999,41781531.76480,23181,5738.797,20191133.24802,0
1718175600000,3516.11,3527.01,3515.00,3523.99,15684.332,1718177399999,55226559.43149,26115,9538.699,33591462.04409,0
1718177400000,3523.99,3528.00,3518.16,3526.99,14257.255,1718179199999,50224325.13591,25681,7456.050,26268628.04836,0
1718179200000,3527.00,3532.19,3521.83,3522.23,22372.119,1718180999999,78902404.57154,34341,9925.453,35009407.70808,0
1718181000000,3522.23,3527.26,3520.00,3520.60,13424.611,1718182799999,47291689.77312,19841,5052.265,17799009.52174,0
1718182800000,3520.61,3524.35,3517.27,3519.02,16276.768,1718184599999,57301304.89777,22549,7739.575,27250407.81078,0
1718184600000,3519.01,3543.48,3516.70,3539.09,48162.136,1718186399999,170247688.64046,51430,31064.558,109814902.63966,0
1718186400000,3539.09,3564.54,3539.08,3546.99,100738.173,1718188199999,357945024.60340,113017,51357.928,182491216.51221,0
1718188200000,3546.99,3547.66,3536.68,3544.24,32037.011,1718189999999,113488646.52932,40074,13735.395,48656778.67457,0
1718190000000,3544.24,3545.71,3538.61,3544.03,20865.858,1718191799999,73914508.20418,29587,10420.014,36913181.78876,0
1718191800000,3544.02,3550.21,3526.56,3531.38,41835.688,1718193599999,148024716.93856,46076,20376.831,72114160.09689,0
1718193600000,3531.38,3546.55,3531.18,3546.52,40648.470,1718195399999,143820320.85163,51804,24320.095,86052615.18743,0
1718195400000,3546.52,3642.35,3546.52,3639.00,470390.743,1718197199999,1699684828.81135,453288,241337.436,871774723.86491,0
1718197200000,3639.01,3657.77,3606.29,3610.39,189104.781,1718198999999,687152907.62579,174627,79696.619,289729761.75224,0
1718199000000,3610.50,3624.05,3602.71,3615.00,99390.380,1718200799999,359212620.63352,113941,47544.109,171864028.76195,0
1718200800000,3614.99,3636.91,3614.29,3633.36,57933.884,1718202599999,210088509.34571,71635,33152.208,120228555.75590,0
1718202600000,3633.37,3642.27,3626.86,3634.77,61587.683,1718204399999,223824762.13109,70735,29433.110,106991858.67074,0
1718204400000,3634.76,3646.98,3617.14,3627.91,63071.935,1718206199999,228889301.60422,78780,27271.083,98991476.22276,0
1718206200000,3627.91,3628.51,3610.00,3617.62,41090.600,1718207999999,148612345.47632,58490,19276.182,69712137.95431,0
1718208000000,3617.61,3622.50,3581.62,3598.52,62669.551,1718209799999,226026034.72362,82394,27894.278,100652814.30238,0
1718209800000,3598.51,3618.45,3592.41,3616.20,34564.312,1718211599999,124640498.82940,59874,18419.289,66440281.11970,0
1718211600000,3616.20,3619.72,3606.67,3616.49,23219.660,1718213399999,83873200.27080,33006,12759.417,46093178.56654,0
1718213400000,3616.49,3626.16,3606.18,3623.26,32598.582,1718215199999,117862863.40499,48252,17117.965,61905583.03550,0
1718215200000,3623.26,3624.73,3556.00,3592.03,266107.231,1718216999999,955390897.49772,305159,129809.123,466151739.18663,0
1718217000000,3592.04,3604.05,3553.01,3567.56,132078.542,1718218799999,472471097.22618,182462,66234.582,236960425.47759,0
1718218800000,3567.56,3595.20,3545.00,3555.39,105026.721,1718220599999,375107084.13195,128377,53143.122,189881427.96820,0
1718220600000,3555.40,3567.20,3512.07,3528.55,194856.877,1718222399999,689009271.55047,236640,93829.650,331807134.74018,0
1718222400000,3528.77,3552.43,3521.38,3548.08,63632.193,1718224199999,225264104.74239,87800,33343.891,118028183.97345,0
1718224200000,3548.07,3563.00,3544.15,3556.06,43263.997,1718225999999,153795544.10040,58081,23380.526,83131128.92139,0
1718226000000,3556.06,3571.93,3555.88,3570.80,28046.575,1718227799999,99914273.80974,38151,14093.971,50218452.70264,0
1718227800000,3570.80,3574.93,3560.97,3566.00,27304.480,1718229599999,97420583.79500,35671,13700.412,48886800.71854,0
1718229600000,3566.00,3569.05,3561.39,3564.85,14726.461,1718231399999,52501788.88336,27106,6810.763,24282214.84472,0
1718231400000,3564.85,3573.42,3562.99,3571.97,12525.571,1718233199999,44688091.07519,21822,7820.358,27901170.56743,0
1718233200000,3571.96,3571.96,3559.40,3564.00,17433.325,1718234999999,62143684.80978,28056,8005.709,28535540.82424,0
1718235000000,3564.00,3565.00,3558.74,3560.45,8985.205,1718236799999,32001011.08483,20740,4140.412,14746278.96269,0
