open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1726099200000,2339.18,2358.86,2338.26,2352.04,54340.574,1726100999999,127613837.67069,60859,33539.416,78755703.81945,0
1726101000000,2352.03,2364.50,2350.00,2351.13,53486.993,1726102799999,126135078.59370,72450,26656.353,62864977.11585,0
1726102800000,2351.12,2358.85,2351.12,2358.71,21853.235,1726104599999,51453065.64693,37617,11692.300,27527526.44672,0
1726104600000,2358.72,2375.56,2358.00,2371.90,43004.412,1726106399999,101700002.65758,63081,24749.646,58554211.25409,0
1726106400000,2371.89,2392.00,2360.84,2367.92,129588.850,1726108199999,308011469.73699,136823,63840.175,151769053.30364,0
1726108200000,2367.99,2371.98,2358.91,2361.90,34123.351,1726109999999,80725068.65090,47460,17599.035,41639179.58541,0
1726110000000,2361.90,2371.21,2361.90,2368.93,39779.533,1726111799999,94133552.87694,45553,18980.783,44918093.79104,0
1726111800000,2368.93,2371.88,2365.44,2366.64,18401.565,1726113599999,43593284.17684,30830,8293.873,19649760.44306,0
1726113600000,2366.65,2378.50,2362.56,2374.47,35651.356,1726115399999,84527276.44774,46230,18218.224,43209604.17571,0
1726115400000,2374.48,2375.22,2360.82,2363.81,36090.030,1726117199999,85386013.29821,43136,16150.182,38205237.23119,0
1726117200000,2363.81,2370.29,2360.20,2365.61,22527.628,1726118999999,53260721.82133,36420,13051.005,30858390.72078,0
1726119000000,2365.61,2368.73,2353.52,2355.13,45288.404,1726120799999,106803812.20757,56605,19480.257,45943188.70828,0
1726120800000,2355.13,2363.50,2351.82,2354.58,35602.612,1726122599999,83918011.97961,41405,18137.153,42754753.68798,0
1726122600000,2354.60,2360.79,2351.39,2357.45,28177.827,1726124399999,66401647.12241,35433,15597.463,36761332.16967,0
1726124400000,2357.45,2362.99,2355.33,2361.74,18304.544,1726126199999,43191540.55101,31675,9765.660,23045981.97904,0
1726126200000,2361.75,2364.65,2353.10,2358.48,27343.992,1726127999999,64465980.43025,37251,13039.611,30748788.48184,0
1726128000000,2358.47,2365.50,2357.40,2364.08,38181.743,1726129799999,90142455.06977,46642,22476.307,53068530.02264,0
1726129800000,2364.08,2364.99,2356.25,2357.99,20642.198,1726131599999,48722472.94391,35278,8428.237,19896584.21493,0
1726131600000,2358.00,2360.47,2354.50,2357.26,17561.035,1726133399999,41403900.99423,26815,9252.745,21819103.24500,0
1726133400000,2357.25,2359.40,2348.04,2350.94,25573.863,1726135199999,60176018.74071,36398,9866.257,23219763.36152,0
1726135200000,2350.94,2354.31,2347.25,2350.13,22869.969,1726136999999,53761400.89113,32508,10447.364,24562541.58122,0
1726137000000,2350.13,2351.00,2343.04,2343.82,38364.002,1726138799999,90048189.32551,41389,15746.153,36960683.52707,0
1726138800000,2343.82,2350.31,2341.67,2348.55,60554.121,1726140599999,142062004.24700,49907,34011.114,79801033.19087,0
1726140600000,2348.55,2352.61,2346.61,2347.44,22432.855,1726142399999,52701191.03609,30528,12363.884,29049022.86005,0
1726142400000,2347.44,2351.74,2345.46,2350.64,23021.137,1726144199999,54072080.79028,31632,12184.484,28621425.95180,0
1726144200000,2350.64,2353.72,2335.88,2342.00,84156.063,1726145999999,196999363.36530,94937,38565.406,90282226.23739,0
1726146000000,2342.00,2346.52,2339.00,2344.16,25711.050,1726147799999,60244592.23765,43250,11524.096,27004822.39768,0
1726147800000,2344.17,2357.25,2331.97,2339.74,104863.233,1726149599999,245796787.42474,122329,51892.182,121638539.71329,0
1726149600000,2339.74,2359.82,2335.94,2354.15,74098.244,1726151399999,174097074.05400,91379,37926.421,89116615.92166,0
1726151400000,2354.15,2366.21,2326.20,2326.66,146191.666,1726153199999,342673457.69037,140980,64929.303,152260325.85281,0
1726153200000,2326.66,2337.03,2316.15,2317.88,126546.156,1726154999999,294366281.71891,122817,62260.240,144846757.64004,0
1726155000000,2317.89,2324.48,2313.16,2321.76,72415.389,1726156799999,167975147.64459,83366,35703.098,82822276.64140,0
1726156800000,2321.76,2334.54,2321.00,2331.50,45130.781,1726158599999,105102549.95100,62059,24827.128,57818223.28654,0
1726158600000,2331.49,2340.00,2327.76,2338.14,40911.559,1726160399999,95484843.11654,48119,22568.679,52682383.83274,0
1726160400000,2338.13,2343.50,2335.92,2338.91,41928.733,1726162199999,98099229.69827,48854,21283.693,49798239.09026,0
1726162200000,2338.91,2349.00,2336.28,2348.09,50040.806,1726163999999,117290115.07367,49003,30115.877,70592102.91152,0
1726164000000,2348.10,2358.20,2343.11,2355.83,52411.541,1726165799999,123248943.86164,57115,26956.053,63396887.75694,0
1726165800000,2355.84,2357.50,2336.86,2346.09,49549.521,1726167599999,116231080.93192,59116,21481.394,50388169.68907,0
1726167600000,2346.09,2360.72,2344.17,2359.89,45468.812,1726169399999,107021818.12848,56293,21749.896,51201659.55130,0
1726169400000,2359.89,2360.61,2353.19,2359.99,23154.707,1726171199999,54570057.67535,39563,10460.356,24653437.90091,0
1726171200000,2360.00,2360.00,2350.82,2352.78,17201.931,1726172999999,40493281.06005,26521,6887.967,16212261.28120,0
1726173000000,2352.77,2354.40,2348.57,2350.48,17158.581,1726174799999,40341198.51088,25296,7526.170,17695706.28954,0
1726174800000,2350.48,2352.59,2340.50,2343.49,24674.844,1726176599999,57908382.57405,32567,13031.820,30593434.95238,0
1726176600000,2343.49,2358.35,2342.60,2348.03,48755.603,1726178399999,114540495.71914,45613,23482.927,55156145.97513,0
1726178400000,2348.03,2356.61,2347.40,2353.71,21591.762,1726180199999,50800611.47047,26872,11672.185,27465654.36730,0
1726180200000,2353.71,2372.99,2352.76,2360.00,74358.955,1726181999999,175713055.07780,59615,36974.348,87355695.33373,0
1726182000000,2359.99,2365.00,2356.26,2358.56,22378.843,1726183799999,52820514.73297,29208,11767.418,27772612.76772,0
1726183800000,2358.57,2364.55,2358.57,2360.79,20201.602,1726185599999,47713200.44275,26608,9548.409,22550663.49026,0
