open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1712966400000,3238.31,3238.31,3225.00,3234.98,40830.613,1712968199999,131879403.71177,82040,19716.300,63680244.18718,0
1712968200000,3234.98,3238.16,3217.92,3234.19,34413.196,1712969999999,111047504.70449,71826,16986.995,54818805.82830,0
1712970000000,3234.19,3234.70,3201.88,3205.96,62699.263,1712971799999,201624574.87913,91414,27710.865,89107080.00425,0
1712971800000,3205.95,3205.96,3143.30,3161.58,191605.621,1712973599999,608199129.69481,229539,89225.313,283219033.26740,0
1712973600000,3161.59,3201.80,3160.35,3201.33,93878.865,1712975399999,298586045.30011,151022,51156.605,162748967.93733,0
1712975400000,3201.32,3217.40,3192.03,3214.19,58655.092,1712977199999,188083305.88340,94608,28236.059,90546988.03770,0
1712977200000,3214.19,3220.00,3204.05,3215.26,40783.455,1712978999999,130950001.36232,72292,19668.552,63153099.28820,0
1712979000000,3215.27,3234.80,3214.43,3232.06,47482.312,1712980799999,153082681.74218,85143,26941.998,86868333.43053,0
1712980800000,3232.06,3239.77,3223.87,3238.59,42296.377,1712982599999,136668804.90111,83113,18880.190,61012385.13680,0
1712982600000,3238.59,3266.00,3233.05,3256.79,76601.151,1712984399999,249233950.04275,112634,41197.198,134028143.62527,0
1712984400000,3256.79,3264.30,3251.94,3260.98,39318.903,1712986199999,128120272.84553,77538,18144.503,59129251.18685,0
1712986200000,3260.99,3260.99,3248.00,3248.77,34832.356,1712987999999,113289928.27201,66863,13719.605,44621228.34609,0
1712988000000,3248.77,3260.34,3246.85,3259.40,30326.553,1712989799999,98629018.99049,53799,15802.448,51394907.94289,0
1712989800000,3259.41,3268.74,3251.31,3266.28,40928.706,1712991599999,133488972.12998,62665,21306.045,69487558.50599,0
1712991600000,3266.29,3273.84,3249.20,3255.30,52113.890,1712993399999,169891912.04987,78176,24685.662,80481116.76453,0
1712993400000,3255.29,3265.39,3251.00,3258.55,31231.160,1712995199999,101784356.60126,61527,16190.844,52770139.38246,0
