open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1720828800000,3133.24,3137.11,3127.01,3129.09,20574.136,1720830599999,64455603.77470,32738,8263.643,25890724.95236,0
1720830600000,3129.09,3132.00,3125.02,3131.60,9946.328,1720832399999,31115809.03882,21933,4913.621,15372093.07271,0
1720832400000,3131.60,3138.91,3128.88,3133.85,12537.654,1720834199999,39294799.61141,26497,7174.705,22488817.20620,0
1720834200000,3133.85,3135.68,3127.97,3128.74,8102.045,1720835999999,25371032.64023,23224,3330.697,10431177.37200,0
1720836000000,3128.74,3128.74,3121.11,3124.81,15120.299,1720837799999,47234581.46909,26562,7577.791,23671904.52696,0
1720837800000,3124.81,3128.54,3121.29,3126.80,10411.720,1720839599999,32530458.40758,22613,5203.190,16258771.33852,0
1720839600000,3126.80,3129.52,3123.21,3124.07,6271.026,1720841399999,19602400.62558,17701,2628.953,8218770.89014,0
1720841400000,3124.07,3126.00,3119.01,3119.83,13202.232,1720843199999,41220719.48897,24920,7108.208,22195870.16467,0
1720843200000,3119.84,3119.84,3114.00,3114.28,16098.248,1720844999999,50179266.88375,27483,8631.671,26906929.53112,0
1720845000000,3114.29,3117.28,3112.12,3114.80,12131.612,1720846799999,37780115.67027,24137,7181.395,22365397.72287,0
1720846800000,3114.79,3125.40,3112.30,3122.11,20820.645,1720848599999,64985410.29654,34635,12132.090,37864564.57959,0
1720848600000,3122.12,3139.26,3120.74,3132.31,47248.264,1720850399999,147962820.79610,59376,32613.895,102142664.03739,0
1720850400000,3132.31,3139.04,3129.21,3135.00,16149.631,1720852199999,50600822.20315,32960,8543.478,26773811.65446,0
1720852200000,3135.01,3141.87,3132.35,3133.69,20387.165,1720853999999,63933859.98610,34774,9403.803,29496131.19112,0
1720854000000,3133.69,3140.48,3132.73,3139.13,16074.189,1720855799999,50401851.24298,29231,7868.969,24677430.77436,0
1720855800000,3139.12,3139.35,3134.03,3139.08,10049.311,1720857599999,31517700.56460,25857,4822.278,15124660.50181,0
1720857600000,3139.08,3139.52,3135.00,3138.51,10869.748,1720859399999,34103606.69360,20442,5023.910,15762715.25556,0
1720859400000,3138.50,3139.00,3127.88,3128.48,15573.592,1720861199999,48792908.00889,25879,4665.258,14615223.76573,0
1720861200000,3128.48,3152.82,3127.50,3151.57,37719.969,1720862999999,118500981.99671,49732,23561.588,74019013.76258,0
1720863000000,3151.58,3170.99,3145.03,3164.54,87667.972,1720864799999,276878368.39021,106364,45079.380,142406646.47767,0
1720864800000,3164.55,3167.72,3158.82,3162.00,32907.223,1720866599999,104079125.47374,52137,13913.210,44005425.17428,0
1720866600000,3162.00,3162.01,3147.73,3156.81,29366.241,1720868399999,92623945.32547,44475,14188.100,44751423.80442,0
