open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1723507200000,2721.15,2728.80,2703.35,2718.51,71973.253,1723508999999,195440534.08819,111395,33154.567,90041583.61859,0
1723509000000,2718.52,2727.99,2704.35,2716.87,47259.029,1723510799999,128319054.97373,98995,24794.182,67336519.83715,0
1723510800000,2716.87,2720.70,2704.52,2709.19,35033.414,1723512599999,95034581.44410,81264,16255.499,44101719.27744,0
1723512600000,2709.20,2732.83,2706.55,2731.68,34742.586,1723514399999,94591195.31663,65111,19611.019,53396318.42727,0
1723514400000,2731.68,2737.38,2689.55,2711.19,104729.608,1723516199999,283443590.42385,133917,46117.865,124809588.24960,0
1723516200000,2711.20,2716.85,2705.28,2713.19,22652.207,1723517999999,61404737.04346,50558,11528.080,31253602.99009,0
1723518000000,2713.20,2714.71,2647.31,2664.53,246775.345,1723519799999,659657683.87594,235128,108545.915,289889738.78590,0
1723519800000,2664.53,2671.08,2648.62,2655.04,61175.333,1723521599999,162663272.78163,95859,31006.388,82452623.67354,0
1723521600000,2655.04,2658.88,2641.00,2657.37,58114.884,1723523399999,153972826.35072,85754,28665.798,75968316.32412,0
1723523400000,2657.36,2660.85,2653.76,2658.61,24606.069,1723525199999,65386661.88396,45968,14134.992,37563704.64594,0
1723525200000,2658.59,2662.90,2651.50,2660.83,29814.953,1723526999999,79239680.04911,50400,16572.565,44053117.88815,0
1723527000000,2660.83,2662.40,2649.20,2651.00,22152.186,1723528799999,58817992.84376,43545,10536.365,27977914.06951,0
1723528800000,2651.00,2657.72,2633.51,2639.01,56707.840,1723530599999,149899778.82467,84092,25025.524,66171091.27527,0
1723530600000,2639.02,2656.42,2634.70,2653.05,45205.285,1723532399999,119758954.70969,73761,24472.381,64837160.33315,0
1723532400000,2653.05,2660.83,2643.41,2644.14,40172.392,1723534199999,106585877.43236,67028,17776.755,47174116.51096,0
1723534200000,2644.14,2656.87,2640.60,2647.14,27612.423,1723535999999,73159818.84510,54096,13805.011,36579545.69625,0
1723536000000,2647.14,2656.77,2632.44,2635.94,53962.717,1723537799999,142662615.10736,72097,24922.015,65911259.84529,0
1723537800000,2635.94,2642.48,2631.18,2641.33,37428.108,1723539599999,98711486.77389,65804,17364.302,45804944.18392,0
1723539600000,2641.34,2642.54,2625.46,2639.61,43625.386,1723541399999,114924525.41901,81159,20884.206,55034440.24375,0
1723541400000,2639.64,2646.28,2629.76,2640.39,41984.793,1723543199999,110706114.08664,72413,21269.366,56099289.57959,0
1723543200000,2640.38,2643.42,2610.04,2624.60,102929.195,1723544999999,269818909.43768,125377,42457.474,111331800.97044,0
1723545000000,2624.60,2635.44,2620.00,2632.25,46091.135,1723546799999,121140414.92632,79273,24643.729,64784041.31102,0
1723546800000,2632.25,2638.80,2629.00,2635.16,26156.089,1723548599999,68906960.79216,56004,12345.772,32531002.65352,0
1723548600000,2635.15,2647.04,2633.93,2642.95,33776.854,1723550399999,89203583.58551,59325,16877.827,44580361.97948,0
1723550400000,2642.94,2655.00,2639.60,2645.03,54726.800,1723552199999,144874447.50080,89519,27463.178,72716319.40440,0
1723552200000,2645.04,2662.01,2631.35,2648.68,129375.283,1723553999999,342489069.69280,179715,65056.098,172264969.01252,0
