open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1718236800000,3560.44,3561.25,3545.34,3552.90,27306.560,1718238599999,97017090.20472,48130,12611.918,44803994.46362,0
1718238600000,3552.90,3562.33,3550.60,3558.04,18312.403,1718240399999,65131535.69365,33306,9614.831,34197684.35015,0
1718240400000,3558.05,3560.35,3547.28,3549.02,11964.408,1718242199999,42520110.23832,26192,4597.476,16339591.86809,0
1718242200000,3549.02,3549.59,3536.71,3539.34,22600.338,1718243999999,80069028.17521,40448,9668.867,34255668.13828,0
1718244000000,3539.34,3542.14,3523.28,3539.45,53366.434,1718245799999,188455730.20627,63381,27315.270,96453957.15150,0
1718245800000,3539.45,3544.00,3503.31,3512.49,66330.702,1718247599999,233280703.86212,88933,29496.921,103749417.38677,0
1718247600000,3512.49,3516.47,3492.10,3493.07,79185.552,1718249399999,277503425.10879,113660,35629.519,124908868.04657,0
1718249400000,3493.08,3504.34,3476.26,3503.35,90481.934,1718251199999,315730559.78621,123670,44528.358,155408414.33158,0
1718251200000,3503.35,3517.53,3500.45,3516.00,35210.276,1718252999999,123630499.57585,56019,18942.127,66504861.01697,0
1718253000000,3516.01,3516.01,3495.08,3495.08,32488.746,1718254799999,113953732.48964,46138,11516.118,40396659.13830,0
1718254800000,3495.09,3513.03,3495.08,3509.50,22415.053,1718256599999,78617525.74656,37132,13860.552,48616086.45573,0
1718256600000,3509.49,3515.61,3505.66,3510.32,16194.287,1718258399999,56855371.21386,27643,8428.141,29590130.36067,0
1718258400000,3510.32,3511.45,3497.64,3502.00,23827.995,1718260199999,83447004.10555,33581,11172.137,39121159.51233,0
1718260200000,3501.99,3502.00,3485.07,3492.60,38423.180,1718261999999,134186226.98983,55575,17607.813,61502607.95512,0
1718262000000,3492.59,3506.40,3485.00,3505.56,29559.835,1718263799999,103345088.08387,43347,15516.250,54272031.54254,0
1718263800000,3505.55,3507.55,3500.04,3507.48,14083.287,1718265599999,49352092.71778,25552,8500.658,29791466.39241,0
1718265600000,3507.48,3511.47,3505.81,3507.02,24381.425,1718267399999,85548113.19037,35248,11852.563,41590282.98040,0
1718267400000,3507.01,3511.27,3502.02,3503.00,18404.279,1718269199999,64534462.22545,28583,8125.485,28491860.03093,0
1718269200000,3503.01,3503.48,3480.07,3486.44,46383.792,1718270999999,161910049.20191,59716,18977.875,66224841.37600,0
1718271000000,3486.43,3490.95,3472.21,3490.22,51728.118,1718272799999,180040676.04550,66324,24526.066,85383724.55420,0
1718272800000,3490.22,3495.89,3472.64,3484.99,35345.638,1718274599999,123116756.76990,51463,18193.359,63377703.18004,0
1718274600000,3484.99,3511.91,3482.21,3502.40,51863.622,1718276399999,181509564.10735,72740,29515.084,103294199.57673,0
1718276400000,3502.40,3506.91,3495.23,3505.20,21302.736,1718278199999,74584458.41028,40457,10917.487,38225965.17487,0
1718278200000,3505.20,3507.00,3492.72,3496.50,23806.994,1718279999999,83298869.47496,40895,11117.074,38897104.01163,0
1718280000000,3496.50,3504.44,3493.48,3502.82,23559.777,1718281799999,82450238.94263,43340,10979.822,38424808.95391,0
1718281800000,3502.82,3540.70,3478.03,3493.45,179748.685,1718283599999,630269558.01960,207136,88822.312,311584965.85311,0
1718283600000,3493.45,3511.30,3484.65,3509.53,55143.049,1718285399999,193037051.85071,73859,29214.831,102295504.82273,0
1718285400000,3509.52,3521.99,3493.70,3499.03,71618.415,1718287199999,251416121.06651,95851,34910.285,122578802.17722,0
1718287200000,3499.03,3505.00,3473.79,3480.02,72598.005,1718288999999,253316777.61647,104501,31004.120,108219727.37237,0
1718289000000,3480.01,3527.07,3479.30,3506.64,208537.603,1718290799999,732387175.64763,203012,105210.183,369439888.47186,0
1718290800000,3506.64,3509.73,3472.15,3478.96,107707.085,1718292599999,375976241.30594,130960,49387.087,172431507.63524,0
1718292600000,3478.96,3483.16,3433.34,3442.08,208393.904,1718294399999,719815038.72275,218300,89142.622,307885556.45595,0
1718294400000,3442.08,3463.00,3426.01,3457.30,126837.361,1718296199999,437370510.01748,137877,68664.913,236833883.84494,0
1718296200000,3457.31,3470.68,3449.19,3470.29,44527.692,1718297999999,154068139.97678,68627,24345.206,84242798.69693,0
1718298000000,3470.29,3477.80,3453.87,3454.20,47164.939,1718299799999,163515212.53618,66452,22221.520,77073595.02821,0
1718299800000,3454.19,3470.93,3450.34,3469.64,20386.273,1718301599999,70596947.27115,43700,10622.682,36791297.34438,0
