open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1707782400000,2660.91,2688.80,2660.90,2682.01,123511.845,1707784199999,330315937.65118,144992,68744.414,183852815.65088,0
1707784200000,2682.01,2683.00,2665.77,2669.01,55697.580,1707785999999,148941401.90572,73016,24826.478,66388146.19040,0
1707786000000,2669.01,2671.60,2665.00,2667.22,31278.960,1707787799999,83457237.17233,54317,15359.877,40986720.65456,0
1707787800000,2667.22,2682.84,2666.75,2679.16,42115.303,1707789599999,112603161.47365,66485,22346.913,59757376.25284,0
1707789600000,2679.15,2682.81,2661.58,2666.54,56291.178,1707791399999,150311809.32138,73341,25277.557,67506689.07881,0
1707791400000,2666.54,2666.54,2655.63,2657.17,45039.777,1707793199999,119767355.67089,56812,19499.125,51852507.40523,0
1707793200000,2657.17,2659.75,2648.01,2650.69,54279.358,1707794999999,143973757.36633,50977,22976.321,60942801.78714,0
1707795000000,2650.68,2651.33,2637.46,2642.41,54525.241,1707796799999,144158682.95082,60630,23079.405,61015297.10115,0
1707796800000,2642.40,2648.17,2640.00,2647.49,35940.100,1707798599999,95039292.60436,37797,21294.093,56313413.37526,0
1707798600000,2647.48,2653.36,2646.10,2648.06,33814.500,1707800399999,89611427.10309,35924,21426.965,56785118.24275,0
1707800400000,2648.05,2651.35,2644.53,2650.25,19264.662,1707802199999,51004897.01876,27346,11548.467,30574882.35433,0
1707802200000,2650.25,2655.18,2648.23,2653.76,29607.830,1707803999999,78518291.57807,32789,16423.977,43556251.14679,0
1707804000000,2653.77,2655.85,2648.92,2649.20,22807.060,1707805799999,60507654.06948,28449,11107.764,29469692.69758,0
1707805800000,2649.21,2651.41,2646.28,2648.31,15414.491,1707807599999,40831391.41527,23156,7321.108,19393948.62000,0
1707807600000,2648.32,2652.60,2647.67,2652.25,15470.214,1707809399999,41004189.30524,27283,8709.505,23084068.09454,0
1707809400000,2652.24,2653.97,2641.53,2650.26,35245.577,1707811199999,93330099.62028,44645,15638.007,41409498.43597,0
1707811200000,2650.26,2661.64,2648.22,2658.06,40972.065,1707812999999,108847611.16338,51420,22797.617,60564375.47105,0
1707813000000,2658.07,2666.23,2657.96,2664.54,32931.034,1707814799999,87650818.77114,46922,16377.708,43588147.18126,0
1707814800000,2664.55,2664.63,2657.80,2664.08,28377.549,1707816599999,75536782.03464,45338,12712.867,33840115.94843,0
1707816600000,2664.08,2683.95,2663.95,2678.78,67443.257,1707818399999,180273125.58952,86951,38744.817,103555995.73657,0
1707818400000,2678.79,2681.00,2665.54,2675.30,57545.728,1707820199999,153825185.20223,79418,25596.680,68415036.37452,0
1707820200000,2675.31,2681.17,2666.56,2669.35,66329.199,1707821999999,177269006.74790,90640,31958.055,85421628.31217,0
1707822000000,2669.35,2679.87,2658.69,2666.73,74818.296,1707823799999,199735168.34688,99689,35107.079,93737002.99791,0
1707823800000,2666.73,2688.14,2666.09,2683.15,73566.379,1707825599999,197148644.96334,97353,39948.101,107049935.31401,0
1707825600000,2683.15,2687.98,2675.20,2679.45,54637.107,1707827399999,146565502.84121,72929,24990.090,67037804.61849,0
1707827400000,2679.44,2679.45,2667.42,2675.80,56498.020,1707829199999,151081980.10698,68978,24044.978,64296586.36907,0
1707829200000,2675.80,2678.50,2661.86,2668.48,50163.958,1707830999999,134001622.60814,72841,21910.763,58529773.75284,0
1707831000000,2668.48,2669.08,2607.00,2644.36,391731.260,1707832799999,1035067498.89687,319289,178861.835,472822307.60917,0
1707832800000,2644.35,2655.86,2585.70,2624.11,347847.002,1707834599999,911673532.51041,299912,165271.682,433321772.15867,0
1707834600000,2624.12,2647.00,2616.32,2634.64,185917.633,1707836399999,489750021.69121,203218,100245.381,264077558.20344,0
1707836400000,2634.64,2643.83,2608.95,2638.33,179557.330,1707838199999,471437977.60162,183359,85514.613,224585538.07551,0
1707838200000,2638.32,2644.99,2632.05,2632.72,81910.408,1707839999999,216162477.31999,97860,38150.160,100698949.40554,0
1707840000000,2632.72,2641.99,2620.01,2633.88,75709.858,1707841799999,199129346.75349,98806,37643.967,99030153.18903,0
1707841800000,2633.88,2636.76,2601.27,2604.07,116688.972,1707843599999,305257934.95724,127169,49349.488,129122168.22775,0
1707843600000,2604.07,2613.56,2593.00,2612.00,129326.815,1707845399999,336827407.89923,138852,61943.955,161382705.83673,0
1707845400000,2612.00,2621.49,2610.81,2620.81,58586.463,1707847199999,153274227.42026,75957,32341.800,84612992.88520,0
1707847200000,2620.81,2637.70,2619.00,2635.00,65996.155,1707848999999,173348630.33026,89906,37031.814,97267195.03597,0
1707849000000,2635.00,2636.79,2626.64,2631.15,32183.318,1707850799999,84700018.70163,52319,15908.710,41868455.55405,0
1707850800000,2631.15,2632.12,2621.99,2631.53,27315.517,1707852599999,71753864.26447,44119,12445.733,32694824.25976,0
1707852600000,2631.53,2635.54,2610.13,2612.16,55501.376,1707854399999,145520622.71494,61121,22830.451,59874664.08218,0
1707854400000,2612.16,2624.90,2611.41,2616.61,38923.888,1707856199999,101918690.05874,49663,20720.119,54253240.99101,0
1707856200000,2616.61,2632.80,2615.19,2629.08,52686.126,1707857999999,138453515.09063,60949,27675.206,72720399.38981,0
1707858000000,2629.08,2651.24,2628.27,2643.21,75925.601,1707859799999,200622426.13564,79072,41418.208,109424531.71948,0
1707859800000,2643.21,2644.84,2629.77,2632.84,29797.340,1707861599999,78579545.29268,41793,13244.468,34933521.88520,0
1707861600000,2632.83,2636.73,2616.13,2628.86,40159.066,1707863399999,105422665.06071,49147,17932.065,47084693.21406,0
1707863400000,2628.86,2638.37,2627.25,2636.73,13149.946,1707865199999,34625614.67231,24428,6937.655,18265234.64964,0
1707865200000,2636.71,2637.33,2628.15,2637.13,26031.297,1707866999999,68524897.47027,34991,12932.337,34042547.93797,0
1707867000000,2637.12,2643.57,2634.17,2640.83,21439.935,1707868799999,56587745.45931,31516,11148.885,29428896.63950,0
