open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1702425600000,2204.71,2206.23,2200.04,2204.56,46454.812,1702427399999,102348455.29163,43278,24430.137,53820324.71950,0
1702427400000,2204.56,2208.47,2202.49,2205.32,25604.641,1702429199999,56462687.81101,28152,13405.903,29563438.38947,0
1702429200000,2205.33,2206.45,2176.11,2180.79,93335.814,1702430999999,204412524.66226,75149,38076.009,83374913.29772,0
1702431000000,2180.78,2190.76,2175.44,2175.64,74286.909,1702432799999,162178773.33729,68916,36673.274,80080891.54035,0
1702432800000,2175.51,2181.92,2146,2167.27,220971.535,1702434599999,478736762.21569,153127,102245.755,221613208.19796,0
1702434600000,2167.26,2176.69,2164.24,2175.99,79445.832,1702436399999,172522477.17231,67971,42633.332,92578183.07644,0
1702436400000,2175.99,2179.86,2165.05,2167.85,53893.842,1702438199999,117111948.84006,47630,26966.033,58604041.82326,0
1702438200000,2167.86,2174.50,2163.60,2167.28,55581.939,1702439999999,120560273.54770,47976,28502.284,61828720.76367,0
1702440000000,2167.29,2168.81,2145.33,2163.36,143580.631,1702441799999,309758075.65534,110200,65166.283,140599499.76486,0
1702441800000,2163.36,2169.03,2163.13,2168.50,39301.059,1702443599999,85146286.97461,35246,22483.012,48709851.80393,0
1702443600000,2168.50,2172.96,2164.23,2172.32,44901.079,1702445399999,97397389.12641,38491,23289.663,50522750.09773,0
1702445400000,2172.32,2174.91,2169.39,2174.67,28005.411,1702447199999,60833737.44429,28106,16000.025,34756638.31198,0
1702447200000,2174.68,2177.72,2171.64,2172.20,31112.358,1702448999999,67660357.46675,27233,16374.710,35613685.13497,0
1702449000000,2172.23,2174.39,2153.25,2155.38,77900.746,1702450799999,168471776.23595,65124,34648.039,74921962.14483,0
1702450800000,2155.38,2181.86,2150,2177.61,123175.947,1702452599999,267112279.23242,99360,70982.489,153967453.17935,0
1702452600000,2177.62,2178.02,2173.05,2174.44,34134.464,1702454399999,74249790.40063,35904,15690.800,34131262.71783,0
1702454400000,2174.45,2181.49,2173.41,2180.94,38249.006,1702456199999,83319328.00439,32279,21750.312,47378094.88296,0
1702456200000,2180.93,2187.89,2180.63,2186.65,49172.399,1702457999999,107388855.06832,45986,26410.468,57678281.25849,0
1702458000000,2186.64,2187.02,2177.06,2178.94,39702.177,1702459799999,86578657.64787,36356,17070.442,37224695.11753,0
1702459800000,2178.93,2180,2168.90,2179.44,51884.822,1702461599999,112876370.68028,44950,23919.737,52040587.93464,0
1702461600000,2179.44,2182.65,2171.79,2173.57,34432.897,1702463399999,74972129.54924,31426,14612.943,31825034.11046,0
1702463400000,2173.58,2180.82,2170.52,2179.39,57997.841,1702465199999,126149589.82754,42593,31364.258,68233173.77220,0
1702465200000,2179.38,2183.19,2178.39,2181,32853.110,1702466999999,71652246.93003,29500,16174.147,35276035.77665,0
1702467000000,2181,2181.88,2170.86,2173.04,47186.133,1702468799999,102672983.24346,39084,19829.638,43150763.98458,0
1702468800000,2173.05,2183.40,2170.53,2181.52,38690.916,1702470599999,84273293.87822,34728,21676.217,47213364.36311,0
1702470600000,2181.53,2184.79,2177.70,2184.17,26180.441,1702472399999,57123364.42726,25429,12678.075,27663778.15823,0
1702472400000,2184.18,2193.53,2181.85,2192.99,66021,1702474199999,144522735.27163,53946,34678.900,75918090.85961,0
1702474200000,2192.99,2197,2189.11,2192.15,61494.104,1702475999999,134880436.72229,53651,29659.327,65056571.16926,0
1702476000000,2192.15,2193.82,2183.29,2186.69,68405.607,1702477799999,149668312.66283,52056,30463.533,66655304.52270,0
1702477800000,2186.70,2193.16,2184.42,2189.82,39083.483,1702479599999,85550107.01264,33198,18042.292,39497130.72316,0
1702479600000,2189.83,2221.19,2189.41,2214.34,198967.181,1702481399999,439728837.06941,148371,106816.636,236049787.29909,0
1702481400000,2214.34,2227,2214.02,2218.78,105397.035,1702483199999,234079278.15997,79623,50044.832,111159021.43806,0
1702483200000,2218.78,2229.88,2213.53,2216.75,115246.067,1702484999999,256110779.01683,86698,54433.859,120983167.14045,0
1702485000000,2216.75,2216.94,2202.27,2206.60,89481.764,1702486799999,197639404.53173,72509,43235.681,95478906.99555,0
1702486800000,2206.60,2216.83,2203.26,2211.95,62255.358,1702488599999,137578468.57237,52613,32123.046,70990464.14956,0
1702488600000,2211.95,2216.53,2207.20,2214.91,41879.464,1702490399999,92631676.89430,39960,21358.604,47247020.28661,0
1702490400000,2214.91,2221.62,2211,2212.44,42050.023,1702492199999,93197113.62692,42286,21792.080,48302929.67899,0
1702492200000,2212.44,2222.91,2211.15,2217.67,39711.560,1702493999999,88096149.99553,36077,19994.379,44356580.58401,0
1702494000000,2217.67,2241.31,2217.67,2236.08,134109.357,1702495799999,299344845.57346,120403,71318.422,159183410.31138,0
1702495800000,2236.08,2257.13,2232.58,2253.77,158168.624,1702497599999,355769085.33062,132643,80240.023,180480934.57281,0
1702497600000,2253.78,2264,2246.04,2249.33,126850.989,1702499399999,285894464.90312,103914,59004.157,133005904.73729,0
1702499400000,2249.34,2261.70,2247.90,2259.72,60306.725,1702501199999,136088100.09958,49485,30458.616,68735214.50525,0
1702501200000,2259.57,2263.72,2250.07,2256.76,58333.389,1702502999999,131669311.03237,50346,27887.479,62940969.03478,0
1702503000000,2256.76,2268.36,2252.14,2262.59,65588.339,1702504799999,148275257.83687,55766,33006.593,74628504.13162,0
1702504800000,2262.59,2285.91,2262.33,2274.43,142957.036,1702506599999,325471566.18352,114575,77047.868,175413638.79515,0
1702506600000,2274.43,2274.52,2258.94,2261.83,53278.136,1702508399999,120673885.39894,50617,26205.622,59350331.14432,0
1702508400000,2261.84,2265.85,2256.30,2264.39,41860.103,1702510199999,94671049.65893,40508,21217.428,47987110.71926,0
1702510200000,2264.38,2265.31,2256.65,2261.44,41336.627,1702511999999,93469513.01378,36124,20629.855,46651973.30825,0
