open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1710288000000,3984.18,4004.46,3976.94,3982.73,49955.004,1710289799999,199334372.45503,87060,25151.759,100373115.44271,0
1710289800000,3982.75,3995.32,3977.77,3980.87,19563.654,1710291599999,77983234.59492,47026,8745.134,34863267.58784,0
1710291600000,3980.86,4006.00,3979.00,4005.29,29250.694,1710293399999,116777362.47534,53515,15704.434,62703487.07420,0
1710293400000,4005.30,4035.00,4005.26,4025.58,77991.697,1710295199999,313933271.72975,120423,38622.079,155439801.64117,0
1710295200000,4025.59,4029.85,4016.11,4021.40,24977.116,1710296999999,100471720.37670,50778,11166.926,44924205.65866,0
1710297000000,4021.41,4041.21,4021.11,4036.01,31201.688,1710298799999,125843376.36813,51987,17081.741,68895216.72704,0
1710298800000,4036.01,4047.67,4028.47,4043.61,37119.239,1710300599999,149972373.35339,65760,18706.720,75586670.40613,0
1710300600000,4043.61,4050.00,4035.10,4047.93,24999.977,1710302399999,101099109.55082,46052,11098.414,44891197.41143,0
1710302400000,4047.92,4048.08,4033.13,4037.99,25339.728,1710304199999,102375747.44822,45592,10476.659,42327660.77744,0
1710304200000,4037.99,4049.80,4036.47,4047.46,21982.660,1710305999999,88910422.06068,42063,12230.990,49464632.88673,0
1710306000000,4047.45,4047.53,4033.38,4042.54,22000.998,1710307799999,88906392.38943,37730,7472.198,30193295.40097,0
1710307800000,4042.54,4045.88,4037.57,4041.35,12427.874,1710309599999,50230057.27192,26496,5625.222,22735431.06382,0
1710309600000,4041.35,4050.00,4037.59,4046.59,21684.133,1710311399999,87707209.04521,39492,12044.302,48717251.07850,0
1710311400000,4046.58,4061.10,4044.53,4052.74,46409.376,1710313199999,188112490.76999,71599,26352.781,106824830.63114,0
1710313200000,4052.74,4085.90,4049.00,4060.37,89027.341,1710314999999,362350159.74370,149177,50474.378,205443326.52984,0
1710315000000,4060.36,4062.61,4036.10,4043.28,61599.185,1710316799999,249398277.78317,83898,26530.201,107427942.50097,0
1710316800000,4043.29,4091.65,4043.29,4084.40,77093.595,1710318599999,313530742.72755,117871,45737.274,186007241.05535,0
1710318600000,4084.40,4091.11,4058.89,4068.45,86485.904,1710320399999,352177089.89620,116707,36753.850,149627977.60710,0
1710320400000,4068.46,4071.96,4056.68,4068.68,30488.339,1710322199999,123930431.04946,57898,14018.065,56988482.07879,0
1710322200000,4068.68,4070.28,4048.23,4054.40,41430.512,1710323999999,168051889.79615,67033,17050.157,69168797.13901,0
1710324000000,4054.41,4062.37,4047.77,4050.51,26788.322,1710325799999,108623700.82600,56739,13476.884,54654733.22587,0
1710325800000,4050.51,4062.26,4048.00,4060.57,22332.956,1710327599999,90558400.13109,44268,11071.655,44896650.20118,0
1710327600000,4060.57,4065.24,4055.72,4058.43,23486.555,1710329399999,95357218.43241,43447,11166.062,45336594.27027,0
1710329400000,4058.43,4059.56,4049.22,4053.74,18290.367,1710331199999,74166850.84351,39816,7800.453,31631405.77970,0
1710331200000,4053.74,4058.00,4031.13,4040.84,41539.020,1710332999999,168021245.16690,68219,15855.803,64131924.91494,0
1710333000000,4040.84,4041.08,4005.07,4009.87,130666.390,1710334799999,525687685.88396,185161,58792.373,236555450.37464,0
1710334800000,4009.86,4026.73,3992.00,4000.79,82655.392,1710336599999,331503205.07797,137468,39605.404,158875322.10184,0
1710336600000,4000.79,4007.14,3935.00,3980.00,237564.754,1710338399999,942892984.76280,336601,110564.439,438886782.47585,0
1710338400000,3980.01,4004.80,3967.91,3986.39,140287.957,1710340199999,559497870.47853,222801,71663.340,285839691.13562,0
1710340200000,3986.39,3987.56,3955.22,3969.04,106416.025,1710341999999,422546812.36741,175647,51031.864,202664389.12629,0
1710342000000,3969.03,4007.47,3950.08,3970.74,115210.366,1710343799999,458481023.15710,186108,59868.812,238353600.33855,0
1710343800000,3970.73,3990.92,3953.56,3965.66,75374.491,1710345599999,299157120.98606,123513,36274.040,143987320.57024,0
1710345600000,3965.67,3990.92,3955.50,3985.32,79066.800,1710347399999,314192635.95813,134418,42096.722,167318277.34833,0
1710347400000,3985.31,3994.30,3972.09,3986.52,40472.556,1710349199999,161228725.98091,85343,19867.309,79149933.69757,0
1710349200000,3986.52,3999.95,3967.34,3973.37,50316.398,1710350999999,200424253.25294,96325,23232.717,92558575.91080,0
1710351000000,3973.36,3987.35,3962.79,3984.92,37157.568,1710352799999,147807013.60912,67721,20424.423,81251832.20592,0
1710352800000,3984.93,3998.20,3976.99,3996.01,29063.170,1710354599999,115905444.16882,51994,14583.964,58167870.11248,0
1710354600000,3996.02,4015.66,3992.21,4007.67,50664.777,1710356399999,203051419.87276,87128,28208.572,113051968.75797,0
1710356400000,4007.67,4014.30,3990.19,3991.66,31163.245,1710358199999,124740857.70109,56456,12293.784,49218685.89681,0
1710358200000,3991.67,4007.41,3981.68,4004.13,34477.615,1710359999999,137671891.00754,60096,16846.710,67280860.36120,0
1710360000000,4004.12,4025.84,3986.50,4003.39,61635.157,1710361799999,247080646.90732,91679,32029.245,128450697.45676,0
1710361800000,4003.39,4003.39,3977.49,3992.61,45993.107,1710363599999,183525665.37014,75066,22942.588,91567020.12311,0
1710363600000,3992.61,3999.22,3985.02,3991.07,16307.241,1710365399999,65103683.20715,34559,7183.170,28680985.86495,0
1710365400000,3991.07,4009.05,3981.61,4008.66,20586.940,1710367199999,82319383.65317,41781,11708.066,46811472.27126,0
1710367200000,4008.66,4009.80,3985.99,3990.80,23519.357,1710368999999,94021441.43046,40278,10168.496,40659116.73045,0
1710369000000,3990.80,3994.38,3983.93,3986.37,20557.770,1710370799999,81987598.07854,38008,10665.042,42536802.37354,0
1710370800000,3986.36,4014.51,3986.00,3998.74,30946.174,1710372599999,123916859.84979,58382,16252.791,65075916.79897,0
1710372600000,3998.74,4015.37,3995.51,4008.76,22232.315,1710374399999,89062808.89882,38048,10213.378,40913592.05242,0
