open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1715558400000,2927.73,2939.00,2927.72,2938.82,18238.493,1715560199999,53509244.21026,34600,9597.765,28161532.13767,0
1715560200000,2938.81,2942.00,2930.38,2931.00,17570.208,1715561999999,51576768.97494,34483,7156.932,21009084.19888,0
1715562000000,2931.01,2934.07,2913.42,2924.51,43042.281,1715563799999,125830567.58773,67341,21683.833,63400070.10932,0
1715563800000,2924.51,2924.52,2905.00,2916.36,78814.718,1715565599999,229641190.50362,91394,34890.206,101687349.80367,0
1715565600000,2916.35,2922.36,2893.18,2897.19,64807.600,1715567399999,188252411.25423,82579,22507.763,65387310.38458,0
1715567400000,2897.18,2897.18,2872.23,2884.58,195424.275,1715569199999,563585903.08794,208117,93164.749,268704789.71304,0
1715569200000,2884.58,2886.00,2863.80,2872.73,130609.253,1715570999999,375568559.53430,151380,58256.594,167567730.10058,0
1715571000000,2872.73,2889.99,2868.62,2889.31,46738.669,1715572799999,134553778.21489,81910,27304.444,78611832.32104,0
1715572800000,2889.31,2889.86,2880.30,2883.25,36541.200,1715574599999,105423282.11579,59253,16688.938,48154568.55633,0
1715574600000,2883.25,2887.19,2877.19,2884.90,22517.215,1715576399999,64881279.15602,48970,11944.829,34417491.26699,0
1715576400000,2884.91,2893.77,2880.08,2884.91,30457.484,1715578199999,87945888.10397,50161,14194.625,40990344.10114,0
1715578200000,2884.92,2887.05,2867.70,2874.28,53152.032,1715579999999,152993265.50641,59633,22325.627,64267449.80901,0
1715580000000,2874.28,2893.96,2871.00,2891.51,42214.170,1715581799999,121804164.24154,70161,23075.041,66585151.53572,0
1715581800000,2891.51,2921.79,2889.93,2918.35,125206.559,1715583599999,364258798.94636,145491,70168.964,204099936.05589,0
1715583600000,2918.35,2935.10,2914.37,2926.88,88869.854,1715585399999,260119288.10411,118439,46404.428,135842996.72650,0
1715585400000,2926.89,2958.21,2921.76,2953.09,105229.941,1715587199999,309817491.20643,128822,62750.963,184793537.40799,0
1715587200000,2953.08,2982.00,2953.08,2970.05,200775.971,1715588999999,596445032.33535,230253,96536.158,286797171.84684,0
1715589000000,2970.05,2987.80,2968.42,2971.88,75316.526,1715590799999,224186418.82976,113004,37059.297,110340615.53590,0
1715590800000,2971.87,2996.44,2971.87,2984.53,69397.539,1715592599999,207151491.35936,94368,36788.861,109831666.95204,0
1715592600000,2984.54,2988.59,2978.00,2984.67,38230.920,1715594399999,114017438.65137,74396,17590.840,52468670.08544,0
1715594400000,2984.67,2986.73,2961.61,2964.21,59274.957,1715596199999,176182810.98069,91622,24342.787,72352086.23536,0
1715596200000,2964.21,2966.90,2946.66,2961.79,78704.360,1715597999999,232776671.85567,117048,41183.391,121834542.10059,0
1715598000000,2961.80,2966.48,2952.80,2960.44,34558.813,1715599799999,102251596.93896,58218,18378.074,54384861.28904,0
1715599800000,2960.44,2968.59,2958.75,2964.59,28462.701,1715601599999,84358961.94938,50254,15513.132,45977522.90413,0
1715601600000,2964.60,2972.77,2953.39,2967.19,53911.270,1715603399999,159796994.69572,81141,29880.056,88587488.69653,0
1715603400000,2967.19,2972.67,2957.64,2964.50,37558.992,1715605199999,111355478.31159,64510,18208.049,53987728.30225,0
1715605200000,2964.51,2985.76,2962.51,2972.61,57252.636,1715606999999,170322350.55816,92565,33011.771,98207287.83290,0
1715607000000,2972.62,2977.12,2960.68,2963.80,51509.382,1715608799999,152864486.40771,98157,25828.578,76670791.72551,0
1715608800000,2963.84,2973.40,2961.53,2967.79,41994.846,1715610599999,124638907.12829,80486,24177.886,71762535.56320,0
1715610600000,2967.78,2967.79,2948.08,2951.04,43588.081,1715612399999,128853024.51452,82782,20339.938,60133971.05090,0
1715612400000,2951.05,2965.86,2948.97,2960.75,37305.910,1715614199999,110295851.61993,73191,22369.267,66139071.81199,0
1715614200000,2960.74,2972.40,2957.52,2960.20,33669.599,1715615999999,99807479.74100,68073,18151.594,53810317.32582,0
1715616000000,2960.21,2974.99,2953.28,2963.28,55321.356,1715617799999,163990692.18839,94039,28761.328,85284676.52114,0
1715617800000,2963.29,2976.10,2962.32,2975.06,44016.378,1715619599999,130710962.44381,85419,23149.158,68748294.99235,0
1715619600000,2975.06,2977.09,2940.68,2943.20,74600.660,1715621399999,220353719.25221,118853,32097.183,94819399.36924,0
1715621400000,2943.20,2947.87,2933.60,2939.76,56884.090,1715623199999,167268908.69764,92599,28779.090,84637212.38855,0
1715623200000,2939.77,2941.39,2925.06,2932.77,42147.817,1715624999999,123673102.67544,75649,19068.857,55963817.15812,0
1715625000000,2932.77,2944.00,2932.54,2942.59,21635.549,1715626799999,63619388.15004,47307,14589.644,42900501.34921,0
1715626800000,2942.60,2952.80,2942.38,2952.26,27110.738,1715628599999,79940315.75277,50869,16525.074,48723227.49595,0
1715628600000,2952.26,2957.11,2950.82,2955.69,21830.504,1715630399999,64498028.78039,44980,11555.669,34142445.85687,0
1715630400000,2955.69,2957.05,2949.79,2952.48,12343.360,1715632199999,36443788.09761,31004,5889.252,17387562.82656,0
1715632200000,2952.48,2959.00,2950.28,2953.55,13741.347,1715633999999,40601842.59309,27417,6700.012,19798219.98532,0
1715634000000,2953.55,2955.42,2950.48,2951.73,8321.801,1715635799999,24571356.33854,19743,3963.096,11701537.92713,0
1715635800000,2951.73,2953.40,2943.70,2950.41,13818.152,1715637599999,40748789.26217,24560,4561.908,13450770.97433,0
1715637600000,2950.42,2953.60,2937.69,2938.92,18886.596,1715639399999,55648095.06907,38920,8420.071,24812804.04575,0
1715639400000,2938.93,2946.22,2937.14,2939.12,13814.216,1715641199999,40636333.90454,32282,7222.431,21245299.64838,0
1715641200000,2939.11,2951.94,2938.96,2951.66,13595.885,1715642999999,40050175.60129,29210,8569.561,25242683.72780,0
1715643000000,2951.67,2951.99,2945.32,2949.71,10489.824,1715644799999,30926966.83076,24322,6245.585,18413271.62377,0
