open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1726272000000,2438.16,2439.61,2430.96,2431.90,33891.831,1726273799999,82526884.93365,48619,11308.373,27537980.94466,0
1726273800000,2431.91,2432.41,2423.70,2426.84,39412.960,1726275599999,95694598.51565,42225,13764.620,33421772.73072,0
1726275600000,2426.84,2434.24,2426.84,2430.29,59358.378,1726277399999,144248354.43132,46914,24075.574,58509616.20855,0
1726277400000,2430.30,2430.50,2420.74,2422.12,33733.488,1726279199999,81823318.11369,36841,10363.545,25140292.01386,0
1726279200000,2422.12,2428.50,2422.12,2427.70,20076.659,1726280999999,48695972.65566,27597,10895.760,26429728.07645,0
1726281000000,2427.70,2428.66,2423.46,2423.71,9557.269,1726282799999,23185981.11121,17475,3953.445,9592278.92957,0
1726282800000,2423.70,2433.73,2423.70,2430.45,21924.122,1726284599999,53265673.04276,28836,11137.206,27052388.94096,0
1726284600000,2430.46,2432.60,2428.23,2431.67,12060.569,1726286399999,29318923.84691,20596,6980.085,16968684.18003,0
1726286400000,2431.67,2432.40,2427.39,2428.00,9405.166,1726288199999,22854554.37119,17642,4031.174,9795260.42047,0
1726288200000,2428.00,2429.89,2424.86,2425.12,12060.615,1726289999999,29270355.56097,19331,5402.702,13112502.89336,0
1726290000000,2425.12,2426.00,2418.15,2419.44,23131.323,1726291799999,56023020.25115,34645,9801.348,23739753.62613,0
1726291800000,2419.45,2422.93,2413.40,2413.72,25932.897,1726293599999,62707138.95907,32260,8905.004,21540778.83929,0
1726293600000,2413.73,2420.50,2412.27,2417.46,21787.970,1726295399999,52663996.43652,26784,11875.253,28707261.27053,0
1726295400000,2417.46,2420.48,2412.41,2418.48,23143.843,1726297199999,55942756.00132,30639,13948.868,33717227.55600,0
1726297200000,2418.47,2418.48,2415.65,2417.21,10750.416,1726298999999,25979967.13388,15861,5453.346,13178462.61662,0
1726299000000,2417.20,2421.65,2416.65,2419.23,24484.642,1726300799999,59237696.24677,24896,13232.619,32013864.89841,0
1726300800000,2419.23,2420.68,2415.00,2415.82,15157.132,1726302599999,36647519.23354,20602,5758.139,13921919.95113,0
1726302600000,2415.82,2418.27,2410.05,2414.60,19609.837,1726304399999,47329282.46366,25953,8325.247,20095508.62994,0
1726304400000,2414.60,2418.19,2413.60,2415.86,13245.144,1726306199999,32002965.99871,19896,7177.602,17341730.14040,0
1726306200000,2415.85,2419.49,2413.04,2418.97,15063.860,1726307999999,36409308.99347,23042,8139.670,19676005.00077,0
1726308000000,2418.97,2418.97,2413.07,2416.37,11465.752,1726309799999,27692964.62616,22500,5744.502,13874375.64979,0
1726309800000,2416.36,2416.36,2410.02,2412.40,16923.689,1726311599999,40827440.99995,21953,7481.833,18050461.47295,0
1726311600000,2412.38,2414.00,2406.72,2411.44,33004.958,1726313399999,79557597.30295,36183,13481.212,32498955.68980,0
1726313400000,2411.44,2416.27,2408.21,2415.88,24189.563,1726315199999,58345748.70129,29718,14113.935,34045774.10846,0
1726315200000,2415.87,2422.59,2413.23,2421.54,35759.808,1726316999999,86513696.85802,36834,18527.377,44823739.65996,0
1726317000000,2421.54,2421.67,2416.84,2419.27,13447.937,1726318799999,32536050.21750,23654,6376.059,15427226.63100,0
1726318800000,2419.27,2420.06,2411.30,2413.96,19174.904,1726320599999,46307061.84902,27037,9392.395,22682102.90801,0
1726320600000,2413.97,2418.62,2411.12,2415.61,14460.031,1726322399999,34929272.13723,22978,8070.412,19496604.33714,0
1726322400000,2415.60,2421.74,2413.50,2420.84,15288.381,1726324199999,36966338.88694,22058,7883.726,19064325.09285,0
1726324200000,2420.84,2422.48,2416.14,2418.99,21046.748,1726325999999,50933456.86529,27287,10920.461,26428229.36405,0
1726326000000,2418.98,2421.73,2417.60,2420.15,11109.925,1726327799999,26887086.41608,17303,5955.882,14414408.09830,0
1726327800000,2420.14,2420.15,2413.87,2417.37,22739.111,1726329599999,54940500.95406,25725,7370.877,17811751.44708,0
1726329600000,2417.37,2420.04,2414.00,2414.51,14470.285,1726331399999,34977489.28700,23027,7596.972,18365171.09225,0
1726331400000,2414.52,2418.30,2414.10,2417.16,9098.282,1726333199999,21980420.44100,20622,4337.663,10479668.73503,0
1726333200000,2417.16,2417.16,2410.00,2414.01,17099.809,1726334999999,41262571.45183,25500,8003.278,19311739.10175,0
1726335000000,2414.01,2414.27,2411.62,2413.41,6895.341,1726336799999,16636748.14092,15445,3410.312,8228660.59014,0
1726336800000,2413.40,2415.77,2373.82,2397.20,189924.756,1726338599999,454799702.79813,172919,85399.927,204577339.63807,0
1726338600000,2397.21,2406.90,2397.08,2406.41,23457.462,1726340399999,56363307.91542,32633,15610.634,37514957.05519,0
1726340400000,2406.42,2411.68,2402.70,2409.09,15463.728,1726342199999,37223619.39306,25068,8174.637,19683485.89608,0
1726342200000,2409.10,2411.00,2405.76,2407.57,9259.010,1726343999999,22296549.21220,18274,4089.908,9849129.70704,0
1726344000000,2407.56,2421.76,2405.86,2411.60,33095.374,1726345799999,79852976.92333,39746,19948.246,48136381.38226,0
1726345800000,2411.59,2415.60,2409.17,2414.84,12836.085,1726347599999,30958530.50901,24426,6610.482,15944159.13562,0
1726347600000,2414.84,2417.98,2411.70,2416.81,12382.874,1726349399999,29905453.80414,19666,6830.081,16496706.00819,0
1726349400000,2416.80,2416.81,2413.48,2415.40,10953.198,1726351199999,26454093.44853,16173,4050.439,9782563.08515,0
1726351200000,2415.40,2417.85,2410.21,2412.72,17204.129,1726352999999,41524044.98244,22222,7336.758,17709128.63060,0
1726353000000,2412.72,2418.25,2412.72,2415.76,7951.276,1726354799999,19212539.91792,14943,4035.489,9750528.28800,0
1726354800000,2415.75,2418.00,2413.37,2413.41,6490.609,1726356599999,15679861.97282,12694,2433.201,5878693.77791,0
1726356600000,2413.41,2416.92,2413.40,2416.65,6055.899,1726358399999,14627195.01484,10588,3018.253,7289994.23239,0
