open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1723593600000,2701.01,2705.84,2691.85,2696.08,31056.273,1723595399999,83831524.11625,53388,16266.360,43914191.50257,0
1723595400000,2696.08,2716.00,2693.13,2714.32,36795.280,1723597199999,99542363.92935,69743,22129.289,59882023.97654,0
1723597200000,2714.32,2719.08,2694.74,2697.40,30896.067,1723598999999,83590534.70082,58486,13781.198,37295218.66014,0
1723599000000,2697.40,2711.07,2688.21,2689.36,35668.043,1723600799999,96255404.92667,63412,17160.003,46323004.63723,0
1723600800000,2689.36,2702.10,2684.14,2696.88,35248.575,1723602599999,94922014.00532,61131,20013.863,53898950.13188,0
1723602600000,2696.87,2712.29,2695.01,2707.90,28467.232,1723604399999,76990247.51164,51332,15295.335,41370312.15078,0
1723604400000,2707.90,2717.75,2703.64,2716.99,27811.941,1723606199999,75372021.59172,46241,14941.222,40498101.96404,0
1723606200000,2716.98,2724.60,2707.18,2707.99,46823.467,1723607999999,127228918.32763,69635,22890.760,62221792.00453,0
1723608000000,2707.98,2715.77,2706.34,2715.26,24905.698,1723609799999,67522344.55195,44399,12340.216,33458722.50923,0
1723609800000,2715.27,2723.21,2708.73,2719.36,36798.392,1723611599999,100021561.76779,47770,23472.863,63805581.62642,0
1723611600000,2719.36,2743.55,2714.00,2727.59,80867.149,1723613399999,220904292.32943,106373,45335.917,123842545.67307,0
1723613400000,2727.59,2730.16,2721.08,2722.63,25506.540,1723615199999,69513439.19203,44661,11888.141,32402369.27518,0
1723615200000,2722.63,2749.00,2714.73,2735.52,83157.414,1723616999999,227406997.54796,105910,39984.169,109388815.55548,0
1723617000000,2735.52,2737.44,2720.07,2726.29,39218.109,1723618799999,107026173.99407,57855,18722.776,51094745.98472,0
1723618800000,2726.29,2727.59,2717.00,2719.27,30204.794,1723620599999,82206387.09110,48405,15044.000,40945662.42908,0
1723620600000,2719.26,2728.44,2719.00,2726.46,20595.075,1723622399999,56094401.80288,35399,11456.443,31205152.26073,0
1723622400000,2726.46,2735.31,2712.71,2731.53,49183.369,1723624199999,133993179.45406,72044,22936.109,62503475.13010,0
1723624200000,2731.53,2735.88,2720.37,2724.48,32064.119,1723625999999,87449783.47586,60901,14220.032,38784501.60608,0
1723626000000,2724.48,2728.45,2718.00,2726.20,28035.679,1723627799999,76354039.42738,45309,12759.420,34753935.11338,0
1723627800000,2726.19,2729.13,2718.14,2720.15,18634.224,1723629599999,50717222.13449,35771,8943.865,24343549.24876,0
1723629600000,2720.16,2742.54,2719.05,2738.97,54451.198,1723631399999,148894298.43918,83533,27915.783,76320800.50697,0
1723631400000,2738.96,2763.32,2736.63,2741.45,135102.239,1723633199999,371775134.60840,163729,75955.216,209027416.26828,0
1723633200000,2741.46,2742.98,2723.70,2738.61,78356.724,1723634999999,214092078.45235,115531,36874.313,100753611.22642,0
1723635000000,2738.61,2755.03,2736.60,2748.60,71503.549,1723636799999,196480438.77502,104564,37336.544,102584106.98175,0
1723636800000,2748.59,2782.05,2740.68,2769.01,77962.083,1723638599999,214734526.84024,108024,41362.263,114043296.58794,0
1723638600000,2769.22,2788.88,2718.44,2730.07,284567.807,1723640399999,781635281.81896,329942,139472.279,383261485.72513,0
1723640400000,2730.08,2737.37,2708.50,2719.18,110850.408,1723642199999,301571634.33555,159315,52207.884,142067023.30879,0
1723642200000,2719.18,2726.92,2650.00,2658.04,317360.994,1723643999999,851156419.04700,354185,139837.039,375044846.55555,0
1723644000000,2658.03,2668.08,2631.00,2659.89,284390.376,1723645799999,753846336.37107,297817,148627.901,394105037.26888,0
1723645800000,2659.89,2661.66,2639.06,2651.99,105010.965,1723647599999,278203198.93108,142637,50238.761,133093453.44239,0
1723647600000,2651.99,2663.27,2636.72,2640.99,92015.405,1723649399999,243647433.69399,120759,42582.518,112785268.03685,0
1723649400000,2640.96,2684.60,2640.95,2672.73,140222.169,1723651199999,374401704.74246,169447,73912.504,197339535.41054,0
1723651200000,2672.72,2672.80,2640.06,2649.01,110174.011,1723652999999,292564370.80969,140911,52058.399,138230475.51253,0
1723653000000,2649.01,2668.78,2643.49,2663.11,81302.602,1723654799999,215898293.51238,114007,41968.118,111465974.14175,0
1723654800000,2663.11,2671.00,2650.13,2655.86,44253.976,1723656599999,117773154.71802,69235,22738.439,60525544.01413,0
1723656600000,2655.85,2665.31,2654.22,2657.37,25363.927,1723658399999,67464971.30815,50164,13657.243,36330857.02314,0
1723658400000,2657.38,2667.52,2655.00,2657.14,25986.912,1723660199999,69121706.85107,49902,14070.686,37425777.18382,0
