open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1720915200000,3174.00,3192.94,3173.58,3174.39,37360.227,1720916999999,118867604.23566,54924,19744.389,62824658.61828,0
1720917000000,3174.39,3187.35,3170.99,3185.69,24627.723,1720918799999,78292580.26950,49474,13090.611,41615206.22643,0
1720918800000,3185.68,3186.91,3171.11,3178.61,30447.286,1720920599999,96780316.63546,52667,14830.501,47128495.75296,0
1720920600000,3178.61,3186.70,3177.92,3185.30,15954.932,1720922399999,50792979.24083,32437,8840.765,28144543.64434,0
1720922400000,3185.31,3187.28,3166.66,3167.21,25689.813,1720924199999,81587520.76232,39478,9734.722,30917817.36132,0
1720924200000,3167.21,3171.61,3162.06,3171.32,23362.291,1720925999999,73985017.81391,35328,11910.581,37726656.98390,0
1720926000000,3171.33,3178.63,3170.25,3174.09,16395.938,1720927799999,52051225.70432,27516,9673.273,30708600.59267,0
1720927800000,3174.13,3174.14,3168.10,3171.15,12476.128,1720929599999,39559034.29004,20310,5469.139,17342263.31596,0
1720929600000,3171.16,3199.58,3169.82,3186.56,57579.938,1720931399999,183500566.69625,69702,31258.738,99617420.29432,0
1720931400000,3186.57,3193.97,3182.85,3191.72,22482.208,1720933199999,71661380.55674,45585,11132.599,35488136.32639,0
1720933200000,3191.72,3206.09,3183.33,3199.50,57950.580,1720934999999,185169427.58344,81193,29143.509,93139456.09298,0
1720935000000,3199.49,3204.32,3188.67,3199.95,35372.309,1720936799999,113113387.92877,53400,14690.387,46977659.86172,0
1720936800000,3199.95,3202.96,3193.21,3198.08,18499.607,1720938599999,59144410.24244,35114,9848.630,31486675.57979,0
1720938600000,3198.08,3198.25,3185.51,3189.47,24583.809,1720940399999,78447308.96016,38389,8984.755,28668650.62276,0
1720940400000,3189.48,3195.16,3185.56,3191.28,12748.485,1720942199999,40677952.16172,28175,7483.749,23879823.75446,0
1720942200000,3191.28,3201.25,3188.48,3194.34,19427.927,1720943999999,62076819.18911,30255,9905.004,31648828.29266,0
1720944000000,3194.33,3214.94,3193.95,3212.40,38887.594,1720945799999,124624830.01629,53379,24804.367,79502753.66751,0
1720945800000,3212.41,3219.87,3203.14,3209.10,43082.862,1720947599999,138392499.73320,61846,22916.684,73628305.98331,0
1720947600000,3209.08,3214.50,3205.01,3211.07,26632.978,1720949399999,85480758.07491,47582,13207.726,42388566.35699,0
1720949400000,3211.07,3224.00,3209.10,3211.52,36812.132,1720951199999,118402809.48922,58725,20737.693,66706673.67046,0
1720951200000,3211.52,3215.70,3199.82,3206.49,28026.282,1720952999999,89887889.47761,40540,11764.170,37742530.48413,0
1720953000000,3206.48,3207.98,3195.73,3196.80,23444.916,1720954799999,75023997.96852,35775,8647.759,27672222.41417,0
1720954800000,3196.81,3203.88,3196.00,3202.12,17794.381,1720956599999,56941133.22777,29585,9640.839,30850604.57292,0
1720956600000,3202.13,3205.34,3199.28,3201.59,14152.833,1720958399999,45318570.00006,26711,6374.446,20412560.17264,0
1720958400000,3201.60,3202.80,3187.29,3191.05,40124.200,1720960199999,128119947.62609,53664,16413.076,52409299.63278,0
1720960200000,3191.06,3195.73,3187.81,3188.39,23912.506,1720961999999,76304421.75373,37956,9034.449,28830919.66919,0
1720962000000,3188.40,3194.30,3187.30,3187.57,15167.132,1720963799999,48392356.52504,29479,7839.243,25013825.61975,0
1720963800000,3187.57,3188.61,3181.50,3182.56,22739.874,1720965599999,72408191.65755,37726,9734.400,30996597.01094,0
1720965600000,3182.57,3186.70,3175.29,3175.50,28446.909,1720967399999,90475559.25168,39855,12738.126,40521301.40973,0
1720967400000,3175.50,3202.50,3171.47,3190.32,53712.848,1720969199999,171231916.00955,71824,28592.759,91154593.26847,0
1720969200000,3190.32,3194.89,3179.52,3182.97,31788.079,1720970999999,101319235.37120,46939,16651.291,53070927.57302,0
1720971000000,3182.97,3190.00,3180.83,3188.56,27916.408,1720972799999,88922039.13937,41256,13073.597,41644018.91517,0
1720972800000,3188.56,3193.22,3183.98,3187.70,14793.569,1720974599999,47171565.51327,30233,8140.133,25960062.25918,0
1720974600000,3187.70,3196.77,3186.29,3194.93,15715.222,1720976399999,50176241.28709,28175,7712.580,24625049.04247,0
1720976400000,3194.93,3195.85,3182.00,3188.21,22843.360,1720978199999,72844613.09105,31122,10818.112,34484675.90072,0
1720978200000,3188.22,3193.26,3187.29,3188.84,9999.497,1720979999999,31897578.07412,16938,5339.849,17033499.12452,0
1720980000000,3188.83,3190.50,3181.61,3183.67,9010.588,1720981799999,28700551.96117,18432,4404.925,14029737.91827,0
1720981800000,3183.67,3187.17,3182.85,3184.84,4910.140,1720983599999,15640271.78217,12875,3127.375,9961942.92264,0
1720983600000,3184.84,3188.80,3184.05,3187.01,4274.050,1720985399999,13618812.50019,9816,2880.755,9179479.63712,0
1720985400000,3187.01,3190.00,3184.48,3189.56,5802.965,1720987199999,18496053.89045,11315,3673.459,11707908.51047,0
1720987200000,3189.56,3195.55,3188.72,3194.35,9804.858,1720988999999,31306104.94723,16044,5251.870,16768540.84529,0
1720989000000,3194.35,3205.79,3194.11,3198.41,22298.205,1720990799999,71366736.94376,31160,12527.797,40090445.48486,0
1720990800000,3198.41,3238.00,3193.72,3227.56,79240.471,1720992599999,255295737.87132,86948,47875.503,154235928.95150,0
1720992600000,3227.55,3255.00,3223.61,3253.20,63808.786,1720994399999,206773224.14216,78018,36531.178,118405646.03396,0
1720994400000,3253.19,3264.82,3241.11,3250.73,95148.301,1720996199999,309534242.63225,114724,50811.614,165309625.27055,0
1720996200000,3250.74,3252.60,3238.77,3244.64,23302.315,1720997999999,75609411.70706,44723,11389.156,36953746.24927,0
1720998000000,3244.65,3268.66,3241.61,3259.76,38286.451,1720999799999,124672015.14623,63268,19522.020,63571158.17877,0
1720999800000,3259.75,3263.39,3237.07,3243.56,39874.904,1721001599999,129584297.98343,55347,16352.236,53132677.91208,0
