open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1702512000000,2261.45,2263.57,2254.30,2258.64,47179.158,1702513799999,106550700.10230,45025,21954.371,49576811.10174,0
1702513800000,2258.64,2263.46,2254.34,2259.97,40049.115,1702515599999,90435512.89509,38306,17812.907,40224477.27100,0
1702515600000,2259.96,2261.85,2251.80,2254.48,37345.313,1702517399999,84320080.04414,35372,15348.342,34661261.22187,0
1702517400000,2254.48,2256.69,2248.34,2255.05,34093.495,1702519199999,76787511.22039,38952,15625.473,35194685.03938,0
1702519200000,2255.05,2255.99,2247.55,2249.70,26030.138,1702520999999,58618924.34848,27764,12723.018,28654631.03775,0
1702521000000,2249.70,2253.64,2246.13,2253.22,30461.078,1702522799999,68528169.87151,30342,14205.937,31964217.58248,0
1702522800000,2253.23,2255.68,2248.02,2252.31,24611.614,1702524599999,55441286.13254,26228,12975.895,29230535.22276,0
1702524600000,2252.31,2254.41,2249.55,2252.34,16571.860,1702526399999,37318026.18708,20514,8153.651,18361200.89286,0
1702526400000,2252.35,2255.89,2251.24,2252.24,18755.314,1702528199999,42264935.40740,19291,8596.275,19371648.55755,0
1702528200000,2252.24,2252.95,2246.89,2248.03,25546.525,1702529999999,57466603.78736,25197,10987.559,24715030.63308,0
1702530000000,2248.04,2262.38,2247.56,2260.63,52429.957,1702531799999,118313306.75613,39882,31193.469,70396940.34828,0
1702531800000,2260.64,2263.31,2257,2262.44,35011.315,1702533599999,79108536.27115,29907,18052.102,40791964.62336,0
1702533600000,2262.44,2281.02,2258.73,2275.29,110749.603,1702535399999,251435543.17022,82454,59887.022,135984272.03321,0
1702535400000,2275.30,2283,2271.52,2279.25,60188.656,1702537199999,137015663.44653,53390,27921.340,63576739.37361,0
1702537200000,2279.24,2282.75,2270.37,2276.40,46049.491,1702538999999,104808830.08780,41732,16733.131,38086751.19801,0
1702539000000,2276.40,2284.27,2272,2283.20,53706.111,1702540799999,122317636.75987,46524,26799.319,61034252.88221,0
1702540800000,2283.20,2289.98,2277.49,2284.66,86364.432,1702542599999,197222715.85300,64324,43836.711,100120201.48792,0
1702542600000,2284.65,2284.71,2273,2274.70,80037.217,1702544399999,182332828.13892,57146,32473.294,73964063.38814,0
1702544400000,2274.71,2279.70,2271.79,2276.13,75845.915,1702546199999,172608574.53726,54029,37837.743,86118262.25330,0
1702546200000,2276.13,2289.75,2275.52,2285.88,52080.069,1702547999999,118956195.59523,41194,30321.764,69258435.42292,0
1702548000000,2285.88,2288,2277,2287.41,91348.295,1702549799999,208450120.25397,60514,44706.051,102035238.23407,0
1702549800000,2287.42,2292.05,2281.54,2286.31,79537.582,1702551599999,181822440.88073,55293,39712.681,90803060.14281,0
1702551600000,2286.31,2290.72,2281.50,2286.88,48389.319,1702553399999,110637526.00236,41203,22603.595,51686367.85360,0
1702553400000,2286.88,2309,2284.39,2308.57,151817.546,1702555199999,348799949.00319,110693,81633.901,187546221.83741,0
1702555200000,2308.57,2319,2297.03,2299.37,128256.384,1702556999999,295965577.76156,107339,63653.154,146897217.05495,0
1702557000000,2299.36,2311.19,2299.04,2302.89,49267.949,1702558799999,113522798.96666,51271,25819.016,59492377.41159,0
1702558800000,2302.89,2304.46,2257.65,2265.47,178693.734,1702560599999,407850988.02177,135772,80507.362,183759007.02874,0
1702560600000,2265.47,2283,2212.04,2280.03,414154.279,1702562399999,935595265.79013,324181,208686.613,471818511.03014,0
1702562400000,2280.02,2295.82,2267.80,2289.20,130076.984,1702564199999,296401822.38952,117712,64501.524,147043172.41589,0
1702564200000,2289.20,2298.31,2280.22,2288.73,104903.100,1702565999999,239995981.19772,97575,48627.154,111260699.14694,0
1702566000000,2288.73,2290.83,2270,2274.34,104460.510,1702567799999,238369299.36874,91681,50126.706,114397543.80581,0
1702567800000,2274.35,2280.56,2268.16,2275.95,52764.051,1702569599999,120043541.97068,57867,28213.472,64196045.30974,0
1702569600000,2275.94,2288.15,2275.05,2278.03,53285.250,1702571399999,121513705.97855,58428,26973.537,61515829.58971,0
1702571400000,2278.03,2290.55,2276.42,2283,52318.575,1702573199999,119495673.44915,46886,27977.340,63905527.05085,0
1702573200000,2283.01,2297.86,2282.50,2295.96,63423.950,1702574999999,145379712.21494,66411,32843.251,75280526.90098,0
1702575000000,2295.96,2315,2295.91,2305.33,163869.353,1702576799999,378103778.24350,134266,82106.092,189438943.14445,0
1702576800000,2305.34,2305.44,2290.05,2292.17,71042.309,1702578599999,163128584.16293,62924,34484.716,79169651.17571,0
1702578600000,2292.18,2300.54,2286.29,2287.89,45321.448,1702580399999,103899853.58551,45786,21447.501,49175832.64311,0
1702580400000,2287.89,2290.97,2284,2289.37,27701.417,1702582199999,63371875.23167,30640,14624.168,33458818.63993,0
1702582200000,2289.37,2294.48,2287.32,2293.19,18611.255,1702583999999,42635026.86223,23902,10971.549,25135685.33527,0
1702584000000,2293.19,2293.37,2283.27,2285,31619.621,1702585799999,72322906.22642,33938,15045.008,34412556.59401,0
1702585800000,2285.01,2291.32,2285.01,2290.93,15789.665,1702587599999,36138054.34860,22042,8747.742,20021426.09146,0
1702587600000,2290.92,2300,2289.68,2298.27,26212.506,1702589399999,60174322.96789,29268,14454.480,33182805.84460,0
1702589400000,2298.27,2302.67,2295.37,2299.50,22071.357,1702591199999,50753085.13466,25722,10759.952,24746353.09903,0
1702591200000,2299.50,2308.19,2297.46,2302.01,24383.272,1702592999999,56147914.54845,28584,12913.462,29738158.55373,0
1702593000000,2302.02,2316.47,2302.01,2315.93,33450.581,1702594799999,77306310.74983,38158,19347.917,44712141.85086,0
1702594800000,2315.92,2333.29,2315.72,2325.16,99650.732,1702596599999,231716964.74932,91547,51472.179,119670967.90899,0
1702596600000,2325.17,2325.72,2313.86,2316.54,43514.892,1702598399999,100930541.87705,43891,19037.032,44151736.03575,0
