open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1705190400000,2578.51,2579.13,2565.96,2567.34,40497.036,1705192199999,104168421.58063,62181,16687.903,42921214.49504,0
1705192200000,2567.34,2571.19,2561.05,2564.81,38100.114,1705193999999,97799053.09540,58150,19352.717,49678712.02475,0
1705194000000,2564.81,2575.31,2562.30,2571.33,30646.632,1705195799999,78733929.67414,46499,16358.652,42031009.79603,0
1705195800000,2571.33,2574.87,2565.52,2569.92,23299.866,1705197599999,59884926.43753,38609,11235.306,28879188.49361,0
1705197600000,2569.92,2571.83,2556.13,2557.21,33370.375,1705199399999,85470158.58486,49571,14384.647,36840766.34070,0
1705199400000,2557.21,2565.46,2556.50,2561.44,23318.334,1705201199999,59715297.21601,37926,12031.531,30809540.82443,0
1705201200000,2561.44,2565.40,2553.01,2555.79,49438.399,1705202999999,126513535.65610,54960,22383.410,57283937.61583,0
1705203000000,2555.79,2557.52,2550.54,2551.84,43212.682,1705204799999,110363138.46601,53974,20302.733,51853401.16354,0
1705204800000,2551.84,2557.14,2546.13,2552.20,54673.478,1705206599999,139519434.23609,64923,29015.567,74049626.15499,0
1705206600000,2552.20,2554.90,2543.01,2545.00,39767.191,1705208399999,101295854.49985,56753,18805.497,47904516.02603,0
1705208400000,2545.00,2553.50,2544.02,2553.49,27451.209,1705210199999,69986106.73817,42934,14740.349,37579311.10955,0
1705210200000,2553.50,2556.82,2550.00,2553.52,24659.217,1705211999999,62975270.51533,36275,13297.796,33959154.68681,0
1705212000000,2553.51,2556.80,2552.73,2555.02,18164.914,1705213799999,46404395.42803,30387,10301.746,26316418.61931,0
1705213800000,2555.02,2556.80,2548.81,2553.40,16063.807,1705215599999,41012166.83217,27610,7885.897,20133071.25131,0
1705215600000,2553.41,2555.11,2544.47,2548.57,33550.330,1705217399999,85556020.48479,45004,16651.051,42460997.56677,0
1705217400000,2548.56,2552.67,2544.61,2551.63,22092.912,1705219199999,56317344.49040,36717,12322.551,31413096.61926,0
1705219200000,2551.63,2551.83,2545.59,2549.83,30801.029,1705220999999,78490161.21810,40602,14954.058,38106937.16009,0
1705221000000,2549.82,2554.46,2547.80,2553.88,17196.206,1705222799999,43871668.99482,32381,10141.739,25872734.30684,0
1705222800000,2553.88,2554.34,2545.86,2548.76,18155.246,1705224599999,46286549.81676,28570,8300.376,21162197.73510,0
1705224600000,2548.76,2554.93,2540.00,2554.76,40738.555,1705226399999,103770552.94386,56615,17872.738,45536377.24620,0
1705226400000,2554.77,2555.00,2547.54,2547.54,19990.091,1705228199999,51000991.14233,37085,10279.864,26226425.08036,0
1705228200000,2547.55,2548.98,2540.01,2542.89,26731.124,1705229999999,67997309.65714,44930,12502.949,31806878.52630,0
1705230000000,2542.89,2547.99,2535.29,2547.69,44126.439,1705231799999,112115360.86083,62376,22518.976,57224664.09079,0
1705231800000,2547.69,2548.00,2537.00,2538.22,25608.736,1705233599999,65082742.55228,36399,10508.442,26703474.96417,0
1705233600000,2538.22,2547.56,2533.44,2546.08,36738.410,1705235399999,93343733.43112,52971,21318.128,54173819.68058,0
1705235400000,2546.07,2547.27,2535.05,2537.78,34144.112,1705237199999,86766216.36643,39595,16115.328,40955922.12051,0
1705237200000,2537.78,2539.55,2532.00,2534.24,52690.950,1705238999999,133625142.34344,49159,25341.075,64272215.57487,0
1705239000000,2534.23,2538.54,2524.82,2534.40,60556.775,1705240799999,153343261.15455,57810,29128.641,73772976.73109,0
1705240800000,2534.40,2543.78,2533.01,2535.79,40171.882,1705242599999,101968861.71360,56870,20030.978,50846202.82106,0
1705242600000,2535.79,2543.50,2531.19,2541.80,40943.308,1705244399999,103914821.00092,49687,22338.492,56699974.43195,0
1705244400000,2541.79,2546.32,2535.66,2538.59,25477.092,1705246199999,64752350.04965,40202,12559.121,31919446.25395,0
1705246200000,2538.59,2544.30,2537.09,2538.16,14572.397,1705247999999,37025196.41429,30485,7463.710,18963287.35337,0
1705248000000,2538.17,2544.86,2534.41,2534.86,30713.443,1705249799999,78038543.19614,43071,12849.680,32647310.78702,0
1705249800000,2534.87,2536.91,2521.73,2528.80,66874.043,1705251599999,169016847.53263,93174,31036.638,78448805.73871,0
1705251600000,2528.80,2535.87,2525.18,2533.12,38334.896,1705253399999,97048465.85720,54801,19943.883,50493029.15409,0
1705253400000,2533.13,2539.70,2528.30,2532.01,39997.805,1705255199999,101409945.86291,50602,17724.558,44946274.63997,0
1705255200000,2532.01,2539.02,2522.41,2523.85,31095.402,1705256999999,78695155.03893,45577,15439.566,39076815.07210,0
1705257000000,2523.85,2534.00,2523.04,2532.42,48366.029,1705258799999,122369379.44446,56915,24417.650,61773787.28108,0
