open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1715644800000,2949.72,2954.72,2942.49,2948.92,25761.261,1715646599999,75964278.35503,51253,12926.515,38117500.06912,0
1715646600000,2948.92,2957.66,2935.81,2944.63,37722.032,1715648399999,111169913.07585,67537,17924.022,52828159.67869,0
1715648400000,2944.63,2958.80,2941.16,2957.53,21124.739,1715650199999,62366460.70914,44727,12921.411,38146062.76281,0
1715650200000,2957.52,2959.79,2936.13,2944.61,47878.889,1715651999999,141012801.43098,68417,19724.783,58086478.04663,0
1715652000000,2944.61,2949.21,2936.97,2946.21,23523.106,1715653799999,69240010.12829,50497,11137.310,32781441.84320,0
1715653800000,2946.21,2955.04,2945.13,2947.99,27522.369,1715655599999,81204688.02710,49831,12449.122,36732241.06266,0
1715655600000,2948.00,2956.00,2943.39,2945.70,27161.794,1715657399999,80076784.89624,38917,13142.569,38751080.24786,0
1715657400000,2945.70,2948.47,2935.28,2939.33,34591.921,1715659199999,101756955.30633,49793,13661.278,40188694.93333,0
1715659200000,2939.34,2946.45,2936.14,2941.00,19859.240,1715660999999,58431239.63720,35614,10573.866,31112258.69538,0
1715661000000,2941.01,2941.01,2930.00,2935.61,28150.066,1715662799999,82595970.92993,49370,13260.480,38908168.86432,0
1715662800000,2935.61,2948.43,2934.28,2945.36,28390.228,1715664599999,83497378.00495,40059,15313.143,45041327.73414,0
1715664600000,2945.35,2946.50,2940.78,2941.32,12723.109,1715666399999,37453648.73384,27611,5922.806,17436037.72920,0
1715666400000,2941.33,2941.33,2880.00,2893.58,211002.515,1715668199999,612572795.52184,236652,93089.086,270085954.37889,0
1715668200000,2893.59,2921.30,2892.80,2915.00,80653.347,1715669999999,234730719.07434,112904,42147.332,122639648.79030,0
1715670000000,2915.00,2919.31,2911.82,2915.76,34887.889,1715671799999,101727571.92982,57514,16129.806,47032640.03723,0
1715671800000,2915.80,2919.87,2911.97,2918.75,22441.484,1715673599999,65426012.39053,42830,10851.181,31635143.63059,0
1715673600000,2918.75,2920.24,2911.04,2914.41,25991.106,1715675399999,75770196.77274,42204,13248.685,38628374.06325,0
1715675400000,2914.42,2915.88,2904.36,2913.14,31219.455,1715677199999,90862809.74427,52220,13702.413,39881499.44269,0
1715677200000,2913.13,2917.89,2910.00,2912.02,15448.215,1715678999999,45009651.02549,32843,7449.494,21704279.66980,0
1715679000000,2912.02,2913.49,2905.00,2911.05,14963.289,1715680799999,43541498.16268,33360,6681.062,19441779.13458,0
1715680800000,2911.06,2913.66,2900.05,2905.07,35193.762,1715682599999,102253162.30210,52716,17701.697,51430845.56147,0
1715682600000,2905.06,2909.76,2896.21,2902.97,27740.986,1715684399999,80517522.62911,47979,13948.258,40489836.03258,0
1715684400000,2902.97,2911.00,2901.95,2909.23,19853.237,1715686199999,57724036.02544,42383,10027.979,29156164.23368,0
1715686200000,2909.24,2911.42,2904.57,2906.82,15652.389,1715687999999,45510248.21108,31837,8081.750,23499071.90299,0
1715688000000,2906.82,2919.00,2904.66,2909.68,39246.326,1715689799999,114328502.33281,71450,20189.679,58817556.49772,0
1715689800000,2909.69,2912.00,2882.10,2893.42,146809.572,1715691599999,425432406.64383,189399,70485.735,204260614.44401,0
1715691600000,2893.42,2908.48,2888.04,2907.23,47910.349,1715693399999,138916756.25529,73353,25939.772,75219125.49717,0
