open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1728864000000,2467.79,2468.75,2451.12,2455.89,45635.406,1728865799999,112228831.84200,53142,18644.715,45850963.56106,0
1728865800000,2455.89,2458.73,2448.01,2451.40,28842.582,1728867599999,70753569.15867,47874,11553.196,28345808.91105,0
1728867600000,2451.40,2461.83,2451.00,2460.89,21652.237,1728869399999,53188513.88566,38206,12673.098,31130680.91627,0
1728869400000,2460.89,2463.22,2448.90,2451.32,26883.351,1728871199999,66004651.74459,51797,11130.674,27330840.01225,0
1728871200000,2451.32,2451.33,2442.00,2446.19,35007.071,1728872999999,85639173.43026,55326,15032.714,36775142.86164,0
1728873000000,2446.19,2451.74,2445.53,2451.29,14982.666,1728874799999,36689999.70648,31307,7963.641,19504004.68411,0
1728874800000,2451.28,2483.16,2450.02,2482.60,98104.627,1728876599999,242331151.94804,90725,68242.522,168561721.12438,0
1728876600000,2482.59,2524.89,2476.08,2520.05,306501.437,1728878399999,768508622.81861,266340,166444.428,417326802.39130,0
1728878400000,2520.04,2538.60,2520.02,2531.00,191369.528,1728880199999,484269320.85027,185464,103956.810,263085956.49701,0
1728880200000,2531.00,2547.99,2530.64,2541.48,114723.940,1728881999999,291423863.69270,122550,69076.859,175478654.94978,0
1728882000000,2541.48,2543.57,2524.00,2527.94,84759.081,1728883799999,214581912.63325,99128,38036.764,96286890.61889,0
1728883800000,2527.94,2531.48,2509.28,2530.74,99286.234,1728885599999,250295688.35017,104710,44570.893,112424708.93752,0
1728885600000,2530.75,2536.54,2523.60,2533.85,45336.707,1728887399999,114737238.23713,58554,23374.438,59160683.19551,0
1728887400000,2533.86,2538.00,2526.29,2526.97,54519.266,1728889199999,138042023.97480,67777,22366.061,56642211.93533,0
1728889200000,2526.97,2527.40,2515.84,2516.31,52088.189,1728890999999,131316128.43640,62892,25116.969,63313610.40791,0
1728891000000,2516.31,2540.00,2514.39,2534.74,197608.874,1728892799999,499894029.66998,159279,113025.794,285947935.22932,0
1728892800000,2534.74,2542.97,2522.28,2529.68,87983.230,1728894599999,222601809.86000,89316,44833.402,113424635.12150,0
