open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1707868800000,2640.88,2642.00,2627.01,2634.14,43404.254,1707870599999,114346269.96570,51954,18531.781,48819530.49040,0
1707870600000,2634.13,2636.94,2623.66,2631.63,34469.082,1707872399999,90640207.94232,49999,17060.409,44865676.84223,0
1707872400000,2631.63,2636.75,2624.08,2625.46,27524.158,1707874199999,72382724.49227,40824,12576.862,33081365.05758,0
1707874200000,2625.45,2629.48,2621.58,2623.36,19209.726,1707875999999,50417190.21987,34889,9125.695,23949704.99310,0
1707876000000,2623.37,2627.99,2619.12,2626.56,18830.973,1707877799999,49419979.69459,36485,9966.628,26157423.74513,0
1707877800000,2626.57,2635.62,2626.49,2634.62,16118.482,1707879599999,42418525.35089,32350,9539.757,25104360.60006,0
1707879600000,2634.61,2645.21,2634.08,2638.64,31285.604,1707881399999,82601848.43965,51261,18694.082,49352300.68405,0
1707881400000,2638.64,2641.23,2637.08,2638.08,12842.185,1707883199999,33890909.52891,27816,5674.209,14974862.54064,0
1707883200000,2638.08,2642.03,2627.10,2627.99,27490.441,1707884999999,72441915.33355,39808,12019.261,31678399.81673,0
1707885000000,2628.00,2629.29,2621.12,2627.64,40030.919,1707886799999,105092543.18360,55601,19792.945,51964341.10880,0
1707886800000,2627.64,2636.66,2627.63,2635.49,16802.796,1707888599999,44241997.38842,31345,9082.678,23911524.42447,0
1707888600000,2635.50,2644.75,2635.06,2642.74,32323.295,1707890399999,85352538.60673,45799,17722.150,46799114.64637,0
1707890400000,2642.74,2647.87,2640.54,2646.92,28243.467,1707892199999,74706340.84834,38954,15497.699,40994611.08587,0
1707892200000,2646.92,2651.65,2642.28,2646.28,30878.179,1707893999999,81720028.41997,44426,15617.529,41335202.67124,0
1707894000000,2646.27,2656.13,2646.27,2654.57,39314.178,1707895799999,104252043.43018,59312,22852.924,60602229.67936,0
1707895800000,2654.57,2655.85,2650.22,2653.63,23868.387,1707897599999,63333246.96510,38568,11515.512,30556241.06602,0
1707897600000,2653.62,2666.40,2648.36,2657.31,57032.238,1707899399999,151609118.82217,73773,29394.104,78164025.97802,0
1707899400000,2657.30,2715.00,2657.15,2708.94,202523.183,1707901199999,544954104.41569,193190,116824.169,314234478.33905,0
1707901200000,2708.93,2736.16,2708.37,2730.46,249019.253,1707902999999,677898250.44137,250211,132733.955,361357330.04429,0
1707903000000,2730.46,2749.80,2727.12,2747.55,156323.368,1707904799999,428490694.43657,175113,77301.703,211887433.02492,0
1707904800000,2747.55,2759.00,2740.16,2745.67,132792.051,1707906599999,365133583.73202,147978,67026.534,184328030.19125,0
1707906600000,2745.68,2763.60,2745.17,2754.91,89252.234,1707908399999,246001097.30477,112059,41997.807,115756199.23240,0
1707908400000,2754.92,2755.91,2738.97,2748.92,83888.898,1707910199999,230529281.10211,106877,40376.189,110950592.43659,0
1707910200000,2748.92,2760.16,2746.16,2758.06,59587.393,1707911999999,164088469.83911,73253,31702.282,87308711.86321,0
1707912000000,2758.14,2762.00,2746.13,2751.50,60139.408,1707913799999,165593309.95536,86174,28387.073,78165045.07880,0
1707913800000,2751.51,2759.36,2733.72,2741.46,91286.586,1707915599999,250425615.47280,101793,38559.271,105793476.51457,0
1707915600000,2741.46,2754.92,2740.18,2752.67,59730.735,1707917399999,164055262.04201,74273,33331.304,91545132.11238,0
1707917400000,2752.67,2775.00,2748.01,2766.79,88596.539,1707919199999,244624689.04312,102123,51499.665,142213596.23633,0
1707919200000,2766.77,2771.85,2755.64,2759.75,77510.177,1707920999999,214167080.03552,100524,34835.622,96264716.86575,0
1707921000000,2759.75,2774.17,2754.18,2760.14,98196.350,1707922799999,271252303.09732,129227,48938.458,135208550.96613,0
1707922800000,2760.17,2762.60,2731.00,2755.91,144265.197,1707924599999,396349598.97397,152371,71237.388,195737654.88745,0
1707924600000,2755.92,2759.54,2743.20,2751.37,61349.680,1707926399999,168814815.03818,86500,28619.565,78751073.05161,0
1707926400000,2751.36,2752.15,2730.00,2741.89,75301.717,1707928199999,206418486.98782,107591,34879.541,95612085.43011,0
1707928200000,2741.89,2751.03,2738.28,2740.33,45386.251,1707929999999,124594445.30837,67180,21910.660,60151054.33278,0
1707930000000,2740.34,2750.93,2735.11,2746.73,39604.076,1707931799999,108662113.13279,60757,20117.666,55200270.75848,0
1707931800000,2746.73,2746.82,2738.65,2743.00,24369.248,1707933599999,66817785.35299,41505,11518.956,31585360.93265,0
1707933600000,2743.00,2746.30,2728.09,2738.59,54546.587,1707935399999,149157719.36959,71211,26126.346,71445458.57739,0
1707935400000,2738.58,2753.28,2736.74,2751.77,38766.640,1707937199999,106475831.80901,58737,21054.184,57826376.54598,0
1707937200000,2751.77,2757.38,2742.11,2754.02,39948.381,1707938999999,109847797.69397,61642,19832.405,54541024.62326,0
1707939000000,2754.02,2767.87,2753.28,2762.91,62820.688,1707940799999,173396037.46451,76044,34142.609,94243100.08410,0
1707940800000,2762.90,2767.91,2756.25,2762.07,39707.298,1707942599999,109678027.51233,55684,18468.999,51018501.97646,0
1707942600000,2762.06,2769.00,2757.39,2765.72,27700.317,1707944399999,76547483.28382,45633,14065.119,38868526.89616,0
1707944400000,2765.71,2768.23,2756.55,2760.89,30977.786,1707946199999,85541533.41710,42525,14008.317,38684038.38903,0
1707946200000,2760.89,2788.88,2760.89,2780.11,78506.658,1707947999999,218054435.41016,88304,44794.266,124405109.22618,0
1707948000000,2780.11,2784.94,2769.62,2771.00,37278.741,1707949799999,103457244.62835,55478,18316.324,50839481.43760,0
1707949800000,2771.00,2774.88,2765.23,2773.18,25092.383,1707951599999,69506699.50895,33472,12605.713,34920487.30367,0
1707951600000,2773.18,2781.72,2768.86,2781.10,36045.331,1707953399999,100003502.54207,47320,18990.173,52693930.93152,0
1707953400000,2781.10,2785.33,2775.50,2776.14,35438.125,1707955199999,98518586.05379,47760,17172.928,47742076.37520,0
