open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1713052800000,3005.47,3019.09,2903.00,2965.66,251160.739,1713054599999,744634938.80555,267622,114502.728,339661261.40382,0
1713054600000,2965.66,2997.00,2956.15,2966.12,132107.647,1713056399999,393054403.22550,194628,64755.424,192720882.74787,0
1713056400000,2966.12,2991.94,2933.04,2984.66,111609.714,1713058199999,330589646.30384,175988,57470.734,170269937.24452,0
1713058200000,2984.66,3009.21,2983.76,2991.00,69576.455,1713059999999,208494989.94023,119595,31328.174,93887912.38721,0
1713060000000,2991.00,3005.14,2966.01,2976.61,62141.359,1713061799999,185352159.03605,111866,26348.108,78593059.97006,0
1713061800000,2976.61,2978.27,2951.51,2955.21,65427.921,1713063599999,193820266.83605,115196,27685.698,82022261.72151,0
1713063600000,2955.23,2958.95,2910.03,2932.63,127062.134,1713065399999,372554543.36551,201821,57942.428,169875713.04985,0
1713065400000,2932.63,2975.85,2929.61,2969.27,78020.565,1713067199999,230632747.47495,132684,40795.285,120597766.06368,0
1713067200000,2969.26,3042.55,2963.94,3040.16,104815.833,1713068999999,315054637.69976,156317,58615.208,176220223.54394,0
1713069000000,3040.14,3049.28,3029.00,3041.19,79258.971,1713070799999,240773173.84392,128407,36867.472,112024158.87080,0
1713070800000,3041.19,3067.64,3034.99,3050.32,91416.910,1713072599999,278830067.77999,117361,46395.440,141545806.87982,0
1713072600000,3050.33,3077.60,3045.01,3072.17,69203.343,1713074399999,212212342.91738,103018,32727.342,100361792.31265,0
1713074400000,3072.18,3091.44,3053.56,3087.04,85902.133,1713076199999,263881992.39902,102771,37702.542,115882954.19577,0
1713076200000,3087.05,3097.87,3076.61,3089.88,57015.498,1713077999999,176137388.93611,88487,25984.742,80280195.41323,0
1713078000000,3089.89,3102.84,3070.00,3076.74,59506.004,1713079799999,183608411.04586,83027,26703.368,82420348.43830,0
1713079800000,3076.74,3091.94,3072.76,3083.33,40998.718,1713081599999,126352820.87177,65184,19117.823,58927800.69794,0
1713081600000,3083.33,3098.95,3076.16,3096.91,38093.959,1713083399999,117554221.77774,61290,19947.680,61580786.67553,0
1713083400000,3096.92,3098.11,3056.06,3067.84,62116.777,1713085199999,190912808.76972,79837,28416.276,87309370.04088,0
1713085200000,3067.83,3076.41,3045.05,3055.22,61574.539,1713086999999,188291980.47319,89043,29673.827,90773390.70886,0
1713087000000,3055.26,3061.41,3025.00,3042.31,88174.107,1713088799999,267904893.46639,120793,42378.671,128757469.54979,0
1713088800000,3042.32,3053.96,3030.00,3042.99,51137.780,1713090599999,155584631.95125,73304,25224.300,76762077.80511,0
1713090600000,3043.00,3068.15,3042.75,3054.30,57886.849,1713092399999,176944519.15343,73334,34011.749,103976429.92657,0
1713092400000,3054.30,3060.72,3016.32,3026.00,70919.204,1713094199999,215007551.01959,107727,30781.303,93318330.09455,0
1713094200000,3026.00,3032.36,3006.85,3026.33,52849.698,1713095999999,159661757.18569,89595,26071.535,78789438.83691,0
1713096000000,3026.32,3045.32,3021.79,3027.55,51937.337,1713097799999,157607615.57321,86747,27724.222,84139546.24282,0
1713097800000,3027.54,3066.12,3025.42,3043.74,74096.551,1713099599999,225897794.73916,106292,38090.055,116121378.35479,0
1713099600000,3043.73,3067.64,3034.38,3054.09,61344.947,1713101399999,187277488.03353,103754,32566.842,99434396.28690,0
1713101400000,3054.09,3057.72,3026.83,3032.32,56427.802,1713103199999,171434631.41662,95012,26552.751,80686878.78358,0
1713103200000,3032.28,3034.88,3005.06,3023.21,96296.864,1713104999999,290558769.65685,143311,50668.747,152889043.36137,0
1713105000000,3023.21,3059.01,3011.79,3034.76,117514.381,1713106799999,356814918.15337,156529,60042.530,182363354.42269,0
1713106800000,3034.76,3068.58,3031.57,3062.10,62416.953,1713108599999,190340612.64894,101936,35303.845,107690793.57609,0
1713108600000,3062.10,3074.14,3042.54,3055.19,50751.553,1713110399999,155068920.51072,88480,24140.820,73774662.25346,0
1713110400000,3055.18,3097.83,3051.48,3093.46,94299.236,1713112199999,290055297.52243,124817,51604.246,158738519.38318,0
1713112200000,3093.46,3099.90,3077.28,3080.63,62587.049,1713113999999,193241066.66885,92950,29326.793,90563965.54761,0
1713114000000,3080.62,3093.39,2976.60,3016.29,287665.663,1713115799999,869579068.81811,301411,133039.291,402031617.32789,0
1713115800000,3016.30,3087.92,3014.20,3050.34,185444.379,1713117599999,566826908.13284,237255,91994.620,281232417.90454,0
1713117600000,3050.49,3088.88,3037.79,3070.08,108917.551,1713119399999,334040950.93170,148408,56028.750,171848094.46756,0
1713119400000,3070.09,3091.49,3067.73,3082.28,53655.499,1713121199999,165295722.89860,83955,26035.347,80212287.73329,0
1713121200000,3082.26,3089.32,3059.67,3063.29,48742.811,1713122999999,149676112.79718,68558,19487.966,59867084.79893,0
1713123000000,3063.28,3083.13,3060.51,3072.38,25230.685,1713124799999,77513333.25730,49440,14017.576,43068555.22902,0
1713124800000,3072.38,3088.88,3064.30,3074.73,43929.574,1713126599999,135084454.03925,62498,21806.892,67063238.47397,0
1713126600000,3074.73,3081.77,3056.13,3065.99,33381.590,1713128399999,102435168.35467,53143,16497.931,50621857.14476,0
1713128400000,3065.99,3071.37,3045.81,3060.04,37412.702,1713130199999,114442016.97971,58279,17185.000,52573746.78804,0
1713130200000,3060.05,3070.00,3048.63,3064.39,19503.423,1713131999999,59650967.98881,30411,10392.153,31786115.07968,0
1713132000000,3064.38,3164.67,3064.38,3153.13,233563.382,1713133799999,731655353.45255,252068,124403.903,389571558.84916,0
1713133800000,3153.12,3171.25,3144.43,3155.40,84244.803,1713135599999,265975480.98760,113025,37444.665,118246683.18459,0
1713135600000,3155.40,3173.32,3147.00,3160.07,54838.483,1713137399999,173199283.83955,83234,29288.987,92525625.57770,0
1713137400000,3160.07,3162.50,3147.38,3153.16,38024.682,1713139199999,119942577.16628,63016,19169.241,60467201.22791,0
