open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1731628800000,3061.04,3095.31,3058.31,3084.84,87256.800,1731630599999,268729065.07836,157278,45943.487,141477255.61300,0
1731630600000,3084.84,3094.53,3061.95,3063.25,55283.818,1731632399999,170197874.80271,114251,23561.580,72529076.30689,0
1731632400000,3063.25,3080.99,3035.74,3049.40,86772.179,1731634199999,265120463.65231,187460,41651.139,127293120.30177,0
1731634200000,3049.39,3076.72,3045.00,3066.43,54578.543,1731635999999,167176207.90255,139018,28227.763,86452469.08988,0
1731636000000,3066.43,3073.60,3050.31,3066.71,38573.876,1731637799999,118132485.80482,115762,18872.707,57805043.96280,0
1731637800000,3066.71,3087.35,3065.68,3083.55,36678.024,1731639599999,112920598.51180,92111,19682.886,60602679.29560,0
1731639600000,3083.56,3085.00,3070.20,3078.49,29078.550,1731641399999,89456462.65707,68435,13336.441,41028926.75911,0
1731641400000,3078.50,3092.39,3077.82,3084.85,32373.280,1731643199999,99916309.69762,70501,16275.555,50240634.93947,0
1731643200000,3084.84,3084.84,3048.12,3059.99,58124.551,1731644999999,178144642.66759,101398,24528.135,75155343.13887,0
1731645000000,3060.00,3060.00,3016.11,3027.49,145188.865,1731646799999,439874051.19097,211332,58010.188,175763651.13132,0
1731646800000,3027.48,3052.80,3018.63,3052.20,67960.316,1731648599999,206348560.84474,171590,36168.208,109815952.37451,0
1731648600000,3052.21,3061.67,3048.60,3058.50,43060.939,1731650399999,131605545.90641,94563,17415.466,53227468.19627,0
1731650400000,3058.51,3074.75,3057.91,3062.03,40228.292,1731652199999,123376740.26475,82495,20128.728,61738702.29609,0
1731652200000,3062.04,3070.92,3046.00,3065.88,49223.707,1731653999999,150474507.82492,93473,26629.164,81413062.38235,0
1731654000000,3065.88,3075.62,3062.46,3067.42,42423.932,1731655799999,130185764.01417,79471,17270.769,53004804.72451,0
1731655800000,3067.42,3069.15,3040.46,3041.19,72236.926,1731657599999,220596769.06834,103625,31214.597,95316896.42408,0
1731657600000,3041.19,3046.96,3023.21,3039.85,73350.916,1731659399999,222669686.23026,130782,38979.474,118353300.51890,0
1731659400000,3039.84,3074.81,3039.14,3071.75,73726.286,1731661199999,225862634.27827,120688,39084.319,119702001.48571,0
1731661200000,3071.75,3116.32,3070.51,3105.41,128069.015,1731662999999,396287651.85559,181699,75723.697,234365502.10888,0
1731663000000,3105.40,3107.24,3088.57,3098.08,75922.531,1731664799999,235223184.12830,128728,36204.803,112193427.15936,0
1731664800000,3098.09,3111.80,3090.01,3110.69,50104.366,1731666599999,155394195.05418,87369,30505.904,94657682.64985,0
