open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1723680000000,2659.82,2667.33,2653.19,2659.73,26442.080,1723681799999,70341710.39503,52150,14001.649,37252066.89737,0
1723681800000,2659.72,2672.26,2658.06,2664.85,35158.056,1723683599999,93780687.11893,56931,14797.544,39475529.10094,0
1723683600000,2664.84,2665.97,2646.58,2649.35,57331.760,1723685399999,152275452.28864,73282,28801.412,76508233.64261,0
1723685400000,2649.36,2660.00,2635.45,2643.00,52448.006,1723687199999,138811087.47888,78180,24136.469,63893139.00393,0
1723687200000,2643.01,2663.06,2632.23,2653.72,115254.431,1723688999999,305074961.78477,140523,60949.474,161304140.40204,0
1723689000000,2653.71,2659.75,2646.00,2647.60,33072.163,1723690799999,87779002.69253,58389,14760.832,39175120.99460,0
1723690800000,2647.59,2654.25,2645.76,2651.53,15338.637,1723692599999,40649338.31784,33379,9650.748,25576799.14216,0
1723692600000,2651.53,2654.87,2650.12,2651.49,11006.965,1723694399999,29193499.63919,23576,5042.205,13374098.38750,0
1723694400000,2651.50,2652.28,2643.26,2646.75,18863.449,1723696199999,49930914.35385,34958,8755.146,23172476.77698,0
1723696200000,2646.75,2653.48,2641.32,2651.09,20404.721,1723697999999,54001895.69412,38520,10645.836,28176866.84351,0
1723698000000,2651.08,2653.70,2630.21,2651.98,47212.175,1723699799999,124740805.15193,70136,22112.461,58444845.00601,0
1723699800000,2651.97,2655.56,2632.26,2635.75,36876.320,1723701599999,97505480.99538,57853,16705.798,44185078.35099,0
1723701600000,2635.75,2640.81,2607.01,2621.56,115640.203,1723703399999,303585500.40453,147109,50975.496,133886081.62439,0
1723703400000,2621.45,2626.62,2614.08,2623.00,56659.026,1723705199999,148468865.31948,84604,31423.965,82349914.27374,0
1723705200000,2622.99,2623.99,2595.00,2598.56,93029.299,1723706999999,242684369.75532,109693,35173.248,91829163.89475,0
1723707000000,2598.56,2617.64,2586.50,2613.82,81665.810,1723708799999,212687780.35050,115123,41659.308,108528436.28989,0
1723708800000,2613.83,2615.24,2604.29,2611.90,36710.392,1723710599999,95845580.54647,66498,18411.330,48072183.21572,0
1723710600000,2611.89,2621.36,2608.90,2620.66,43854.684,1723712399999,114696194.60636,58354,27225.952,71214419.45998,0
1723712400000,2620.66,2627.96,2616.08,2624.32,46267.579,1723714199999,121332930.82790,65495,23551.479,61768339.54250,0
1723714200000,2624.31,2629.37,2619.43,2621.97,28231.887,1723715999999,74104783.60661,43623,12169.423,31945469.20862,0
1723716000000,2621.93,2625.00,2617.69,2623.61,24483.318,1723717799999,64179012.12157,40602,10688.058,28018256.78693,0
1723717800000,2623.61,2625.60,2613.01,2616.50,28719.841,1723719599999,75181982.55281,47111,13262.347,34720640.32897,0
1723719600000,2616.50,2643.00,2615.42,2637.55,48467.242,1723721399999,127507173.06120,67363,30433.115,80086485.51881,0
1723721400000,2637.54,2640.56,2630.64,2636.54,41802.887,1723723199999,110211926.22640,67664,20969.161,55286098.52147,0
1723723200000,2636.53,2643.02,2632.00,2638.51,32514.880,1723724999999,85743177.72805,52743,17135.704,45192852.88919,0
