open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1710460800000,3884.99,3924.55,3873.00,3923.64,73359.258,1710462599999,286115616.63157,97110,45416.726,177173076.64293,0
1710462600000,3923.61,3938.16,3901.44,3907.23,68090.579,1710464399999,266866500.69026,103874,31926.930,125143982.16543,0
1710464400000,3907.23,3913.85,3895.97,3897.27,33901.624,1710466199999,132291301.47732,55051,15290.978,59677575.41542,0
1710466200000,3897.31,3909.36,3879.59,3883.44,38027.239,1710467999999,148034081.37316,65997,15829.943,61649016.61100,0
1710468000000,3883.43,3889.65,3827.39,3830.41,88117.003,1710469799999,339887672.45065,131384,38675.282,149149727.78701,0
1710469800000,3830.42,3832.76,3696.00,3749.11,415604.165,1710471599999,1563633572.37260,484830,203949.979,767685980.88190,0
1710471600000,3749.83,3774.04,3623.00,3670.44,396211.874,1710473399999,1467152286.94920,452533,180311.924,668509833.34562,0
1710473400000,3670.45,3751.66,3665.32,3724.84,242890.634,1710475199999,902726441.77927,322456,122370.968,454790778.30930,0
1710475200000,3724.84,3738.41,3680.01,3712.00,154357.186,1710476999999,573207286.43307,237958,75824.649,281629084.00282,0
1710477000000,3712.01,3717.25,3656.38,3674.67,158595.374,1710478799999,583267599.27111,242030,74131.510,272626286.80568,0
1710478800000,3674.67,3732.15,3671.81,3698.08,105606.968,1710480599999,391486419.67744,145111,57021.062,211376181.99802,0
1710480600000,3698.08,3713.98,3663.69,3676.89,85244.937,1710482399999,313987871.64133,127788,40655.030,149739385.50070,0
1710482400000,3676.89,3750.55,3676.24,3741.82,93406.162,1710484199999,346666580.90199,132415,54150.712,201064253.82694,0
1710484200000,3741.81,3755.00,3730.88,3752.51,73400.470,1710485999999,274800164.18617,118223,35733.941,133795237.93932,0
1710486000000,3752.50,3755.20,3732.74,3740.78,48104.748,1710487799999,179995353.53970,72766,21054.854,78789893.77324,0
1710487800000,3740.78,3784.00,3737.87,3756.08,87386.590,1710489599999,328987696.78019,119582,48059.294,180922675.65415,0
1710489600000,3756.09,3765.00,3703.24,3709.17,100828.530,1710491399999,376651614.47205,130397,43494.685,162513393.59105,0
1710491400000,3709.17,3719.68,3660.78,3665.40,167781.084,1710493199999,618583455.60248,227432,80787.335,297851115.19848,0
1710493200000,3665.43,3682.00,3566.00,3650.95,429059.889,1710494999999,1555361347.15620,473639,198426.910,719724073.94813,0
1710495000000,3650.95,3700.21,3621.93,3685.50,175062.266,1710496799999,643086227.48656,243806,92378.452,339423664.82303,0
1710496800000,3685.50,3699.19,3650.00,3689.95,127428.717,1710498599999,468795778.21170,171631,65167.727,239819881.72215,0
1710498600000,3689.95,3698.73,3662.25,3662.49,64703.273,1710500399999,238033116.99446,115855,30761.313,113175497.66811,0
1710500400000,3662.49,3677.00,3624.33,3629.99,124603.671,1710502199999,454395981.62388,194654,64380.899,234805414.62820,0
1710502200000,3629.98,3702.64,3628.92,3692.96,105737.915,1710503999999,388628849.73395,157709,60701.732,223124422.23661,0
1710504000000,3692.97,3711.99,3674.33,3699.86,72537.295,1710505799999,267792994.04652,128174,37500.504,138473787.99842,0
1710505800000,3699.86,3711.87,3684.31,3700.42,54285.939,1710507599999,200686880.69197,102480,26205.984,96889254.92206,0
1710507600000,3700.42,3730.00,3682.01,3691.04,91132.422,1710509399999,337756858.55077,145291,46106.223,170908304.49214,0
1710509400000,3691.04,3746.80,3674.84,3726.53,122748.452,1710511199999,456216195.98331,188955,63651.458,236625553.38612,0
1710511200000,3726.54,3735.00,3692.85,3701.77,84180.546,1710512999999,312249984.07145,144218,40969.403,151997232.66816,0
1710513000000,3701.76,3724.80,3689.23,3724.30,65912.875,1710514799999,244353830.57619,107505,35018.019,129845885.32347,0
1710514800000,3724.30,3729.98,3696.55,3704.59,60345.637,1710516599999,223811519.60288,103163,28173.625,104496632.41483,0
1710516600000,3704.59,3707.40,3687.07,3691.94,36555.490,1710518399999,135148555.72859,72324,15956.831,58999236.28316,0
1710518400000,3691.94,3698.28,3661.83,3690.40,88405.924,1710520199999,325203764.09365,141193,46305.396,170370886.27684,0
1710520200000,3690.41,3720.00,3683.73,3686.92,86702.134,1710521999999,320960181.52085,120518,43865.437,162411014.41490,0
1710522000000,3686.93,3695.00,3666.00,3693.20,50719.412,1710523799999,186598124.23959,86203,24750.689,91072352.71146,0
1710523800000,3693.21,3701.77,3683.77,3698.02,31689.679,1710525599999,117041731.97651,64461,15382.955,56814384.12919,0
1710525600000,3698.02,3716.16,3696.79,3704.34,36208.061,1710527399999,134250539.27858,57676,16979.922,62960896.33403,0
1710527400000,3704.33,3792.29,3703.92,3790.39,156303.706,1710529199999,587080825.99090,182789,86224.821,323857505.89495,0
1710529200000,3790.38,3811.10,3758.87,3774.16,141237.718,1710530999999,534862272.41060,190228,68904.813,261009157.77436,0
1710531000000,3774.16,3776.84,3676.77,3690.00,191155.194,1710532799999,710025345.19809,214680,86881.927,322616324.19863,0
1710532800000,3690.00,3690.00,3625.96,3666.49,157833.980,1710534599999,577443514.14159,204209,75783.426,277286540.24995,0
1710534600000,3666.48,3667.99,3606.00,3632.19,121281.185,1710536399999,440444667.85919,174127,52648.055,191235588.49540,0
1710536400000,3632.19,3657.39,3629.35,3641.12,48210.658,1710538199999,175805671.68478,70082,25836.377,94214004.34402,0
