open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1721001600000,3243.52,3257.91,3231.03,3256.40,55296.670,1721003399999,179294361.99402,70011,31071.493,100779650.93041,0
1721003400000,3256.40,3287.87,3254.58,3276.80,89015.066,1721005199999,291399777.54768,121194,50944.472,166801911.40747,0
1721005200000,3276.80,3299.84,3273.24,3280.86,94938.294,1721006999999,312071280.49497,123156,48510.628,159512032.41828,0
1721007000000,3280.85,3283.64,3269.18,3272.03,41401.596,1721008799999,135582873.34348,65091,20417.382,66862516.13394,0
1721008800000,3272.03,3305.93,3265.93,3301.72,61946.688,1721010599999,203472837.59345,78702,38179.454,125486837.04992,0
1721010600000,3301.72,3338.88,3297.43,3330.10,166700.097,1721012399999,553999994.48760,193826,89587.772,297748413.87609,0
1721012400000,3330.11,3341.95,3315.68,3320.95,65005.724,1721014199999,216207582.76630,86393,33856.497,112615610.31705,0
1721014200000,3320.96,3333.53,3318.36,3328.17,39290.811,1721015999999,130647553.87142,64240,22871.434,76054209.37248,0
1721016000000,3328.16,3335.45,3319.00,3331.37,45330.347,1721017799999,150821624.53263,60214,21051.067,70042974.62781,0
1721017800000,3331.38,3337.55,3326.27,3335.21,35110.496,1721019599999,116977108.47002,52952,15946.256,53137267.57647,0
1721019600000,3335.20,3344.87,3326.90,3329.92,39146.265,1721021399999,130556954.58011,60770,18800.229,62711482.44254,0
1721021400000,3329.92,3340.50,3329.91,3333.52,31498.027,1721023199999,105066591.91128,49290,16778.983,55974688.43228,0
1721023200000,3333.52,3350.00,3329.59,3346.23,47581.802,1721024999999,159007982.09306,64176,26091.558,87205676.68612,0
1721025000000,3346.24,3364.44,3342.41,3347.11,80615.307,1721026799999,270146392.91123,95054,41534.543,139230749.58607,0
1721026800000,3347.11,3357.70,3340.84,3348.15,33895.375,1721028599999,113527823.97955,53499,13795.204,46209673.29847,0
1721028600000,3348.14,3368.64,3348.14,3354.39,49454.284,1721030399999,166117603.08381,80971,26800.312,90029068.38629,0
1721030400000,3354.39,3368.94,3353.87,3363.10,29692.129,1721032199999,99816413.60294,47723,14983.464,50370867.03537,0
1721032200000,3363.10,3371.98,3344.05,3351.12,64370.272,1721033999999,216156128.61161,88556,30907.262,103816959.51799,0
1721034000000,3351.12,3353.17,3337.93,3351.22,57489.783,1721035799999,192278774.91983,81965,29138.017,97459151.71227,0
1721035800000,3351.22,3361.98,3345.95,3346.96,31891.161,1721037599999,106968540.26016,54510,16651.199,55859587.45170,0
1721037600000,3346.97,3350.31,3341.62,3345.73,22348.079,1721039399999,74771076.57134,40490,9963.242,33335886.94336,0
1721039400000,3345.73,3348.61,3330.01,3334.71,32471.304,1721041199999,108366135.07552,48504,12611.466,42087799.49046,0
1721041200000,3334.70,3337.81,3325.69,3333.57,29599.752,1721042999999,98637084.25817,52698,15409.537,51358473.27854,0
1721043000000,3333.56,3344.62,3329.67,3338.85,27235.730,1721044799999,90929307.83385,44694,15183.190,50688277.86311,0
1721044800000,3338.84,3346.72,3332.00,3344.29,29549.547,1721046599999,98711779.69756,47315,15748.626,52613610.01027,0
1721046600000,3344.29,3352.47,3338.91,3342.51,26574.041,1721048399999,88917958.43888,50456,12398.771,41494153.06570,0
1721048400000,3342.51,3355.96,3341.44,3348.96,26735.018,1721050199999,89553707.83618,49568,14192.807,47540230.20802,0
1721050200000,3348.97,3360.00,3335.06,3355.50,54868.541,1721051999999,183882568.85371,90366,26722.161,89566831.23127,0
1721052000000,3355.50,3359.20,3342.25,3349.66,27371.912,1721053799999,91696722.76330,60464,12818.477,42946263.29520,0
1721053800000,3349.67,3374.86,3348.20,3370.18,64081.782,1721055599999,215659278.87506,87844,34948.126,117616598.18242,0
1721055600000,3370.17,3392.96,3360.00,3372.13,106952.397,1721057399999,361023777.90575,147469,54184.079,182932543.66062,0
1721057400000,3372.12,3374.00,3360.00,3365.72,29627.351,1721059199999,99730069.63099,63525,14773.225,49731482.83438,0
1721059200000,3365.71,3382.35,3356.29,3378.35,51191.449,1721060999999,172482904.64140,89341,25211.532,84973903.30166,0
1721061000000,3378.34,3404.02,3373.18,3387.62,97400.596,1721062799999,330286858.41147,143821,51440.382,174495008.94307,0
1721062800000,3387.62,3400.44,3372.57,3386.17,69746.710,1721064599999,236245111.90821,111709,34969.904,118468167.48000,0
1721064600000,3386.17,3392.95,3380.00,3381.01,30765.686,1721066399999,104140606.55442,64043,14606.388,49448217.18821,0
1721066400000,3381.02,3398.89,3373.69,3398.18,38060.640,1721068199999,128858197.79574,63996,19104.468,64696887.50149,0
1721068200000,3398.18,3411.96,3386.00,3394.70,52291.343,1721069999999,177723186.38087,84075,26048.013,88560172.75601,0
1721070000000,3394.69,3434.00,3381.83,3387.02,151049.505,1721071799999,514988743.72972,164022,81740.147,278810629.26760,0
1721071800000,3387.02,3411.39,3377.19,3404.40,105279.980,1721073599999,357702595.17579,146468,49623.339,168570026.92956,0
1721073600000,3404.39,3442.48,3401.79,3435.00,83032.807,1721075399999,284123622.59953,107674,46017.486,157487467.37534,0
1721075400000,3435.00,3443.87,3427.11,3430.89,41003.009,1721077199999,140787983.78214,73530,18629.756,63970316.03655,0
1721077200000,3430.89,3435.00,3417.03,3419.30,35657.637,1721078999999,122192189.85577,58096,14721.314,50443134.40880,0
1721079000000,3419.31,3430.92,3414.99,3418.22,20537.739,1721080799999,70307125.36674,40318,11533.550,39487136.16124,0
1721080800000,3418.22,3464.38,3418.22,3449.80,100167.104,1721082599999,345300245.35825,139959,53416.546,184130308.57888,0
1721082600000,3449.80,3493.94,3446.37,3471.49,123900.600,1721084399999,430607204.85139,160477,70697.609,245695675.32570,0
1721084400000,3471.49,3490.71,3462.87,3484.04,51292.718,1721086199999,178394051.90036,82582,29343.850,102047930.14934,0
1721086200000,3484.04,3491.70,3479.15,3481.62,35149.799,1721087999999,122516297.15935,69161,19480.644,67907896.77294,0
