open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1726358400000,2416.65,2421.96,2415.31,2421.48,12513.468,1726360199999,30268782.34843,19160,7379.041,17849725.81786,0
1726360200000,2421.47,2421.97,2417.47,2418.51,8836.899,1726361999999,21390625.28849,16266,3188.697,7718830.52836,0
1726362000000,2418.51,2429.44,2418.51,2424.91,28910.567,1726363799999,70095828.06416,35264,16250.030,39400940.28164,0
1726363800000,2424.90,2427.84,2421.48,2424.00,10655.950,1726365599999,25831918.90101,21978,4926.443,11944433.19820,0
1726365600000,2424.00,2425.00,2418.44,2420.01,8343.298,1726367399999,20201310.71545,18095,3569.206,8641989.35417,0
1726367400000,2420.01,2427.08,2420.00,2424.34,8617.747,1726369199999,20886148.51340,17094,4761.342,11539919.31394,0
1726369200000,2424.34,2424.92,2421.33,2421.68,6372.216,1726370999999,15443632.37561,12384,2540.985,6158544.92685,0
1726371000000,2421.67,2422.86,2418.72,2419.28,9810.701,1726372799999,23750371.20685,16228,4551.884,11020638.51594,0
1726372800000,2419.28,2421.00,2414.82,2416.04,13203.169,1726374599999,31917590.51586,19889,5954.427,14394010.51397,0
1726374600000,2416.04,2416.40,2412.65,2415.76,12864.727,1726376399999,31067098.58796,16975,6274.232,15153138.74023,0
1726376400000,2415.76,2419.48,2415.76,2419.37,9892.166,1726378199999,23918381.21300,16568,6493.661,15700991.98272,0
1726378200000,2419.37,2420.00,2417.10,2417.50,5590.878,1726379999999,13520336.19932,12407,2574.717,6226602.10381,0
1726380000000,2417.49,2420.66,2417.49,2419.09,7537.037,1726381799999,18232836.36225,15022,4540.126,10983232.79465,0
1726381800000,2419.09,2420.30,2417.19,2420.23,6592.111,1726383599999,15945202.65862,12395,2630.510,6363216.38290,0
1726383600000,2420.22,2423.67,2418.34,2422.26,10927.100,1726385399999,26455041.68665,16998,6125.003,14830115.54591,0
1726385400000,2422.26,2423.33,2418.66,2421.60,8371.076,1726387199999,20262582.66881,13054,3966.886,9601931.05797,0
1726387200000,2421.61,2422.20,2412.07,2413.50,18593.787,1726388999999,44924113.97361,24215,6914.973,16708436.64168,0
1726389000000,2413.51,2416.26,2413.20,2414.16,10175.591,1726390799999,24569936.87735,16913,5026.111,12136805.27542,0
1726390800000,2414.16,2415.00,2409.59,2413.06,14078.703,1726392599999,33959751.86730,21513,6575.289,15862150.49185,0
1726392600000,2413.05,2414.15,2411.00,2411.80,8037.865,1726394399999,19391150.01898,14639,3878.626,9357560.45758,0
1726394400000,2411.80,2413.43,2405.54,2407.05,22478.086,1726396199999,54141876.48955,26294,10571.547,25463801.44687,0
1726396200000,2407.05,2410.80,2402.00,2408.47,22800.464,1726397999999,54889967.54191,26532,11955.455,28787364.36536,0
