open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1707955200000,2776.14,2811.12,2772.63,2809.80,138744.401,1707956999999,387904316.12238,136732,78810.671,220369729.91494,0
1707957000000,2809.79,2829.41,2802.14,2819.74,141577.348,1707958799999,399169461.49278,157545,73905.590,208359500.09507,0
1707958800000,2819.74,2819.81,2790.00,2792.54,88944.125,1707960599999,249350137.63803,120641,40370.595,113158478.94428,0
1707960600000,2792.54,2793.16,2773.50,2779.73,105534.540,1707962399999,293518935.15344,116138,47404.804,131841578.83952,0
1707962400000,2779.72,2797.10,2778.19,2791.54,68861.185,1707964199999,192047557.24632,82356,39175.838,109259322.43177,0
1707964200000,2791.54,2799.52,2787.39,2788.35,33469.788,1707965999999,93510482.27185,50386,16416.265,45871849.38827,0
1707966000000,2788.36,2800.76,2787.58,2796.33,38386.799,1707967799999,107258939.64303,51098,20874.526,58333548.72346,0
1707967800000,2796.33,2805.96,2792.09,2803.24,45805.620,1707969599999,128216888.70283,54990,26360.315,73790319.86124,0
1707969600000,2803.24,2804.20,2792.20,2799.08,35750.941,1707971399999,99993503.59009,46720,16726.688,46779357.72841,0
1707971400000,2799.07,2805.62,2785.30,2797.92,59480.825,1707973199999,166174231.72626,66801,29551.935,82566976.50907,0
1707973200000,2797.93,2798.89,2781.11,2785.61,34329.875,1707974999999,95795245.28656,56129,15057.487,42016000.67490,0
1707975000000,2785.60,2786.00,2758.57,2773.02,92424.813,1707976799999,256266863.50328,97556,40231.598,111530249.41205,0
1707976800000,2773.01,2780.73,2770.47,2775.01,50229.312,1707978599999,139397070.94331,64704,24530.803,68081791.87534,0
1707978600000,2775.01,2784.30,2773.10,2779.42,30281.678,1707980399999,84189980.15389,46109,16213.430,45074810.05577,0
1707980400000,2779.42,2787.62,2777.77,2784.70,25673.040,1707982199999,71484735.75910,40850,16048.546,44686541.11672,0
1707982200000,2784.69,2785.03,2762.17,2773.93,58300.504,1707983999999,161633594.73729,71549,24737.077,68576595.22966,0
1707984000000,2773.92,2785.10,2770.02,2783.32,34522.948,1707985799999,95840135.07747,52792,18161.369,50426486.12635,0
1707985800000,2783.33,2785.13,2776.82,2782.82,21976.547,1707987599999,61127692.14116,38453,10653.944,29635656.26993,0
1707987600000,2782.82,2796.56,2781.31,2786.21,56859.270,1707989399999,158623777.19955,71586,31991.971,89250655.93534,0
1707989400000,2786.21,2793.35,2786.13,2791.81,27043.663,1707991199999,75449398.37021,42766,13470.563,37580025.29329,0
1707991200000,2791.81,2804.00,2788.00,2796.48,50102.163,1707992999999,140165834.02760,68142,27527.971,77011581.00176,0
1707993000000,2796.48,2803.69,2793.43,2801.25,29205.550,1707994799999,81750885.17095,49578,14284.226,39985126.43906,0
1707994800000,2801.25,2803.17,2796.00,2801.80,27296.336,1707996599999,76403280.71621,41118,11823.188,33094515.50426,0
1707996600000,2801.80,2802.54,2785.02,2794.72,59600.645,1707998399999,166414936.48411,77821,28105.921,78468668.38253,0
1707998400000,2794.71,2806.07,2776.19,2796.69,107095.968,1708000199999,298917232.27944,115355,55621.935,155288141.07675,0
1708000200000,2796.69,2799.92,2787.10,2799.55,42901.453,1708001999999,119902963.00281,61419,21960.571,61383826.62048,0
1708002000000,2799.49,2816.13,2794.33,2796.20,124541.854,1708003799999,349413651.29242,133808,63185.710,177295705.77374,0
1708003800000,2796.19,2817.51,2791.28,2812.91,68163.307,1708005599999,191249513.76721,96884,35877.407,100682026.29065,0
1708005600000,2812.91,2837.76,2801.46,2831.86,153786.656,1708007399999,434045059.79128,162362,85002.827,239956586.44465,0
1708007400000,2831.85,2859.98,2829.26,2854.77,214664.310,1708009199999,611168959.70756,221644,114911.838,327162097.74034,0
1708009200000,2854.77,2870.98,2835.54,2846.02,222900.564,1708010999999,636225228.64224,216902,108400.248,309472374.51817,0
1708011000000,2846.01,2848.60,2814.31,2828.35,218366.492,1708012799999,617560600.56108,211684,106052.626,299954154.18605,0
1708012800000,2828.34,2834.96,2803.88,2830.46,148706.204,1708014599999,419165717.06199,161293,69854.255,196944860.38432,0
1708014600000,2830.45,2843.31,2826.65,2830.99,79814.209,1708016399999,226326467.77542,99824,35821.312,101570775.28297,0
1708016400000,2830.98,2836.65,2818.34,2830.46,50085.358,1708018199999,141581370.69745,70806,25608.183,72400963.64625,0
1708018200000,2830.47,2838.76,2815.12,2816.99,51514.514,1708019999999,145602476.78141,71038,25206.864,71249386.36148,0
1708020000000,2816.99,2834.03,2810.00,2827.96,58769.976,1708021799999,165842323.32735,79788,29621.453,83581582.78784,0
1708021800000,2827.97,2833.92,2817.09,2826.49,34028.379,1708023599999,96120672.50246,49481,16663.662,47079392.20081,0
1708023600000,2826.50,2827.89,2813.00,2816.48,27374.429,1708025399999,77136893.33511,49342,12575.636,35433991.99667,0
1708025400000,2816.47,2841.01,2812.05,2836.11,61148.321,1708027199999,173032484.42100,76694,31439.289,88966255.54110,0
1708027200000,2836.11,2836.67,2815.84,2826.81,45787.843,1708028999999,129410668.14407,64478,23324.397,65906482.80135,0
1708029000000,2826.82,2845.20,2826.16,2830.56,49008.023,1708030799999,138984585.76524,68963,23643.891,67053310.89741,0
1708030800000,2830.56,2848.54,2822.10,2827.70,60449.094,1708032599999,171510091.22601,76432,29647.076,84124398.49515,0
1708032600000,2827.71,2830.40,2787.03,2795.59,125373.276,1708034399999,351968118.51732,125558,52647.661,147866655.00260,0
1708034400000,2795.59,2816.61,2792.60,2813.66,61729.940,1708036199999,173119057.84258,81808,33265.606,93282858.05955,0
1708036200000,2813.67,2823.64,2804.73,2815.11,28359.168,1708037999999,79822830.08626,48479,12515.823,35227371.19195,0
1708038000000,2815.10,2826.40,2811.83,2824.16,35024.627,1708039799999,98817416.31957,45768,16930.586,47764210.62140,0
1708039800000,2824.16,2826.50,2821.19,2824.54,20420.970,1708041599999,57675597.60808,29421,8395.273,23711223.54032,0
