open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1705276800000,2474.30,2496.62,2472.04,2494.35,82087.350,1705278599999,203989065.38191,121027,45014.482,111856620.71503,0
1705278600000,2494.34,2503.57,2488.72,2496.58,67655.218,1705280399999,168971484.25952,84839,36339.215,90758521.57037,0
1705280400000,2496.58,2503.44,2488.46,2497.88,53280.782,1705282199999,132934604.64779,66988,25716.802,64166762.09265,0
1705282200000,2497.88,2514.13,2495.50,2507.17,96901.718,1705283999999,243023684.74872,101194,45967.314,115285465.65084,0
1705284000000,2507.17,2508.00,2498.57,2501.99,46012.232,1705285799999,115174304.70556,55542,20085.840,50273643.39722,0
1705285800000,2501.99,2507.40,2495.51,2507.21,33957.458,1705287599999,84968177.14421,42520,17664.965,44204537.12395,0
1705287600000,2507.21,2515.05,2505.02,2514.79,49862.812,1705289399999,125154376.75541,58452,31103.097,78066742.15519,0
1705289400000,2514.79,2514.80,2503.69,2504.74,26625.629,1705291199999,66796415.60553,39366,12027.894,30171777.38100,0
1705291200000,2504.74,2512.52,2504.25,2510.09,22006.785,1705292999999,55203813.62020,32433,11695.615,29335547.02849,0
1705293000000,2510.09,2513.84,2506.33,2511.31,11993.912,1705294799999,30103258.34609,26290,5708.193,14327760.06093,0
1705294800000,2511.30,2520.20,2510.57,2514.14,36348.452,1705296599999,91445034.30295,52613,19740.231,49664285.68444,0
1705296600000,2514.14,2520.50,2510.89,2519.32,22435.694,1705298399999,56411723.64329,37474,10666.939,26829390.58544,0
1705298400000,2519.32,2522.42,2513.63,2518.13,25156.779,1705300199999,63342767.26023,46820,13039.893,32835796.11528,0
1705300200000,2518.13,2518.60,2511.67,2514.00,16726.031,1705301999999,42057197.35430,30461,6978.986,17548702.25231,0
1705302000000,2514.00,2514.56,2508.35,2510.56,14213.551,1705303799999,35690643.14405,31435,5967.357,14983754.26076,0
1705303800000,2510.56,2518.01,2504.22,2514.32,25089.406,1705305599999,62991880.63025,42381,13270.598,33322245.16315,0
1705305600000,2514.32,2517.54,2507.93,2511.31,17731.223,1705307399999,44545185.31277,34943,8131.934,20429499.49947,0
1705307400000,2511.32,2519.43,2511.31,2514.18,17029.400,1705309199999,42841816.32083,38005,8423.316,21190391.89409,0
