open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1728950400000,2628.87,2636.70,2623.22,2636.28,36617.850,1728952199999,96300656.08712,63402,18331.240,48218626.59558,0
1728952200000,2636.27,2636.27,2617.09,2621.89,45245.297,1728953999999,118682620.61452,79036,17422.200,45680032.05954,0
1728954000000,2621.89,2628.70,2620.12,2627.56,27235.312,1728955799999,71490143.86788,52870,13898.972,36490482.45689,0
1728955800000,2627.57,2633.58,2621.00,2628.95,29859.755,1728957599999,78475252.12877,49810,14527.668,38190147.91346,0
1728957600000,2628.95,2633.76,2624.24,2629.94,21133.595,1728959399999,55552033.24739,43807,10724.033,28195027.73362,0
1728959400000,2629.94,2635.11,2625.76,2626.80,33913.820,1728961199999,89162674.83050,44199,16818.753,44223920.14760,0
1728961200000,2626.80,2626.93,2617.09,2621.32,28075.249,1728962999999,73632166.87902,42024,11322.201,29694776.77038,0
1728963000000,2621.32,2621.97,2607.20,2611.81,73527.563,1728964799999,192175449.98432,79850,23196.380,60644712.39284,0
1728964800000,2611.81,2616.00,2605.10,2614.23,57268.838,1728966599999,149464702.83153,66362,25585.302,66791025.18886,0
1728966600000,2614.22,2618.24,2612.51,2613.98,24419.323,1728968399999,63878956.80196,35664,14160.012,37044014.71628,0
1728968400000,2613.99,2614.88,2600.14,2601.79,42174.106,1728970199999,109904154.93232,55372,16849.523,43914821.08562,0
1728970200000,2601.79,2601.80,2590.00,2594.70,80653.101,1728971999999,209263209.68230,81611,29545.825,76645272.31915,0
1728972000000,2594.69,2606.11,2591.80,2605.20,59413.983,1728973799999,154495947.70906,60807,33146.322,86212301.44072,0
1728973800000,2605.20,2610.42,2603.26,2608.58,28658.817,1728975599999,74718138.33852,38308,16212.104,42270885.20713,0
1728975600000,2608.58,2624.00,2608.58,2616.50,46289.858,1728977399999,121100119.60896,60085,27831.512,72809651.37833,0
1728977400000,2616.50,2621.77,2614.47,2615.20,26707.889,1728979199999,69906345.03982,40077,11523.905,30168176.47721,0
1728979200000,2615.20,2620.40,2614.57,2618.03,21889.056,1728980999999,57306701.30555,33419,11217.871,29370095.48124,0
1728981000000,2618.02,2622.23,2614.07,2616.76,27300.478,1728982799999,71455483.22013,40279,11377.937,29789173.93811,0
1728982800000,2616.76,2618.50,2606.62,2612.66,30243.107,1728984599999,78978639.48669,48291,13842.511,36150905.01461,0
1728984600000,2612.66,2617.61,2608.85,2609.40,19060.359,1728986399999,49798188.25164,39553,9439.379,24665142.88760,0
1728986400000,2609.41,2620.80,2604.71,2618.84,41031.478,1728988199999,107237211.70150,51197,22202.374,58041534.21165,0
1728988200000,2618.84,2619.06,2612.00,2612.60,15925.223,1728989999999,41657700.13618,27933,5922.447,15492971.76505,0
1728990000000,2612.60,2613.84,2590.70,2599.42,75879.658,1728991799999,197262217.15801,100707,30038.373,78068046.76258,0
1728991800000,2599.43,2607.00,2580.00,2585.82,130931.171,1728993599999,338974052.88070,134682,55289.520,143188442.67603,0
1728993600000,2585.82,2596.36,2581.26,2593.83,74197.999,1728995399999,192183272.92942,94865,43074.936,111581027.48859,0
1728995400000,2593.83,2609.76,2593.45,2601.68,55013.478,1728997199999,143180391.39645,83621,29839.713,77662639.36043,0
1728997200000,2601.68,2611.26,2597.86,2601.45,47809.841,1728998999999,124581505.42704,67927,28238.162,73595667.62593,0
1728999000000,2601.46,2676.48,2596.17,2670.62,349426.508,1729000799999,921585382.80875,266282,212604.999,560534856.30454,0
1729000800000,2670.63,2688.76,2616.57,2617.99,382454.685,1729002599999,1015055168.97215,366548,173877.005,461434103.35177,0
1729002600000,2617.99,2624.23,2561.15,2567.08,582690.316,1729004399999,1505669301.77077,477562,249383.564,644441118.77545,0
