open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1702598400000,2316.53,2319.32,2311.36,2314.99,42481.094,1702600199999,98336441.35005,40868,21975.839,50873629.51471,0
1702600200000,2314.99,2314.99,2299.75,2300.78,51028.656,1702601999999,117656441.41981,50543,23120.623,53311528.52606,0
1702602000000,2300.79,2305.94,2296.66,2304.91,50692.830,1702603799999,116649832.39650,44284,29936.810,68892144.05019,0
1702603800000,2304.90,2306.08,2296.52,2299.51,30949.279,1702605599999,71212876.47755,30320,12596.474,28986054.05708,0
1702605600000,2299.50,2301,2286.20,2290.71,57553.964,1702607399999,131939681.80666,51281,22789.203,52249260.42040,0
1702607400000,2290.71,2294.26,2287.04,2288.15,26809.164,1702609199999,61431395.13398,27734,13122.830,30073877.45036,0
1702609200000,2288.14,2290.81,2273,2284.81,74213.810,1702610999999,169480453.66854,64255,30534.966,69737064.08647,0
1702611000000,2284.80,2288,2279.52,2281.72,40552.393,1702612799999,92597305.53901,37853,19269.879,44003804.02610,0
1702612800000,2281.73,2284.36,2275.52,2279.72,41374.076,1702614599999,94300860.17377,38146,22930.864,52265313.48686,0
1702614600000,2279.72,2284.40,2275.76,2282.45,25973.167,1702616399999,59219138.06472,27867,14661.024,33427013.87161,0
1702616400000,2282.46,2284.44,2275.60,2277.50,47574.858,1702618199999,108487186.33754,39357,24011.678,54756891.33461,0
1702618200000,2277.50,2277.90,2263.50,2266.52,136180.027,1702619999999,309013961.76846,96362,58231.982,132129237.70295,0
1702620000000,2266.52,2270.50,2261.78,2268.63,47363.649,1702621799999,107358507.55057,43089,26124.186,59220360.05306,0
1702621800000,2268.63,2268.94,2256.75,2260.90,52640.949,1702623599999,119157560.14145,42077,22476.837,50895243.70135,0
1702623600000,2260.89,2268,2260,2266.28,42836.025,1702625399999,96985603.22121,36533,23345.145,52853164.39416,0
1702625400000,2266.29,2272.50,2266,2272.50,62802.904,1702627199999,142465265.65903,41687,37899.856,85975777.42974,0
1702627200000,2272.49,2275.96,2266.18,2268.10,72412.233,1702628999999,164399731.20258,50236,36463.409,82788437.14940,0
1702629000000,2268.18,2280.44,2267.80,2278.19,34547.496,1702630799999,78572182.38972,36209,22300.395,50721887.18015,0
1702630800000,2278.19,2288.17,2275.48,2282.16,66416.101,1702632599999,151664877.97775,60667,35446.947,80943062.88470,0
1702632600000,2282.16,2284.41,2275.33,2279.73,38521.194,1702634399999,87815202.53530,38385,17030.003,38823370.53115,0
1702634400000,2279.73,2281.75,2275.95,2280.59,39397.781,1702636199999,89782980.28307,31654,18629.279,42454365.33082,0
1702636200000,2280.59,2282.77,2272.80,2280.78,40685.301,1702637999999,92720248.37340,35417,21094.177,48075256.57111,0
1702638000000,2280.79,2281.29,2270.56,2273.05,45919.653,1702639799999,104453780.19316,38788,20767.455,47242897.35403,0
1702639800000,2273.06,2278.47,2272.98,2274.31,28200.146,1702641599999,64187837.04431,22823,14636.029,33311911.91127,0
1702641600000,2274.31,2275,2260.33,2266.89,75445.071,1702643399999,171001959.18894,57125,30305.940,68688651.47208,0
1702643400000,2266.89,2268.87,2260.95,2261.38,35039.796,1702645199999,79372971.56391,34070,16753.642,37953151.62315,0
1702645200000,2261.38,2262.46,2246.08,2252,117993.092,1702646999999,266105827.52530,99448,52138.527,117605593.19104,0
1702647000000,2252,2255.38,2243,2250.62,112322.199,1702648799999,252581855.50755,100072,55722.845,125318424.51613,0
