open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1710547200000,3745.01,3774.65,3738.98,3765.84,66033.369,1710548999999,248090664.12496,97405,35448.668,133191058.08999,0
1710549000000,3765.88,3778.56,3755.38,3763.28,50745.246,1710550799999,191192274.39688,89636,22507.749,84813256.58032,0
1710550800000,3763.27,3784.87,3759.25,3761.69,53668.007,1710552599999,202382207.41510,92687,25000.628,94289456.11977,0
1710552600000,3761.69,3766.31,3740.49,3747.16,49526.088,1710554399999,185898560.57916,83750,21513.819,80763022.64503,0
1710554400000,3747.15,3749.56,3733.57,3736.12,27021.008,1710556199999,101096789.27612,53584,13461.911,50370744.25012,0
1710556200000,3736.13,3743.96,3728.50,3735.00,22924.801,1710557999999,85659376.61727,46693,12353.206,46161689.92872,0
1710558000000,3735.00,3753.30,3725.19,3737.37,32161.859,1710559799999,120285594.69217,61759,17162.672,64200763.74995,0
1710559800000,3737.40,3743.33,3732.39,3738.41,12363.469,1710561599999,46208970.97936,32803,6214.589,23228591.22549,0
1710561600000,3738.41,3746.68,3725.33,3741.08,21764.915,1710563399999,81300931.59655,45319,10911.412,40770733.35559,0
1710563400000,3741.07,3745.27,3716.67,3728.24,31859.658,1710565199999,118689263.04350,69999,14897.424,55501638.61900,0
1710565200000,3728.24,3731.66,3692.90,3699.51,46272.646,1710566999999,171533552.08280,90224,20260.785,75090957.18130,0
1710567000000,3699.52,3723.75,3698.68,3716.73,23947.953,1710568799999,88930721.99397,55782,13054.125,48477409.72155,0
1710568800000,3716.74,3731.00,3714.50,3722.22,18754.865,1710570599999,69848963.95793,42942,10108.811,37651169.46394,0
1710570600000,3722.23,3732.48,3709.00,3727.73,25355.301,1710572399999,94381615.71592,52309,12688.472,47239978.63468,0
1710572400000,3727.73,3737.00,3722.00,3726.44,23335.700,1710574199999,87025696.13208,45532,11119.438,41476589.59193,0
1710574200000,3726.44,3744.42,3722.00,3743.39,26510.717,1710575999999,99069053.46481,49157,14266.843,53314072.44962,0
1710576000000,3743.40,3744.54,3728.80,3730.77,21457.481,1710577799999,80122734.30046,44391,8075.711,30154325.99174,0
1710577800000,3730.76,3741.92,3715.91,3722.23,26144.289,1710579599999,97496010.89102,50977,11852.791,44205292.69595,0
1710579600000,3722.23,3730.71,3717.49,3729.49,16827.295,1710581399999,62664012.25892,40364,8728.543,32506601.49943,0
1710581400000,3729.49,3735.19,3715.37,3722.71,18796.126,1710583199999,70007177.64887,45309,9633.275,35884548.28919,0
1710583200000,3722.70,3726.32,3701.10,3715.30,35276.520,1710584999999,131020373.29261,75296,16611.284,61696826.56730,0
1710585000000,3715.29,3719.82,3702.48,3705.51,27247.850,1710586799999,101081627.46045,56968,13534.677,50214512.19318,0
1710586800000,3705.50,3711.88,3669.02,3672.93,78376.186,1710588599999,289087768.04579,123185,32742.727,120771652.50571,0
1710588600000,3672.93,3705.06,3666.00,3695.24,65488.665,1710590399999,241539084.68736,93190,38146.339,140753271.42789,0
1710590400000,3695.24,3715.20,3682.56,3706.27,44108.789,1710592199999,163180314.60342,88071,24147.449,89348936.54703,0
1710592200000,3706.26,3713.82,3667.12,3668.49,57781.239,1710593999999,212936777.46016,106749,26060.113,96037098.08184,0
1710594000000,3668.49,3687.40,3662.00,3677.08,47706.046,1710595799999,175352524.12403,100823,25399.144,93357724.79079,0
1710595800000,3677.11,3687.72,3646.77,3649.68,69781.473,1710597599999,255669945.55232,126414,31601.316,115819902.40816,0
1710597600000,3649.68,3669.80,3640.39,3655.63,64865.996,1710599399999,237098163.59043,122325,35219.865,128742548.21052,0
1710599400000,3655.63,3668.88,3646.41,3667.54,33179.779,1710601199999,121318951.80237,83582,17209.882,62936945.87916,0
1710601200000,3667.55,3669.83,3650.01,3664.00,29066.137,1710602999999,106332752.52479,68332,16212.378,59311140.70295,0
1710603000000,3663.99,3685.27,3660.00,3681.49,36667.575,1710604799999,134773991.16688,70606,19247.596,70741772.98987,0
1710604800000,3681.49,3683.53,3662.44,3674.89,32032.344,1710606599999,117737076.38299,63916,16968.189,62379441.03019,0
1710606600000,3674.88,3679.95,3660.00,3667.58,19465.267,1710608399999,71406595.06426,54096,9316.000,34175307.98066,0
1710608400000,3667.59,3671.97,3650.19,3650.40,38353.500,1710610199999,140352653.88246,65644,17382.599,63613694.40701,0
1710610200000,3650.39,3675.36,3630.00,3635.67,89479.101,1710611999999,326478938.75646,142164,43829.950,159952106.37833,0
1710612000000,3635.68,3641.57,3585.54,3603.87,198635.174,1710613799999,717496347.04042,256987,92395.264,333735584.94391,0
1710613800000,3603.87,3615.96,3571.21,3598.36,139095.003,1710615599999,499820822.97366,204850,69146.056,248517561.99758,0
1710615600000,3598.35,3636.00,3597.35,3630.76,82691.016,1710617399999,299537982.69119,137576,42502.114,153953053.77210,0
1710617400000,3630.76,3641.39,3592.38,3603.01,64799.999,1710619199999,234327467.13107,106138,30252.972,109433762.90039,0
1710619200000,3603.02,3618.73,3580.55,3610.39,66899.551,1710620999999,240765139.44430,125739,34310.492,123491839.16546,0
