open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1726444800000,2314.85,2321.36,2301.40,2306.02,71543.481,1726446599999,165287897.97080,84364,35664.204,82415221.18027,0
1726446600000,2306.01,2310.32,2290.94,2298.92,74309.076,1726448399999,170975473.21714,95602,33878.779,77968900.38826,0
1726448400000,2298.92,2303.05,2273.69,2291.86,103047.513,1726450199999,235664126.13972,120092,49513.646,113277550.92134,0
1726450200000,2291.87,2294.61,2258.53,2276.37,151780.916,1726451999999,345161278.37673,152329,71635.130,162959495.26083,0
1726452000000,2276.39,2281.94,2266.83,2276.61,71795.948,1726453799999,163237198.26323,89940,34997.980,79587753.02914,0
1726453800000,2276.61,2280.80,2251.06,2260.22,94510.829,1726455599999,213911657.98038,99442,41701.585,94457779.92528,0
1726455600000,2260.27,2275.62,2258.38,2271.50,65603.003,1726457399999,148837858.82324,78084,39189.951,88915253.43343,0
1726457400000,2271.50,2277.87,2271.13,2277.11,72476.105,1726459199999,164836911.63002,55703,39670.161,90213732.48935,0
1726459200000,2277.11,2281.29,2275.10,2278.69,36510.685,1726460999999,83159150.53729,48068,18814.210,42857593.94365,0
1726461000000,2278.69,2281.93,2277.00,2280.42,26739.502,1726462799999,60954223.56644,44502,15340.521,34971942.57622,0
1726462800000,2280.41,2295.19,2279.66,2284.79,78337.483,1726464599999,179222092.08528,66466,44633.205,102117080.10277,0
1726464600000,2284.78,2291.88,2282.23,2291.87,29702.616,1726466399999,67923718.74237,37823,15610.599,35702110.14556,0
1726466400000,2291.87,2300.66,2288.41,2294.14,41665.249,1726468199999,95620622.46781,54070,23233.317,53326773.87134,0
1726468200000,2294.14,2294.23,2288.53,2290.39,22074.062,1726469999999,50571087.80958,35525,7824.476,17926298.31181,0
1726470000000,2290.39,2297.41,2288.62,2296.63,18836.388,1726471799999,43197462.72975,33687,10295.719,23613847.92651,0
1726471800000,2296.63,2311.95,2295.19,2309.23,57910.276,1726473599999,133457353.35019,66160,32932.657,75900402.58656,0
1726473600000,2309.24,2334.90,2306.41,2330.16,114883.541,1726475399999,266689350.87292,106959,57905.088,134401518.45128,0
1726475400000,2330.15,2331.64,2313.99,2314.73,54259.644,1726477199999,125977923.30022,73864,22205.327,51551566.34080,0
1726477200000,2314.73,2318.71,2303.00,2304.00,49688.316,1726478999999,114781474.65669,60426,24184.298,55874394.38379,0
1726479000000,2304.00,2306.35,2286.31,2290.67,80998.814,1726480799999,185949388.05593,93132,34355.249,78872567.10523,0
1726480800000,2290.67,2298.00,2288.03,2297.82,42689.094,1726482599999,97881042.05725,57624,23779.956,54539019.44273,0
1726482600000,2297.82,2304.62,2293.28,2302.42,37418.760,1726484399999,86063387.53292,48246,18677.904,42964674.11416,0
1726484400000,2302.43,2304.31,2298.06,2303.27,26368.329,1726486199999,60686188.67867,43329,12805.048,29472123.00813,0
1726486200000,2303.28,2308.50,2301.66,2306.66,22223.191,1726487999999,51252305.11044,34175,10096.945,23286431.40850,0
1726488000000,2306.67,2311.50,2298.50,2302.89,69577.321,1726489799999,160382907.45394,58318,32676.167,75328962.62582,0
1726489800000,2302.90,2306.48,2291.95,2300.66,63802.680,1726491599999,146707109.46523,70593,25884.996,59520797.74583,0
1726491600000,2300.65,2305.84,2294.49,2302.11,30113.206,1726493399999,69285099.93018,51547,13146.196,30251118.82255,0
1726493400000,2302.11,2305.19,2279.18,2301.78,121484.764,1726495199999,278467977.98388,143490,55684.720,127703859.04642,0
1726495200000,2301.78,2305.00,2276.40,2285.28,105930.774,1726496999999,242322548.03608,114918,47908.905,109609430.44299,0
1726497000000,2285.27,2285.87,2268.00,2277.15,116416.830,1726498799999,264972899.04975,129130,57502.664,130887459.37176,0
1726498800000,2277.16,2293.95,2275.74,2292.41,73026.254,1726500599999,166908359.31521,83799,43010.857,98303762.32663,0
1726500600000,2292.41,2296.00,2286.25,2286.71,45256.351,1726502399999,103664651.50955,56676,20819.161,47696201.11954,0
1726502400000,2286.71,2295.27,2284.42,2292.60,38459.086,1726504199999,88050255.89841,59453,21257.189,48669467.62520,0
1726504200000,2292.60,2294.14,2283.00,2286.41,38808.373,1726505999999,88798054.27394,53557,20402.200,46676535.31307,0
1726506000000,2286.41,2286.99,2270.25,2279.24,88510.205,1726507799999,201640174.94080,92217,44695.414,101808215.78488,0
1726507800000,2279.24,2310.37,2268.08,2305.01,146854.536,1726509599999,336507402.50022,135142,83207.079,190696198.86293,0
1726509600000,2305.00,2305.54,2280.24,2287.57,97407.135,1726511399999,223434972.25046,92211,46178.058,105947668.96280,0
1726511400000,2287.57,2292.37,2283.25,2288.70,23167.052,1726513199999,52992494.86259,42849,10143.581,23205351.34511,0
1726513200000,2288.70,2290.96,2280.72,2288.31,24838.938,1726514999999,56783869.07557,42609,10738.139,24552173.66957,0
1726515000000,2288.31,2291.08,2270.63,2274.00,36470.999,1726516799999,83191863.22752,52172,15775.645,35987576.63565,0
1726516800000,2274.00,2287.40,2271.01,2272.54,61407.860,1726518599999,139984675.93600,62126,31417.045,71618944.83009,0
1726518600000,2272.55,2275.66,2266.14,2273.77,59853.074,1726520399999,135972768.27876,58923,28319.455,64339585.35806,0
1726520400000,2273.78,2285.68,2269.57,2281.78,35533.429,1726522199999,80978952.55425,50765,20704.542,47187694.28777,0
1726522200000,2281.78,2290.35,2280.20,2290.34,19108.997,1726523999999,43650306.58135,29064,8884.569,20299778.82101,0
1726524000000,2290.34,2290.79,2281.56,2283.44,19317.974,1726525799999,44140428.22121,30314,8895.094,20322311.47750,0
1726525800000,2283.44,2285.22,2280.79,2283.34,10752.693,1726527599999,24548433.02820,20983,5760.211,13150886.92887,0
1726527600000,2283.34,2295.00,2283.33,2293.56,27150.118,1726529399999,62180826.76885,32444,17434.276,39931177.74477,0
1726529400000,2293.57,2300.98,2293.55,2294.61,23437.955,1726531199999,53826320.50725,35856,12083.470,27751260.32009,0
