open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1721088000000,3481.62,3497.74,3468.90,3471.79,77029.783,1721089799999,268304613.90472,116639,39299.235,136898909.20666,0
1721089800000,3471.80,3478.00,3460.61,3468.50,49845.546,1721091599999,172854821.51669,72877,24636.928,85437612.78108,0
1721091600000,3468.50,3480.87,3460.50,3466.99,34884.374,1721093399999,121054978.31737,65001,17510.795,60775443.72574,0
1721093400000,3466.99,3484.82,3464.40,3477.13,31015.883,1721095199999,107784453.02045,60899,18932.776,65795686.43812,0
1721095200000,3477.12,3478.60,3456.45,3459.19,34720.993,1721096999999,120359030.18718,62308,14695.198,50964571.21752,0
1721097000000,3459.18,3465.28,3452.22,3463.79,29804.149,1721098799999,103095538.04126,55299,14842.631,51353177.18383,0
1721098800000,3463.79,3465.29,3457.67,3462.36,18687.925,1721100599999,64711194.26245,36118,9978.581,34554202.23100,0
1721100600000,3462.37,3471.23,3456.66,3467.53,20164.342,1721102399999,69855966.13785,37001,9896.452,34287236.52814,0
1721102400000,3467.53,3476.80,3460.35,3461.12,27903.124,1721104199999,96780118.26861,45723,13291.036,46106207.64083,0
1721104200000,3461.12,3464.23,3452.28,3458.30,25036.134,1721105999999,86547916.31384,45552,10880.581,37614488.57878,0
1721106000000,3458.30,3464.91,3432.56,3434.16,77578.094,1721107799999,267389161.38295,95751,34931.853,120399328.96367,0
1721107800000,3433.91,3446.83,3402.22,3414.50,147625.558,1721109599999,504828529.64230,179001,64770.906,221489243.08338,0
1721109600000,3414.50,3433.00,3412.14,3433.00,57179.717,1721111399999,195794581.75062,72645,32506.018,111302898.82306,0
1721111400000,3433.00,3433.58,3383.31,3398.28,132802.078,1721113199999,451859682.11300,158909,60847.327,207042187.41295,0
1721113200000,3398.29,3414.24,3388.57,3394.48,83895.286,1721114999999,285431890.63851,113983,40124.608,136520399.70536,0
1721115000000,3394.48,3402.65,3371.00,3375.67,100146.418,1721116799999,338618879.50577,131072,47014.517,159008309.30332,0
1721116800000,3375.67,3389.52,3353.61,3353.77,93914.367,1721118599999,316355749.66659,127511,42444.552,143036517.73707,0
1721118600000,3353.77,3373.90,3345.00,3373.49,79468.441,1721120399999,266915300.61595,118954,39861.011,133919713.77479,0
1721120400000,3373.50,3394.35,3364.79,3385.32,70845.064,1721122199999,239586881.00856,96072,36476.280,123344285.81897,0
1721122200000,3385.32,3398.61,3384.24,3393.27,47376.855,1721123999999,160721733.92366,68030,23474.368,79639930.08292,0
1721124000000,3393.27,3399.33,3386.84,3398.39,28706.202,1721125799999,97440727.77419,49040,14830.278,50344130.37370,0
1721125800000,3398.39,3423.60,3397.36,3407.35,87706.528,1721127599999,299195664.37195,98323,50195.070,171215593.47688,0
1721127600000,3407.36,3420.00,3395.06,3411.05,62804.855,1721129399999,214051527.53957,87955,29796.623,101582855.57595,0
1721129400000,3411.04,3422.85,3403.00,3417.78,33128.533,1721131199999,113132804.75679,49684,15810.751,54003635.85596,0
1721131200000,3417.78,3428.95,3405.00,3428.18,60405.737,1721132999999,206315854.13469,78097,28269.873,96579361.32744,0
1721133000000,3428.18,3430.97,3394.49,3401.99,73396.507,1721134799999,250376533.24956,105010,32502.750,110879161.16037,0
1721134800000,3401.98,3410.04,3390.83,3407.18,55204.143,1721136599999,187812850.25620,81721,25568.873,87004066.52433,0
1721136600000,3407.18,3420.93,3393.23,3395.12,59780.014,1721138399999,203694968.26323,91244,29036.656,98958264.52602,0
1721138400000,3395.12,3405.00,3374.41,3399.71,115496.671,1721140199999,391462489.47857,167888,61565.999,208680346.96011,0
1721140200000,3399.70,3414.79,3392.40,3411.90,43990.238,1721141999999,149699943.02126,75669,22450.301,76398715.54496,0
1721142000000,3411.90,3453.84,3411.19,3445.81,127253.732,1721143799999,436963104.22101,163781,66763.428,229270697.20088,0
1721143800000,3445.80,3484.23,3441.16,3474.54,129408.004,1721145599999,448364624.66173,168050,69910.265,242287591.73285,0
1721145600000,3474.53,3493.00,3451.00,3455.83,150392.600,1721147399999,521881743.39872,185069,70070.949,243228287.75666,0
1721147400000,3455.83,3469.98,3440.00,3464.48,83013.762,1721149199999,286684406.90134,118036,41019.956,141686261.45290,0
1721149200000,3464.49,3464.77,3446.65,3454.95,33958.254,1721150999999,117352276.05758,62105,15282.596,52814158.79689,0
1721151000000,3454.95,3468.80,3448.41,3457.11,37156.924,1721152799999,128573940.67807,60068,18636.560,64490456.26552,0
1721152800000,3457.12,3468.80,3450.09,3456.67,31766.343,1721154599999,109890329.60459,53307,17832.654,61696034.89374,0
1721154600000,3456.67,3466.57,3447.27,3460.99,26804.646,1721156399999,92630744.33506,45626,13251.651,45799737.93828,0
1721156400000,3461.00,3474.97,3456.11,3474.74,29389.019,1721158199999,101801913.23746,45924,18527.885,64193399.77138,0
