open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1718496000000,3567.88,3568.59,3559.81,3562.12,16641.230,1718497799999,59310939.05813,28462,5736.415,20445014.01207,0
1718497800000,3562.12,3564.57,3556.00,3558.08,15708.255,1718499599999,55920736.91191,22611,9523.553,33904852.16210,0
1718499600000,3558.08,3565.40,3553.20,3561.80,18451.156,1718501399999,65669294.20986,29256,10082.328,35887609.58250,0
1718501400000,3561.80,3567.53,3558.13,3567.53,9038.484,1718503199999,32206434.30917,20131,4654.589,16586459.19917,0
1718503200000,3567.52,3572.95,3562.59,3572.28,14119.601,1718504999999,50379428.31037,23607,6770.704,24159578.08995,0
1718505000000,3572.27,3572.28,3560.00,3560.58,15266.546,1718506799999,54423737.83817,22007,4588.858,16361461.28553,0
1718506800000,3560.59,3563.23,3555.36,3555.68,12850.332,1718508599999,45730447.31487,20488,6251.440,22249127.75337,0
1718508600000,3555.66,3556.57,3546.89,3554.00,23499.322,1718510399999,83471447.04343,33536,11255.293,39982475.62918,0
1718510400000,3554.00,3554.98,3540.00,3546.85,27558.446,1718512199999,97707264.29416,38770,11843.690,41996759.60825,0
1718512200000,3546.84,3558.06,3544.71,3553.33,18172.094,1718513999999,64573606.44569,27533,10713.035,38066770.50789,0
1718514000000,3553.32,3564.00,3551.99,3563.90,15553.400,1718515799999,55366038.99422,26082,10040.353,35739124.08918,0
1718515800000,3563.89,3568.88,3561.88,3567.43,15102.464,1718517599999,53845140.69620,26560,7786.225,27763420.67680,0
1718517600000,3567.43,3568.18,3562.29,3563.15,8865.575,1718519399999,31608543.51998,17594,4211.158,15013312.84200,0
1718519400000,3563.16,3573.68,3562.21,3569.11,22537.791,1718521199999,80443491.45066,29660,10975.908,39175360.94167,0
1718521200000,3569.11,3572.64,3565.16,3565.69,12093.221,1718522999999,43153850.14091,23699,5993.064,21386031.33068,0
1718523000000,3565.69,3566.59,3560.04,3561.37,13156.319,1718524799999,46880068.22361,22638,6253.116,22283041.04585,0
1718524800000,3561.37,3562.50,3556.55,3557.00,16503.567,1718526599999,58736447.49863,23141,8025.597,28563880.60034,0
1718526600000,3557.00,3558.19,3545.73,3552.63,28658.041,1718528399999,101769563.96889,37864,10110.084,35905586.91736,0
1718528400000,3552.63,3558.52,3546.20,3555.40,24932.844,1718530199999,88573248.29712,35781,14024.239,49827939.49301,0
1718530200000,3555.39,3557.39,3548.01,3552.40,16683.644,1718531999999,59250112.29885,25935,7387.476,26235857.31004,0
1718532000000,3552.41,3554.60,3547.81,3553.20,16514.925,1718533799999,58639609.53493,23924,9315.034,33077629.39468,0
1718533800000,3553.21,3568.70,3552.82,3568.11,32973.572,1718535599999,117484782.39001,48718,20231.069,72080081.82131,0
1718535600000,3568.11,3569.39,3558.05,3558.16,19174.640,1718537399999,68318654.63124,30006,8509.470,30320561.71599,0
1718537400000,3558.17,3563.84,3552.51,3553.86,18295.487,1718539199999,65073392.26694,28195,7911.395,28142571.47374,0
1718539200000,3553.86,3558.37,3551.63,3558.31,14227.065,1718540999999,50584565.21725,24015,8261.541,29374924.39739,0
1718541000000,3558.32,3564.58,3554.70,3562.69,17231.883,1718542799999,61346242.05923,28035,9098.928,32396138.82844,0
1718542800000,3562.68,3593.22,3561.83,3585.01,64725.432,1718544599999,231512353.03119,73290,40344.925,144324423.91864,0
1718544600000,3585.01,3593.35,3576.10,3592.25,67650.250,1718546399999,242504987.22440,81431,33578.672,120387161.11863,0
1718546400000,3592.25,3611.10,3582.54,3587.22,136302.087,1718548199999,490521831.11009,136690,67138.059,241663617.96418,0
1718548200000,3587.21,3588.84,3576.05,3578.26,46495.416,1718549999999,166573771.05036,59497,20288.074,72695441.63235,0
