open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1723766400000,2568.73,2577.50,2564.69,2567.73,34627.504,1723768199999,89030484.81157,56563,16729.692,43014783.37189,0
1723768200000,2567.74,2578.71,2565.91,2571.83,25212.952,1723769999999,64886185.87944,42441,11429.757,29415313.99823,0
1723770000000,2571.84,2578.00,2551.00,2558.00,51952.268,1723771799999,133054395.30133,68226,20542.888,52619031.19898,0
1723771800000,2558.00,2572.34,2557.22,2571.52,27346.342,1723773599999,70160854.33446,46604,16592.454,42576584.47374,0
1723773600000,2571.52,2580.79,2559.76,2577.00,32666.621,1723775399999,83916136.61395,50121,17897.216,45998557.53485,0
1723775400000,2577.01,2609.04,2576.29,2592.99,119571.259,1723777199999,310394226.01339,138872,57624.252,149561139.06276,0
1723777200000,2592.99,2592.99,2575.57,2582.14,45451.916,1723778999999,117440096.17918,62774,20291.873,52418941.09278,0
1723779000000,2582.14,2582.18,2575.00,2578.62,19285.754,1723780799999,49719846.21715,38381,10234.436,26384707.02170,0
1723780800000,2578.62,2587.57,2576.48,2586.74,21933.791,1723782599999,56648052.21634,39478,12507.071,32302325.86865,0
1723782600000,2586.74,2596.33,2582.91,2595.62,23490.196,1723784399999,60838973.95737,39458,12851.291,33285759.65023,0
1723784400000,2595.61,2601.73,2590.51,2598.40,37942.042,1723786199999,98506030.85009,52066,18796.275,48803087.29280,0
1723786200000,2598.40,2603.00,2595.14,2595.26,25985.861,1723787999999,67546032.05507,40153,12853.805,33413426.60333,0
1723788000000,2595.26,2613.29,2592.22,2608.50,57310.731,1723789799999,149291880.94500,66375,33715.794,87839275.52203,0
1723789800000,2608.50,2627.12,2608.50,2625.10,61722.656,1723791599999,161643000.46074,80993,30612.229,80166004.03122,0
1723791600000,2625.10,2627.65,2611.96,2613.14,42532.323,1723793399999,111398725.73283,60607,17570.423,46018865.32354,0
1723793400000,2613.15,2617.14,2611.85,2616.00,22370.703,1723795199999,58486578.64951,35856,10889.835,28471052.06161,0
1723795200000,2616.01,2625.37,2612.00,2613.39,38327.506,1723796999999,100378444.23537,48823,21787.814,57077361.70636,0
1723797000000,2613.39,2622.38,2609.66,2617.00,31380.722,1723798799999,82097699.78914,47207,14762.624,38626717.26366,0
1723798800000,2617.00,2623.97,2611.00,2616.16,28767.402,1723800599999,75296558.66415,47562,15227.084,39856329.65051,0
1723800600000,2616.15,2625.49,2612.98,2625.00,25820.106,1723802399999,67666062.29445,44297,15041.751,39421972.94831,0
1723802400000,2624.99,2625.25,2610.26,2614.99,26761.523,1723804199999,69995065.43550,46038,12033.705,31471553.06655,0
1723804200000,2614.99,2619.58,2613.36,2616.64,17858.621,1723805999999,46724657.18909,28799,9648.229,25245101.65939,0
1723806000000,2616.65,2624.00,2608.32,2618.14,47310.141,1723807799999,123775864.67487,55069,21399.056,55989835.16540,0
1723807800000,2618.14,2619.06,2604.82,2611.17,42017.108,1723809599999,109720070.61581,54865,18422.281,48107173.77263,0
1723809600000,2611.17,2616.07,2586.50,2590.62,91261.723,1723811399999,237141049.65365,104208,41001.198,106541733.76568,0
1723811400000,2590.62,2590.78,2559.50,2574.11,145928.193,1723813199999,375523762.30038,184607,72118.720,185597502.24979,0
1723813200000,2574.11,2615.20,2568.04,2607.30,162789.701,1723814999999,422757604.76309,179845,85371.283,221599537.12962,0
1723815000000,2607.30,2619.00,2565.12,2592.80,168212.695,1723816799999,436391907.69931,201761,79937.438,207502436.60593,0
1723816800000,2592.42,2599.38,2569.77,2583.07,87269.890,1723818599999,225498664.37018,143885,43603.938,112699283.23668,0
1723818600000,2583.06,2598.64,2572.53,2580.65,66601.747,1723820399999,172149275.23280,106719,32174.733,83193610.57208,0
1723820400000,2580.65,2592.50,2558.13,2564.45,93542.289,1723822199999,240842556.93698,109127,40610.482,104630638.04936,0
1723822200000,2564.47,2575.00,2549.15,2567.50,112507.747,1723823999999,288477779.06631,122181,58319.068,149576671.06775,0
1723824000000,2567.50,2606.25,2562.54,2602.56,79158.006,1723825799999,204441943.75989,105466,48807.671,126081082.41271,0
1723825800000,2602.56,2609.96,2585.29,2593.14,96625.636,1723827599999,250957252.05030,115746,48034.196,124765812.65156,0
1723827600000,2593.14,2594.37,2566.85,2581.12,59122.320,1723829399999,152460354.83463,90025,28636.480,73851690.57186,0
1723829400000,2581.12,2614.79,2581.11,2609.97,88589.634,1723831199999,229906595.59327,116546,48131.074,124933430.71209,0
1723831200000,2610.03,2630.73,2602.73,2616.53,133458.031,1723832999999,349161315.00340,148422,74408.524,194734615.12119,0
1723833000000,2616.54,2625.67,2610.00,2613.14,55992.811,1723834799999,146489395.95377,69950,29788.953,77942605.04261,0
1723834800000,2613.14,2626.79,2611.00,2623.37,38507.845,1723836599999,100797599.44757,66482,19698.772,51568915.83659,0
1723836600000,2623.38,2628.44,2616.93,2619.10,54951.644,1723838399999,144113826.44026,62407,27846.111,73045201.30368,0
1723838400000,2619.12,2624.90,2615.16,2624.49,35474.272,1723840199999,92946503.97232,49507,18208.512,47708440.77763,0
1723840200000,2624.50,2625.14,2607.08,2607.08,42548.149,1723841999999,111301513.96222,52774,19197.204,50196946.66689,0
1723842000000,2607.07,2611.48,2589.20,2597.21,57240.125,1723843799999,148863662.63632,58954,18353.990,47729994.97031,0
1723843800000,2597.21,2604.83,2593.52,2600.02,15992.196,1723845599999,41572873.38975,28080,9455.241,24580931.58546,0
1723845600000,2600.02,2604.81,2595.97,2602.00,14975.512,1723847399999,38944827.25711,30927,8977.379,23349169.27395,0
1723847400000,2602.00,2603.41,2592.56,2594.59,14814.524,1723849199999,38485227.97523,26252,7021.896,18242794.05566,0
1723849200000,2594.60,2596.80,2585.49,2595.34,26897.931,1723850999999,69674829.06814,38072,13297.542,34446983.37724,0
1723851000000,2595.35,2598.24,2588.17,2591.52,16387.187,1723852799999,42494933.61396,28474,7547.727,19575628.55926,0
