open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1708041600000,2824.53,2841.00,2823.00,2825.55,53484.457,1708043399999,151445627.58971,66160,28982.538,82084845.31025,0
1708043400000,2825.52,2844.58,2821.34,2839.85,39165.186,1708045199999,111024526.94395,63195,21360.565,60561633.09190,0
1708045200000,2839.86,2859.83,2838.43,2854.82,70396.231,1708046999999,200720535.46265,98511,41525.084,118398205.14524,0
1708047000000,2854.83,2856.61,2841.21,2844.70,32149.623,1708048799999,91519220.10834,53492,12835.128,36535224.46969,0
1708048800000,2844.70,2852.00,2837.81,2843.49,32219.922,1708050599999,91655958.08206,53011,15461.299,43989014.00662,0
1708050600000,2843.48,2850.00,2839.74,2848.77,20506.767,1708052399999,58340753.48028,37250,12388.795,35247458.02212,0
1708052400000,2848.76,2859.81,2841.76,2848.46,44430.249,1708054199999,126664295.70516,63610,22941.366,65412478.73660,0
1708054200000,2848.45,2855.75,2845.29,2848.03,29752.882,1708055999999,84774395.10602,48971,15420.572,43936509.89745,0
1708056000000,2848.03,2853.11,2842.04,2842.47,27773.076,1708057799999,79059708.68259,41951,11970.038,34080503.12293,0
1708057800000,2842.47,2844.34,2837.05,2839.78,22181.581,1708059599999,63026685.91976,39341,10524.829,29904975.49899,0
1708059600000,2839.78,2844.14,2837.30,2841.95,18786.725,1708061399999,53362677.33011,31318,8845.104,25124655.18018,0
1708061400000,2841.96,2849.49,2838.53,2843.83,28134.920,1708063199999,80045017.29417,42399,15657.874,44550000.87920,0
1708063200000,2843.76,2854.69,2841.11,2854.25,29756.811,1708064999999,84740184.41760,48643,17262.844,49165332.57192,0
1708065000000,2854.25,2854.25,2832.00,2834.64,53262.333,1708066799999,151373343.52623,71456,21786.143,61928462.60524,0
1708066800000,2834.64,2836.96,2821.36,2826.85,72603.518,1708068599999,205402422.54124,97777,31543.237,89238734.44400,0
1708068600000,2826.86,2827.18,2813.50,2817.09,65147.819,1708070399999,183660179.86418,94437,27682.592,78045059.65478,0
1708070400000,2817.08,2829.41,2814.88,2820.21,64789.359,1708072199999,182868308.38227,75519,35641.733,100604887.07442,0
1708072200000,2820.20,2827.45,2815.67,2818.00,44327.785,1708073999999,125066156.59226,56211,23598.816,66575243.62466,0
1708074000000,2818.00,2819.24,2795.50,2810.84,109830.960,1708075799999,308273072.28727,121836,48865.746,137154281.61435,0
1708075800000,2810.85,2818.00,2808.22,2811.01,42848.703,1708077599999,120581185.27157,56838,22274.210,62684275.82058,0
1708077600000,2811.00,2824.10,2806.43,2816.98,50954.293,1708079399999,143510001.68598,66169,27343.762,77018298.50378,0
1708079400000,2816.98,2829.96,2815.80,2829.34,42646.144,1708081199999,120455036.05445,58022,22763.316,64295015.83414,0
1708081200000,2829.33,2835.68,2823.29,2828.39,46120.787,1708082999999,130460744.07747,62306,21941.112,62074749.30496,0
1708083000000,2828.39,2837.66,2821.00,2825.21,49734.852,1708084799999,140736221.86760,67419,24441.227,69172257.58133,0
1708084800000,2825.20,2832.11,2820.12,2831.00,32665.422,1708086599999,92359568.79484,44050,16423.215,46443438.38776,0
1708086600000,2831.00,2849.44,2831.00,2845.82,66672.551,1708088399999,189463303.88068,86681,34875.765,99101116.15182,0
1708088400000,2845.82,2848.99,2840.00,2845.26,38176.329,1708090199999,108569926.51245,62267,17303.274,49210875.38439,0
1708090200000,2845.27,2846.29,2827.52,2841.37,86123.265,1708091999999,244346294.19576,105131,38368.013,108861373.42282,0
1708092000000,2841.37,2845.65,2808.00,2818.58,148771.102,1708093799999,419726521.23531,153113,69100.050,194937943.30689,0
1708093800000,2818.58,2828.27,2783.62,2799.05,181116.260,1708095599999,507915464.57259,192239,83249.370,233496156.53687,0
1708095600000,2799.02,2799.02,2732.70,2779.08,305032.271,1708097399999,846124197.42388,277633,138208.538,383515077.10871,0
1708097400000,2779.07,2780.64,2765.14,2777.45,71620.506,1708099199999,198598264.25929,97842,33792.102,93711663.98020,0
1708099200000,2777.44,2809.78,2773.77,2796.25,131901.299,1708100999999,368708473.49552,156074,74543.767,208336682.97614,0
1708101000000,2796.24,2798.96,2781.53,2786.58,71598.134,1708102799999,199703606.13944,97441,32579.750,90870234.91148,0
1708102800000,2786.58,2792.66,2773.76,2777.09,56888.841,1708104599999,158234732.77324,78869,28381.897,78951090.99321,0
1708104600000,2777.10,2781.46,2767.46,2779.30,55047.513,1708106399999,152668078.43424,76631,28906.828,80182164.64877,0
1708106400000,2779.29,2784.20,2766.05,2780.19,49261.033,1708108199999,136669084.71552,68502,24906.063,69107864.55088,0
1708108200000,2780.19,2784.30,2772.31,2783.00,26016.052,1708109999999,72282600.20893,46123,13120.359,36457604.31017,0
1708110000000,2783.00,2787.25,2774.03,2781.23,22868.255,1708111799999,63625139.12488,44664,10764.813,29953296.02798,0
1708111800000,2781.24,2783.92,2756.75,2764.05,62567.825,1708113599999,173299562.03394,73585,26203.460,72580085.14296,0
1708113600000,2764.05,2781.62,2759.03,2779.06,50842.257,1708115399999,140920412.76845,72101,26077.276,72279057.57760,0
1708115400000,2779.07,2783.50,2775.51,2783.03,23405.112,1708117199999,65066438.91993,38369,11164.404,31037058.91273,0
1708117200000,2783.02,2789.78,2775.70,2789.41,23050.219,1708118999999,64154913.32898,44098,11691.060,32543871.53437,0
1708119000000,2789.41,2793.27,2784.40,2792.05,25879.428,1708120799999,72206580.35863,44391,12147.066,33896086.58698,0
1708120800000,2792.06,2792.28,2786.00,2788.31,16089.862,1708122599999,44881799.28334,29763,6350.296,17712821.64806,0
1708122600000,2788.31,2792.08,2787.72,2790.58,13163.719,1708124399999,36729200.70769,22447,6580.124,18359336.27190,0
1708124400000,2790.58,2798.68,2788.20,2798.45,27206.174,1708126199999,76032890.21781,44303,14724.924,41151636.22988,0
