open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1731715200000,3091.75,3092.22,3074.06,3075.00,58529.851,1731716999999,180417812.33671,107250,26504.029,81700488.86498,0
1731717000000,3074.99,3087.88,3073.47,3086.66,27598.891,1731718799999,85051807.92511,72953,15523.238,47839697.89715,0
1731718800000,3086.66,3113.60,3083.79,3106.59,57334.483,1731720599999,177875961.58810,98415,33428.787,103726770.30753,0
1731720600000,3106.59,3108.00,3094.91,3100.09,26672.955,1731722399999,82736146.28824,65496,9941.872,30842502.27552,0
1731722400000,3100.09,3112.40,3096.01,3107.52,20597.761,1731724199999,63941671.95608,55737,10705.502,33235892.36649,0
1731724200000,3107.51,3125.00,3106.92,3112.45,43333.220,1731725999999,135067528.19587,91311,24826.961,77389615.40273,0
1731726000000,3112.44,3136.97,3110.08,3135.26,42333.099,1731727799999,132240761.80794,81768,23983.051,74935790.42238,0
1731727800000,3135.40,3159.30,3125.32,3156.49,75061.194,1731729599999,235740945.95508,136670,40731.479,127953877.23750,0
1731729600000,3156.49,3167.20,3139.91,3143.03,60394.037,1731731399999,190317555.11658,112921,25030.205,78904271.45786,0
1731731400000,3143.02,3143.40,3128.51,3135.53,40836.284,1731733199999,128031256.67364,72289,17613.490,55217990.38250,0
1731733200000,3135.54,3138.54,3125.70,3131.36,46620.778,1731734999999,145988489.18736,78491,21938.183,68703471.45519,0
1731735000000,3131.36,3137.93,3126.27,3131.80,27553.882,1731736799999,86275568.19994,59319,13691.597,42869202.26294,0
1731736800000,3131.80,3133.44,3117.54,3127.39,45712.290,1731738599999,142883457.18889,73549,19766.716,61800597.89710,0
1731738600000,3127.38,3127.90,3112.06,3115.78,32764.860,1731740399999,102176419.37777,65078,13329.531,41572081.40105,0
1731740400000,3115.78,3124.67,3110.47,3113.42,31864.250,1731742199999,99356233.34440,58536,15002.949,46789749.32849,0
1731742200000,3113.42,3116.60,3103.00,3108.59,40941.737,1731743999999,127273599.86569,65042,19871.304,61776989.36303,0
1731744000000,3108.59,3118.41,3105.05,3111.68,26286.353,1731745799999,81819148.28887,52952,14300.862,44522855.93816,0
1731745800000,3111.69,3123.00,3111.63,3122.06,28647.218,1731747599999,89323730.45289,55554,16083.026,50145299.35020,0
1731747600000,3122.06,3128.32,3108.14,3115.42,36514.849,1731749399999,113894826.82829,73740,16634.203,51890443.27528,0
