open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1713225600000,3100.76,3105.88,3069.49,3076.02,65166.220,1713227399999,201333036.52487,106301,31757.543,98147385.81426,0
1713227400000,3076.02,3086.13,3058.70,3080.96,53878.940,1713229199999,165580815.19892,101195,27472.304,84446351.20512,0
1713229200000,3080.96,3111.81,3071.48,3107.13,51203.806,1713230999999,158515964.06959,94600,27622.358,85518617.36418,0
1713231000000,3107.14,3119.52,3070.85,3077.87,63207.947,1713232799999,195531491.35478,102625,27663.139,85562465.96079,0
1713232800000,3077.87,3082.00,3048.41,3056.70,55214.039,1713234599999,169286037.93724,94978,22530.381,69108875.46934,0
1713234600000,3056.69,3098.00,3056.10,3092.94,50643.123,1713236399999,155971896.79576,86333,29178.092,89828679.64794,0
1713236400000,3092.93,3106.17,3075.01,3078.67,54917.749,1713238199999,169844751.43597,87833,24682.255,76335040.33103,0
1713238200000,3078.68,3079.55,3054.58,3071.74,74751.835,1713239999999,229215026.88595,101299,35217.557,108008614.02635,0
1713240000000,3071.73,3078.40,3023.58,3032.72,118461.125,1713241799999,360805875.50075,159301,52288.157,159253348.36387,0
1713241800000,3032.72,3043.80,2976.43,3024.80,191799.137,1713243599999,578343131.27141,236366,89045.103,268651878.81625,0
1713243600000,3024.81,3048.88,3016.21,3046.14,72228.439,1713245399999,219188466.04348,114046,40257.224,122169972.43139,0
1713245400000,3046.15,3057.94,3039.25,3046.24,44915.383,1713247199999,136926631.54783,70257,22138.375,67494918.03438,0
1713247200000,3046.24,3074.50,3041.39,3067.94,59606.311,1713248999999,182528686.81350,87138,35243.159,107915078.32800,0
1713249000000,3068.00,3086.41,3063.19,3080.79,44411.693,1713250799999,136642705.96009,70698,21660.936,66651483.81347,0
1713250800000,3080.79,3098.00,3075.78,3091.63,42261.085,1713252599999,130536835.52924,69952,20707.661,63969248.23421,0
1713252600000,3091.63,3127.41,3087.29,3105.87,112478.970,1713254399999,349669222.38300,150320,59540.492,185134996.65544,0
1713254400000,3105.87,3110.38,3083.76,3086.93,48488.341,1713256199999,150010883.79428,87973,20666.415,63937791.22131,0
1713256200000,3086.92,3098.00,3075.63,3083.56,42525.757,1713257999999,131233762.60833,74210,20675.028,63820522.02443,0
1713258000000,3083.55,3102.36,3081.03,3094.92,33434.324,1713259799999,103367752.86794,68798,19305.839,59692755.53450,0
1713259800000,3094.92,3097.98,3072.00,3078.85,42763.696,1713261599999,131811297.39769,75476,19011.770,58605319.25239,0
