open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1715817600000,3030.67,3039.95,3023.36,3026.59,80239.846,1715819399999,243181361.91408,107280,36461.365,110495544.67758,0
1715819400000,3026.60,3028.09,3014.20,3019.89,57235.318,1715821199999,172936253.00071,70659,24461.325,73912882.35419,0
1715821200000,3019.90,3022.30,3013.89,3015.74,31752.409,1715822999999,95856151.06737,45031,14164.229,42761014.93380,0
1715823000000,3015.74,3017.60,3006.63,3013.76,38150.123,1715824799999,114929462.31091,44651,13887.135,41837252.56641,0
1715824800000,3013.76,3015.53,3009.10,3012.20,20490.619,1715826599999,61725444.03979,35138,9652.807,29079104.75861,0
1715826600000,3012.20,3012.78,2989.32,3002.45,44585.191,1715828399999,133881084.09683,51743,18324.432,55044743.18411,0
1715828400000,3002.45,3011.00,2997.44,3009.62,40984.155,1715830199999,123176402.03131,54155,21935.232,65932197.08845,0
1715830200000,3009.62,3017.60,3008.87,3012.25,52338.973,1715831999999,157703625.19624,48644,35861.923,108063184.62751,0
1715832000000,3012.25,3013.52,3007.20,3010.65,16666.471,1715833799999,50167910.61435,31679,6595.659,19852199.86127,0
1715833800000,3010.64,3011.61,3002.94,3006.87,20391.026,1715835599999,61294606.53859,27397,11018.101,33115109.54058,0
1715835600000,3006.87,3007.73,3003.44,3003.61,9916.133,1715837399999,29809146.82824,21804,5026.548,15110736.38520,0
1715837400000,3003.60,3009.62,3003.42,3005.42,13843.733,1715839199999,41626084.90203,26986,8009.315,24082923.84010,0
1715839200000,3005.42,3017.00,3003.02,3016.54,40061.478,1715840999999,120670469.22706,44226,25603.616,77129512.11324,0
1715841000000,3016.55,3018.30,3011.85,3014.18,16016.680,1715842799999,48294638.33336,26001,8445.983,25469509.64172,0
1715842800000,3014.19,3020.38,3014.09,3016.30,25057.446,1715844599999,75615458.38718,33013,12916.412,38979043.62178,0
1715844600000,3016.30,3019.27,3011.41,3015.06,23232.413,1715846399999,70050634.43901,38866,9810.966,29584355.03295,0
1715846400000,3015.07,3026.94,3007.25,3010.04,35888.807,1715848199999,108283173.34747,51962,17930.259,54116717.47445,0
1715848200000,3010.03,3011.00,3003.50,3008.06,30844.519,1715849999999,92761120.12517,45976,13751.567,41359653.33162,0
1715850000000,3008.06,3008.37,2998.05,3002.08,33505.209,1715851799999,100616262.48602,49744,15678.587,47085866.66651,0
1715851800000,3002.07,3008.76,2997.38,3008.30,26224.357,1715853599999,78733530.61249,42298,14972.957,44960949.31825,0
1715853600000,3008.30,3008.90,2984.50,3003.14,63685.882,1715855399999,190881927.21567,61355,27103.012,81278937.62888,0
1715855400000,3003.13,3003.14,2993.04,2996.97,31334.599,1715857199999,93903565.50166,49754,17507.125,52465354.27965,0
1715857200000,2996.96,3000.58,2990.85,3000.14,29140.643,1715858999999,87270975.50381,42758,14921.932,44702652.50979,0
1715859000000,3000.15,3007.94,2994.09,3005.21,29358.127,1715860799999,88130579.44277,47458,17138.615,51448672.77139,0
1715860800000,3005.20,3006.69,2984.28,2992.11,60537.356,1715862599999,181175763.05045,94655,27992.295,83780607.72246,0
1715862600000,2992.10,3009.28,2971.75,2978.46,137133.192,1715864399999,409315249.94539,175510,66171.219,197585100.97717,0
1715864400000,2978.50,2981.26,2965.05,2974.16,80015.874,1715866199999,237809208.13862,107477,41203.156,122476484.49601,0
1715866200000,2974.15,2986.90,2973.74,2982.12,54687.094,1715867999999,163046707.03001,93849,31234.086,93118927.68743,0
1715868000000,2982.12,2986.33,2948.93,2961.43,112806.123,1715869799999,334223720.01568,143362,47879.886,141877123.21134,0
1715869800000,2961.44,2965.50,2935.60,2940.48,110396.959,1715871599999,325651207.73999,142964,46935.114,138501456.09317,0
1715871600000,2940.48,2957.30,2929.14,2954.92,108869.303,1715873399999,320421902.92554,139857,53180.661,156561914.24955,0
1715873400000,2954.92,2960.84,2950.31,2955.53,35145.326,1715875199999,103852808.93806,65390,17786.184,52559342.13871,0
1715875200000,2955.53,2955.54,2943.59,2952.37,44468.899,1715876999999,131190898.81292,74769,20899.658,61654067.90804,0
1715877000000,2952.36,2959.68,2941.44,2945.68,69600.516,1715878799999,205344364.94059,99794,31018.536,91537807.08468,0
1715878800000,2945.67,2951.54,2923.13,2924.96,76905.394,1715880599999,225979241.62588,96808,34799.620,102298786.75844,0
1715880600000,2924.96,2950.88,2923.00,2946.16,69980.295,1715882399999,205510657.68648,99488,41764.787,122663322.49956,0
1715882400000,2946.17,2952.84,2945.01,2947.72,31212.936,1715884199999,92028318.73347,56009,15615.080,46045542.32995,0
1715884200000,2947.72,2953.60,2945.45,2947.73,17336.349,1715885999999,51145768.54992,35257,9121.238,26912339.08996,0
1715886000000,2947.72,2954.69,2945.50,2953.83,20177.601,1715887799999,59529039.81744,46442,10425.989,30760535.47232,0
1715887800000,2953.84,2955.00,2941.91,2943.37,25186.636,1715889599999,74244126.13224,42804,9863.825,29077663.97871,0
1715889600000,2943.37,2944.80,2934.87,2938.40,25375.439,1715891399999,74599029.60403,40397,11449.789,33657919.66695,0
1715891400000,2938.41,2941.88,2932.26,2936.43,14829.069,1715893199999,43554658.35803,27684,8414.832,24717910.60525,0
1715893200000,2936.42,2938.45,2925.56,2929.41,25577.884,1715894999999,75001502.48298,37788,11518.808,33785150.14631,0
1715895000000,2929.41,2940.00,2925.46,2939.10,18850.898,1715896799999,55337020.05922,34895,10886.048,31962112.57499,0
1715896800000,2939.10,2939.11,2920.93,2927.75,31084.137,1715898599999,90989453.47327,52922,13171.875,38551795.65280,0
1715898600000,2927.74,2939.19,2925.38,2938.14,19542.670,1715900399999,57342345.16737,39489,10453.800,30667207.00731,0
1715900400000,2938.15,2938.15,2930.28,2937.59,12861.695,1715902199999,37742339.77762,32508,5770.866,16934875.50940,0
1715902200000,2937.59,2944.60,2935.32,2943.22,18029.134,1715903999999,53015475.67579,36072,9387.814,27607222.55624,0
